class_desc,state_alpha,country_code,commodity_desc,country_name,short_desc,freq_desc,watershed_code,watershed_desc,year,load_time,begin_code,sector_desc,CV (%),statisticcat_desc,asd_code,end_code,county_ansi,prodn_practice_desc,group_desc,agg_level_desc,county_name,Value,week_ending,unit_desc,domaincat_desc,reference_period_desc,congr_district_code,region_desc,asd_desc,source_desc,util_practice_desc,zip_5,state_ansi,domain_desc,county_code,location_desc,state_fips_code,state_name
ALL CLASSES,MI,9000,CORN,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1950,2012-01-01 00:00:00.000,00,CROPS,,YIELD,10,00,003,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,ALGER,26.7,,BU / ACRE,NOT SPECIFIED,YEAR,,,UPPER PENINSULA,SURVEY,GRAIN,,26,TOTAL,003,"MICHIGAN, UPPER PENINSULA, ALGER",26,MICHIGAN
ALL CLASSES,MI,9000,CORN,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1950,2012-01-01 00:00:00.000,00,CROPS,,YIELD,10,00,013,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,BARAGA,17.7,,BU / ACRE,NOT SPECIFIED,YEAR,,,UPPER PENINSULA,SURVEY,GRAIN,,26,TOTAL,013,"MICHIGAN, UPPER PENINSULA, BARAGA",26,MICHIGAN
ALL CLASSES,MI,9000,CORN,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1950,2012-01-01 00:00:00.000,00,CROPS,,YIELD,10,00,033,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,CHIPPEWA,23,,BU / ACRE,NOT SPECIFIED,YEAR,,,UPPER PENINSULA,SURVEY,GRAIN,,26,TOTAL,033,"MICHIGAN, UPPER PENINSULA, CHIPPEWA",26,MICHIGAN
ALL CLASSES,MI,9000,CORN,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1950,2012-01-01 00:00:00.000,00,CROPS,,YIELD,10,00,041,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,DELTA,27.3,,BU / ACRE,NOT SPECIFIED,YEAR,,,UPPER PENINSULA,SURVEY,GRAIN,,26,TOTAL,041,"MICHIGAN, UPPER PENINSULA, DELTA",26,MICHIGAN
ALL CLASSES,MI,9000,CORN,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1950,2012-01-01 00:00:00.000,00,CROPS,,YIELD,10,00,043,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,DICKINSON,19.4,,BU / ACRE,NOT SPECIFIED,YEAR,,,UPPER PENINSULA,SURVEY,GRAIN,,26,TOTAL,043,"MICHIGAN, UPPER PENINSULA, DICKINSON",26,MICHIGAN
ALL CLASSES,MI,9000,CORN,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1950,2012-01-01 00:00:00.000,00,CROPS,,YIELD,10,00,053,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,GOGEBIC,17.9,,BU / ACRE,NOT SPECIFIED,YEAR,,,UPPER PENINSULA,SURVEY,GRAIN,,26,TOTAL,053,"MICHIGAN, UPPER PENINSULA, GOGEBIC",26,MICHIGAN
ALL CLASSES,MI,9000,CORN,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1950,2012-01-01 00:00:00.000,00,CROPS,,YIELD,10,00,061,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,HOUGHTON,17.9,,BU / ACRE,NOT SPECIFIED,YEAR,,,UPPER PENINSULA,SURVEY,GRAIN,,26,TOTAL,061,"MICHIGAN, UPPER PENINSULA, HOUGHTON",26,MICHIGAN
ALL CLASSES,MI,9000,CORN,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1950,2012-01-01 00:00:00.000,00,CROPS,,YIELD,10,00,071,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,IRON,18.3,,BU / ACRE,NOT SPECIFIED,YEAR,,,UPPER PENINSULA,SURVEY,GRAIN,,26,TOTAL,071,"MICHIGAN, UPPER PENINSULA, IRON",26,MICHIGAN
ALL CLASSES,MI,9000,CORN,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1950,2012-01-01 00:00:00.000,00,CROPS,,YIELD,10,00,095,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,LUCE,15,,BU / ACRE,NOT SPECIFIED,YEAR,,,UPPER PENINSULA,SURVEY,GRAIN,,26,TOTAL,095,"MICHIGAN, UPPER PENINSULA, LUCE",26,MICHIGAN
ALL CLASSES,MI,9000,CORN,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1950,2012-01-01 00:00:00.000,00,CROPS,,YIELD,10,00,097,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,MACKINAC,18.1,,BU / ACRE,NOT SPECIFIED,YEAR,,,UPPER PENINSULA,SURVEY,GRAIN,,26,TOTAL,097,"MICHIGAN, UPPER PENINSULA, MACKINAC",26,MICHIGAN
