reference_period_desc,domaincat_desc,unit_desc,asd_desc,region_desc,congr_district_code,state_ansi,util_practice_desc,zip_5,source_desc,state_name,state_fips_code,location_desc,domain_desc,county_code,commodity_desc,country_name,country_code,class_desc,state_alpha,load_time,begin_code,freq_desc,short_desc,watershed_desc,year,watershed_code,agg_level_desc,county_name,group_desc,end_code,prodn_practice_desc,county_ansi,sector_desc,CV (%),statisticcat_desc,asd_code,week_ending,Value
YEAR,NOT SPECIFIED,BU / ACRE,UPPER PENINSULA,,,26,GRAIN,,SURVEY,MICHIGAN,26,"MICHIGAN, UPPER PENINSULA, ALGER",TOTAL,003,CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,1951,00000000,COUNTY,ALGER,FIELD CROPS,00,ALL PRODUCTION PRACTICES,003,CROPS,,YIELD,10,,25
YEAR,NOT SPECIFIED,BU / ACRE,UPPER PENINSULA,,,26,GRAIN,,SURVEY,MICHIGAN,26,"MICHIGAN, UPPER PENINSULA, BARAGA",TOTAL,013,CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,1951,00000000,COUNTY,BARAGA,FIELD CROPS,00,ALL PRODUCTION PRACTICES,013,CROPS,,YIELD,10,,20
YEAR,NOT SPECIFIED,BU / ACRE,UPPER PENINSULA,,,26,GRAIN,,SURVEY,MICHIGAN,26,"MICHIGAN, UPPER PENINSULA, CHIPPEWA",TOTAL,033,CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,1951,00000000,COUNTY,CHIPPEWA,FIELD CROPS,00,ALL PRODUCTION PRACTICES,033,CROPS,,YIELD,10,,24.3
YEAR,NOT SPECIFIED,BU / ACRE,UPPER PENINSULA,,,26,GRAIN,,SURVEY,MICHIGAN,26,"MICHIGAN, UPPER PENINSULA, DELTA",TOTAL,041,CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,1951,00000000,COUNTY,DELTA,FIELD CROPS,00,ALL PRODUCTION PRACTICES,041,CROPS,,YIELD,10,,31.7
YEAR,NOT SPECIFIED,BU / ACRE,UPPER PENINSULA,,,26,GRAIN,,SURVEY,MICHIGAN,26,"MICHIGAN, UPPER PENINSULA, DICKINSON",TOTAL,043,CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,1951,00000000,COUNTY,DICKINSON,FIELD CROPS,00,ALL PRODUCTION PRACTICES,043,CROPS,,YIELD,10,,30
YEAR,NOT SPECIFIED,BU / ACRE,UPPER PENINSULA,,,26,GRAIN,,SURVEY,MICHIGAN,26,"MICHIGAN, UPPER PENINSULA, GOGEBIC",TOTAL,053,CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,1951,00000000,COUNTY,GOGEBIC,FIELD CROPS,00,ALL PRODUCTION PRACTICES,053,CROPS,,YIELD,10,,24
YEAR,NOT SPECIFIED,BU / ACRE,UPPER PENINSULA,,,26,GRAIN,,SURVEY,MICHIGAN,26,"MICHIGAN, UPPER PENINSULA, HOUGHTON",TOTAL,061,CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,1951,00000000,COUNTY,HOUGHTON,FIELD CROPS,00,ALL PRODUCTION PRACTICES,061,CROPS,,YIELD,10,,24
YEAR,NOT SPECIFIED,BU / ACRE,UPPER PENINSULA,,,26,GRAIN,,SURVEY,MICHIGAN,26,"MICHIGAN, UPPER PENINSULA, IRON",TOTAL,071,CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,1951,00000000,COUNTY,IRON,FIELD CROPS,00,ALL PRODUCTION PRACTICES,071,CROPS,,YIELD,10,,32.5
YEAR,NOT SPECIFIED,BU / ACRE,UPPER PENINSULA,,,26,GRAIN,,SURVEY,MICHIGAN,26,"MICHIGAN, UPPER PENINSULA, LUCE",TOTAL,095,CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,1951,00000000,COUNTY,LUCE,FIELD CROPS,00,ALL PRODUCTION PRACTICES,095,CROPS,,YIELD,10,,18.4
YEAR,NOT SPECIFIED,BU / ACRE,UPPER PENINSULA,,,26,GRAIN,,SURVEY,MICHIGAN,26,"MICHIGAN, UPPER PENINSULA, MACKINAC",TOTAL,097,CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,1951,00000000,COUNTY,MACKINAC,FIELD CROPS,00,ALL PRODUCTION PRACTICES,097,CROPS,,YIELD,10,,22
YEAR,NOT SPECIFIED,BU / ACRE,UPPER PENINSULA,,,26,GRAIN,,SURVEY,MICHIGAN,26,"MICHIGAN, UPPER PENINSULA, MARQUETTE",TOTAL,103,CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,1951,00000000,COUNTY,MARQUETTE,FIELD CROPS,00,ALL PRODUCTION PRACTICES,103,CROPS,,YIELD,10,,19.2
YEAR,NOT SPECIFIED,BU / ACRE,UPPER PENINSULA,,,26,GRAIN,,SURVEY,MICHIGAN,26,"MICHIGAN, UPPER PENINSULA, MENOMINEE",TOTAL,109,CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,1951,00000000,COUNTY,MENOMINEE,FIELD CROPS,00,ALL PRODUCTION PRACTICES,109,CROPS,,YIELD,10,,38.3
YEAR,NOT SPECIFIED,BU / ACRE,UPPER PENINSULA,,,26,GRAIN,,SURVEY,MICHIGAN,26,"MICHIGAN, UPPER PENINSULA, ONTONAGON",TOTAL,131,CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,1951,00000000,COUNTY,ONTONAGON,FIELD CROPS,00,ALL PRODUCTION PRACTICES,131,CROPS,,YIELD,10,,26
YEAR,NOT SPECIFIED,BU / ACRE,UPPER PENINSULA,,,26,GRAIN,,SURVEY,MICHIGAN,26,"MICHIGAN, UPPER PENINSULA, SCHOOLCRAFT",TOTAL,153,CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,1951,00000000,COUNTY,SCHOOLCRAFT,FIELD CROPS,00,ALL PRODUCTION PRACTICES,153,CROPS,,YIELD,10,,20
YEAR,NOT SPECIFIED,BU / ACRE,NORTHWEST,,,26,GRAIN,,SURVEY,MICHIGAN,26,"MICHIGAN, NORTHWEST, ANTRIM",TOTAL,009,CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,1951,00000000,COUNTY,ANTRIM,FIELD CROPS,00,ALL PRODUCTION PRACTICES,009,CROPS,,YIELD,20,,36.4
YEAR,NOT SPECIFIED,BU / ACRE,NORTHWEST,,,26,GRAIN,,SURVEY,MICHIGAN,26,"MICHIGAN, NORTHWEST, BENZIE",TOTAL,019,CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,1951,00000000,COUNTY,BENZIE,FIELD CROPS,00,ALL PRODUCTION PRACTICES,019,CROPS,,YIELD,20,,30
YEAR,NOT SPECIFIED,BU / ACRE,NORTHWEST,,,26,GRAIN,,SURVEY,MICHIGAN,26,"MICHIGAN, NORTHWEST, CHARLEVOIX",TOTAL,029,CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,1951,00000000,COUNTY,CHARLEVOIX,FIELD CROPS,00,ALL PRODUCTION PRACTICES,029,CROPS,,YIELD,20,,30.9
YEAR,NOT SPECIFIED,BU / ACRE,NORTHWEST,,,26,GRAIN,,SURVEY,MICHIGAN,26,"MICHIGAN, NORTHWEST, EMMET",TOTAL,047,CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,1951,00000000,COUNTY,EMMET,FIELD CROPS,00,ALL PRODUCTION PRACTICES,047,CROPS,,YIELD,20,,30
YEAR,NOT SPECIFIED,BU / ACRE,NORTHWEST,,,26,GRAIN,,SURVEY,MICHIGAN,26,"MICHIGAN, NORTHWEST, GRAND TRAVERSE",TOTAL,055,CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,1951,00000000,COUNTY,GRAND TRAVERSE,FIELD CROPS,00,ALL PRODUCTION PRACTICES,055,CROPS,,YIELD,20,,36.4
YEAR,NOT SPECIFIED,BU / ACRE,NORTHWEST,,,26,GRAIN,,SURVEY,MICHIGAN,26,"MICHIGAN, NORTHWEST, KALKASKA",TOTAL,079,CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,1951,00000000,COUNTY,KALKASKA,FIELD CROPS,00,ALL PRODUCTION PRACTICES,079,CROPS,,YIELD,20,,28.9
YEAR,NOT SPECIFIED,BU / ACRE,NORTHWEST,,,26,GRAIN,,SURVEY,MICHIGAN,26,"MICHIGAN, NORTHWEST, LEELANAU",TOTAL,089,CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,1951,00000000,COUNTY,LEELANAU,FIELD CROPS,00,ALL PRODUCTION PRACTICES,089,CROPS,,YIELD,20,,35.6
YEAR,NOT SPECIFIED,BU / ACRE,NORTHWEST,,,26,GRAIN,,SURVEY,MICHIGAN,26,"MICHIGAN, NORTHWEST, MANISTEE",TOTAL,101,CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,1951,00000000,COUNTY,MANISTEE,FIELD CROPS,00,ALL PRODUCTION PRACTICES,101,CROPS,,YIELD,20,,28
YEAR,NOT SPECIFIED,BU / ACRE,NORTHWEST,,,26,GRAIN,,SURVEY,MICHIGAN,26,"MICHIGAN, NORTHWEST, MISSAUKEE",TOTAL,113,CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,1951,00000000,COUNTY,MISSAUKEE,FIELD CROPS,00,ALL PRODUCTION PRACTICES,113,CROPS,,YIELD,20,,32.6
YEAR,NOT SPECIFIED,BU / ACRE,NORTHWEST,,,26,GRAIN,,SURVEY,MICHIGAN,26,"MICHIGAN, NORTHWEST, WEXFORD",TOTAL,165,CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,1951,00000000,COUNTY,WEXFORD,FIELD CROPS,00,ALL PRODUCTION PRACTICES,165,CROPS,,YIELD,20,,29.9
YEAR,NOT SPECIFIED,BU / ACRE,NORTHEAST,,,26,GRAIN,,SURVEY,MICHIGAN,26,"MICHIGAN, NORTHEAST, ALCONA",TOTAL,001,CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,1951,00000000,COUNTY,ALCONA,FIELD CROPS,00,ALL PRODUCTION PRACTICES,001,CROPS,,YIELD,30,,29
YEAR,NOT SPECIFIED,BU / ACRE,NORTHEAST,,,26,GRAIN,,SURVEY,MICHIGAN,26,"MICHIGAN, NORTHEAST, ALPENA",TOTAL,007,CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,1951,00000000,COUNTY,ALPENA,FIELD CROPS,00,ALL PRODUCTION PRACTICES,007,CROPS,,YIELD,30,,33.6
YEAR,NOT SPECIFIED,BU / ACRE,NORTHEAST,,,26,GRAIN,,SURVEY,MICHIGAN,26,"MICHIGAN, NORTHEAST, CHEBOYGAN",TOTAL,031,CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,1951,00000000,COUNTY,CHEBOYGAN,FIELD CROPS,00,ALL PRODUCTION PRACTICES,031,CROPS,,YIELD,30,,29.9
YEAR,NOT SPECIFIED,BU / ACRE,NORTHEAST,,,26,GRAIN,,SURVEY,MICHIGAN,26,"MICHIGAN, NORTHEAST, CRAWFORD",TOTAL,039,CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,1951,00000000,COUNTY,CRAWFORD,FIELD CROPS,00,ALL PRODUCTION PRACTICES,039,CROPS,,YIELD,30,,26.3
