begin_code,end_code,domaincat_desc,CV (%),source_desc,Value,statisticcat_desc,unit_desc,freq_desc,congr_district_code,domain_desc,commodity_desc,state_alpha,watershed_code,short_desc,state_name,reference_period_desc,class_desc,load_time,county_ansi,county_name,prodn_practice_desc,country_name,watershed_desc,asd_desc,sector_desc,state_fips_code,year,agg_level_desc,county_code,week_ending,country_code,asd_code,location_desc,util_practice_desc,state_ansi,region_desc,zip_5,group_desc
00,00,NOT SPECIFIED,,SURVEY,35,YIELD,BU / ACRE,ANNUAL,,TOTAL,CORN,MI,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,003,ALGER,ALL PRODUCTION PRACTICES,UNITED STATES,,UPPER PENINSULA,CROPS,26,1952,COUNTY,003,,9000,10,"MICHIGAN, UPPER PENINSULA, ALGER",GRAIN,26,,,FIELD CROPS
00,00,NOT SPECIFIED,,SURVEY,29.1,YIELD,BU / ACRE,ANNUAL,,TOTAL,CORN,MI,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,013,BARAGA,ALL PRODUCTION PRACTICES,UNITED STATES,,UPPER PENINSULA,CROPS,26,1952,COUNTY,013,,9000,10,"MICHIGAN, UPPER PENINSULA, BARAGA",GRAIN,26,,,FIELD CROPS
00,00,NOT SPECIFIED,,SURVEY,34.6,YIELD,BU / ACRE,ANNUAL,,TOTAL,CORN,MI,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,033,CHIPPEWA,ALL PRODUCTION PRACTICES,UNITED STATES,,UPPER PENINSULA,CROPS,26,1952,COUNTY,033,,9000,10,"MICHIGAN, UPPER PENINSULA, CHIPPEWA",GRAIN,26,,,FIELD CROPS
00,00,NOT SPECIFIED,,SURVEY,43.8,YIELD,BU / ACRE,ANNUAL,,TOTAL,CORN,MI,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,041,DELTA,ALL PRODUCTION PRACTICES,UNITED STATES,,UPPER PENINSULA,CROPS,26,1952,COUNTY,041,,9000,10,"MICHIGAN, UPPER PENINSULA, DELTA",GRAIN,26,,,FIELD CROPS
00,00,NOT SPECIFIED,,SURVEY,40.9,YIELD,BU / ACRE,ANNUAL,,TOTAL,CORN,MI,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,043,DICKINSON,ALL PRODUCTION PRACTICES,UNITED STATES,,UPPER PENINSULA,CROPS,26,1952,COUNTY,043,,9000,10,"MICHIGAN, UPPER PENINSULA, DICKINSON",GRAIN,26,,,FIELD CROPS
00,00,NOT SPECIFIED,,SURVEY,31.5,YIELD,BU / ACRE,ANNUAL,,TOTAL,CORN,MI,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,053,GOGEBIC,ALL PRODUCTION PRACTICES,UNITED STATES,,UPPER PENINSULA,CROPS,26,1952,COUNTY,053,,9000,10,"MICHIGAN, UPPER PENINSULA, GOGEBIC",GRAIN,26,,,FIELD CROPS
00,00,NOT SPECIFIED,,SURVEY,24.3,YIELD,BU / ACRE,ANNUAL,,TOTAL,CORN,MI,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,061,HOUGHTON,ALL PRODUCTION PRACTICES,UNITED STATES,,UPPER PENINSULA,CROPS,26,1952,COUNTY,061,,9000,10,"MICHIGAN, UPPER PENINSULA, HOUGHTON",GRAIN,26,,,FIELD CROPS
00,00,NOT SPECIFIED,,SURVEY,38.6,YIELD,BU / ACRE,ANNUAL,,TOTAL,CORN,MI,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,071,IRON,ALL PRODUCTION PRACTICES,UNITED STATES,,UPPER PENINSULA,CROPS,26,1952,COUNTY,071,,9000,10,"MICHIGAN, UPPER PENINSULA, IRON",GRAIN,26,,,FIELD CROPS
00,00,NOT SPECIFIED,,SURVEY,25.9,YIELD,BU / ACRE,ANNUAL,,TOTAL,CORN,MI,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,095,LUCE,ALL PRODUCTION PRACTICES,UNITED STATES,,UPPER PENINSULA,CROPS,26,1952,COUNTY,095,,9000,10,"MICHIGAN, UPPER PENINSULA, LUCE",GRAIN,26,,,FIELD CROPS
00,00,NOT SPECIFIED,,SURVEY,31,YIELD,BU / ACRE,ANNUAL,,TOTAL,CORN,MI,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,097,MACKINAC,ALL PRODUCTION PRACTICES,UNITED STATES,,UPPER PENINSULA,CROPS,26,1952,COUNTY,097,,9000,10,"MICHIGAN, UPPER PENINSULA, MACKINAC",GRAIN,26,,,FIELD CROPS
