commodity_desc,country_name,country_code,class_desc,state_alpha,load_time,begin_code,freq_desc,short_desc,watershed_code,year,watershed_desc,agg_level_desc,county_name,group_desc,end_code,prodn_practice_desc,county_ansi,sector_desc,asd_code,CV (%),statisticcat_desc,week_ending,Value,reference_period_desc,domaincat_desc,unit_desc,asd_desc,region_desc,congr_district_code,state_ansi,zip_5,util_practice_desc,source_desc,state_name,state_fips_code,location_desc,domain_desc,county_code
CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,1953,,COUNTY,ALGER,FIELD CROPS,00,ALL PRODUCTION PRACTICES,003,CROPS,10,,YIELD,,35,YEAR,NOT SPECIFIED,BU / ACRE,UPPER PENINSULA,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, UPPER PENINSULA, ALGER",TOTAL,003
CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,1953,,COUNTY,BARAGA,FIELD CROPS,00,ALL PRODUCTION PRACTICES,013,CROPS,10,,YIELD,,28.3,YEAR,NOT SPECIFIED,BU / ACRE,UPPER PENINSULA,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, UPPER PENINSULA, BARAGA",TOTAL,013
CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,1953,,COUNTY,CHIPPEWA,FIELD CROPS,00,ALL PRODUCTION PRACTICES,033,CROPS,10,,YIELD,,34.3,YEAR,NOT SPECIFIED,BU / ACRE,UPPER PENINSULA,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, UPPER PENINSULA, CHIPPEWA",TOTAL,033
CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,1953,,COUNTY,DELTA,FIELD CROPS,00,ALL PRODUCTION PRACTICES,041,CROPS,10,,YIELD,,44.7,YEAR,NOT SPECIFIED,BU / ACRE,UPPER PENINSULA,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, UPPER PENINSULA, DELTA",TOTAL,041
CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,1953,,COUNTY,DICKINSON,FIELD CROPS,00,ALL PRODUCTION PRACTICES,043,CROPS,10,,YIELD,,41.8,YEAR,NOT SPECIFIED,BU / ACRE,UPPER PENINSULA,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, UPPER PENINSULA, DICKINSON",TOTAL,043
CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,1953,,COUNTY,GOGEBIC,FIELD CROPS,00,ALL PRODUCTION PRACTICES,053,CROPS,10,,YIELD,,31.4,YEAR,NOT SPECIFIED,BU / ACRE,UPPER PENINSULA,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, UPPER PENINSULA, GOGEBIC",TOTAL,053
CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,1953,,COUNTY,HOUGHTON,FIELD CROPS,00,ALL PRODUCTION PRACTICES,061,CROPS,10,,YIELD,,23.3,YEAR,NOT SPECIFIED,BU / ACRE,UPPER PENINSULA,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, UPPER PENINSULA, HOUGHTON",TOTAL,061
CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,1953,,COUNTY,IRON,FIELD CROPS,00,ALL PRODUCTION PRACTICES,071,CROPS,10,,YIELD,,44.3,YEAR,NOT SPECIFIED,BU / ACRE,UPPER PENINSULA,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, UPPER PENINSULA, IRON",TOTAL,071
CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,1953,,COUNTY,LUCE,FIELD CROPS,00,ALL PRODUCTION PRACTICES,095,CROPS,10,,YIELD,,26.3,YEAR,NOT SPECIFIED,BU / ACRE,UPPER PENINSULA,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, UPPER PENINSULA, LUCE",TOTAL,095
CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,1953,,COUNTY,MACKINAC,FIELD CROPS,00,ALL PRODUCTION PRACTICES,097,CROPS,10,,YIELD,,31,YEAR,NOT SPECIFIED,BU / ACRE,UPPER PENINSULA,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, UPPER PENINSULA, MACKINAC",TOTAL,097
