begin_code,CV (%),domaincat_desc,end_code,statisticcat_desc,Value,source_desc,congr_district_code,freq_desc,unit_desc,state_alpha,watershed_code,domain_desc,commodity_desc,class_desc,load_time,short_desc,reference_period_desc,state_name,county_ansi,country_name,watershed_desc,county_name,prodn_practice_desc,state_fips_code,year,sector_desc,county_code,agg_level_desc,week_ending,asd_desc,country_code,asd_code,location_desc,util_practice_desc,state_ansi,group_desc,zip_5,region_desc
00,,NOT SPECIFIED,00,YIELD,32.5,SURVEY,,ANNUAL,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,003,UNITED STATES,,ALGER,ALL PRODUCTION PRACTICES,26,1954,CROPS,003,COUNTY,,UPPER PENINSULA,9000,10,"MICHIGAN, UPPER PENINSULA, ALGER",GRAIN,26,FIELD CROPS,,
00,,NOT SPECIFIED,00,YIELD,25.8,SURVEY,,ANNUAL,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,013,UNITED STATES,,BARAGA,ALL PRODUCTION PRACTICES,26,1954,CROPS,013,COUNTY,,UPPER PENINSULA,9000,10,"MICHIGAN, UPPER PENINSULA, BARAGA",GRAIN,26,FIELD CROPS,,
00,,NOT SPECIFIED,00,YIELD,29.3,SURVEY,,ANNUAL,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,033,UNITED STATES,,CHIPPEWA,ALL PRODUCTION PRACTICES,26,1954,CROPS,033,COUNTY,,UPPER PENINSULA,9000,10,"MICHIGAN, UPPER PENINSULA, CHIPPEWA",GRAIN,26,FIELD CROPS,,
00,,NOT SPECIFIED,00,YIELD,40.1,SURVEY,,ANNUAL,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,041,UNITED STATES,,DELTA,ALL PRODUCTION PRACTICES,26,1954,CROPS,041,COUNTY,,UPPER PENINSULA,9000,10,"MICHIGAN, UPPER PENINSULA, DELTA",GRAIN,26,FIELD CROPS,,
00,,NOT SPECIFIED,00,YIELD,38.3,SURVEY,,ANNUAL,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,043,UNITED STATES,,DICKINSON,ALL PRODUCTION PRACTICES,26,1954,CROPS,043,COUNTY,,UPPER PENINSULA,9000,10,"MICHIGAN, UPPER PENINSULA, DICKINSON",GRAIN,26,FIELD CROPS,,
00,,NOT SPECIFIED,00,YIELD,33.6,SURVEY,,ANNUAL,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,053,UNITED STATES,,GOGEBIC,ALL PRODUCTION PRACTICES,26,1954,CROPS,053,COUNTY,,UPPER PENINSULA,9000,10,"MICHIGAN, UPPER PENINSULA, GOGEBIC",GRAIN,26,FIELD CROPS,,
00,,NOT SPECIFIED,00,YIELD,28.6,SURVEY,,ANNUAL,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,061,UNITED STATES,,HOUGHTON,ALL PRODUCTION PRACTICES,26,1954,CROPS,061,COUNTY,,UPPER PENINSULA,9000,10,"MICHIGAN, UPPER PENINSULA, HOUGHTON",GRAIN,26,FIELD CROPS,,
00,,NOT SPECIFIED,00,YIELD,35.7,SURVEY,,ANNUAL,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,071,UNITED STATES,,IRON,ALL PRODUCTION PRACTICES,26,1954,CROPS,071,COUNTY,,UPPER PENINSULA,9000,10,"MICHIGAN, UPPER PENINSULA, IRON",GRAIN,26,FIELD CROPS,,
00,,NOT SPECIFIED,00,YIELD,24.8,SURVEY,,ANNUAL,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,095,UNITED STATES,,LUCE,ALL PRODUCTION PRACTICES,26,1954,CROPS,095,COUNTY,,UPPER PENINSULA,9000,10,"MICHIGAN, UPPER PENINSULA, LUCE",GRAIN,26,FIELD CROPS,,
00,,NOT SPECIFIED,00,YIELD,29,SURVEY,,ANNUAL,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,097,UNITED STATES,,MACKINAC,ALL PRODUCTION PRACTICES,26,1954,CROPS,097,COUNTY,,UPPER PENINSULA,9000,10,"MICHIGAN, UPPER PENINSULA, MACKINAC",GRAIN,26,FIELD CROPS,,
00,,NOT SPECIFIED,00,YIELD,26.2,SURVEY,,ANNUAL,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,103,UNITED STATES,,MARQUETTE,ALL PRODUCTION PRACTICES,26,1954,CROPS,103,COUNTY,,UPPER PENINSULA,9000,10,"MICHIGAN, UPPER PENINSULA, MARQUETTE",GRAIN,26,FIELD CROPS,,
00,,NOT SPECIFIED,00,YIELD,42,SURVEY,,ANNUAL,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,109,UNITED STATES,,MENOMINEE,ALL PRODUCTION PRACTICES,26,1954,CROPS,109,COUNTY,,UPPER PENINSULA,9000,10,"MICHIGAN, UPPER PENINSULA, MENOMINEE",GRAIN,26,FIELD CROPS,,
00,,NOT SPECIFIED,00,YIELD,33,SURVEY,,ANNUAL,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,131,UNITED STATES,,ONTONAGON,ALL PRODUCTION PRACTICES,26,1954,CROPS,131,COUNTY,,UPPER PENINSULA,9000,10,"MICHIGAN, UPPER PENINSULA, ONTONAGON",GRAIN,26,FIELD CROPS,,
00,,NOT SPECIFIED,00,YIELD,27.1,SURVEY,,ANNUAL,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,153,UNITED STATES,,SCHOOLCRAFT,ALL PRODUCTION PRACTICES,26,1954,CROPS,153,COUNTY,,UPPER PENINSULA,9000,10,"MICHIGAN, UPPER PENINSULA, SCHOOLCRAFT",GRAIN,26,FIELD CROPS,,
00,,NOT SPECIFIED,00,YIELD,38.3,SURVEY,,ANNUAL,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,009,UNITED STATES,,ANTRIM,ALL PRODUCTION PRACTICES,26,1954,CROPS,009,COUNTY,,NORTHWEST,9000,20,"MICHIGAN, NORTHWEST, ANTRIM",GRAIN,26,FIELD CROPS,,
00,,NOT SPECIFIED,00,YIELD,27.8,SURVEY,,ANNUAL,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,019,UNITED STATES,,BENZIE,ALL PRODUCTION PRACTICES,26,1954,CROPS,019,COUNTY,,NORTHWEST,9000,20,"MICHIGAN, NORTHWEST, BENZIE",GRAIN,26,FIELD CROPS,,
