domaincat_desc,freq_desc,commodity_desc,congr_district_code,region_desc,location_desc,reference_period_desc,week_ending,unit_desc,agg_level_desc,watershed_code,sector_desc,asd_code,Value,group_desc,util_practice_desc,state_ansi,prodn_practice_desc,zip_5,short_desc,begin_code,source_desc,county_ansi,asd_desc,state_name,state_alpha,county_code,state_fips_code,statisticcat_desc,county_name,CV (%),year,country_code,load_time,domain_desc,end_code,class_desc,watershed_desc,country_name
NOT SPECIFIED,ANNUAL,CORN,,,"MICHIGAN, UPPER PENINSULA, ALGER",YEAR,,BU / ACRE,COUNTY,00000000,CROPS,10,20,FIELD CROPS,GRAIN,26,ALL PRODUCTION PRACTICES,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,SURVEY,003,UPPER PENINSULA,MICHIGAN,MI,003,26,YIELD,ALGER,,1955,9000,2012-01-01 00:00:00.000,TOTAL,00,ALL CLASSES,,UNITED STATES
NOT SPECIFIED,ANNUAL,CORN,,,"MICHIGAN, UPPER PENINSULA, BARAGA",YEAR,,BU / ACRE,COUNTY,00000000,CROPS,10,30,FIELD CROPS,GRAIN,26,ALL PRODUCTION PRACTICES,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,SURVEY,013,UPPER PENINSULA,MICHIGAN,MI,013,26,YIELD,BARAGA,,1955,9000,2012-01-01 00:00:00.000,TOTAL,00,ALL CLASSES,,UNITED STATES
NOT SPECIFIED,ANNUAL,CORN,,,"MICHIGAN, UPPER PENINSULA, CHIPPEWA",YEAR,,BU / ACRE,COUNTY,00000000,CROPS,10,23.3,FIELD CROPS,GRAIN,26,ALL PRODUCTION PRACTICES,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,SURVEY,033,UPPER PENINSULA,MICHIGAN,MI,033,26,YIELD,CHIPPEWA,,1955,9000,2012-01-01 00:00:00.000,TOTAL,00,ALL CLASSES,,UNITED STATES
NOT SPECIFIED,ANNUAL,CORN,,,"MICHIGAN, UPPER PENINSULA, DELTA",YEAR,,BU / ACRE,COUNTY,00000000,CROPS,10,33.4,FIELD CROPS,GRAIN,26,ALL PRODUCTION PRACTICES,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,SURVEY,041,UPPER PENINSULA,MICHIGAN,MI,041,26,YIELD,DELTA,,1955,9000,2012-01-01 00:00:00.000,TOTAL,00,ALL CLASSES,,UNITED STATES
NOT SPECIFIED,ANNUAL,CORN,,,"MICHIGAN, UPPER PENINSULA, DICKINSON",YEAR,,BU / ACRE,COUNTY,00000000,CROPS,10,31.4,FIELD CROPS,GRAIN,26,ALL PRODUCTION PRACTICES,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,SURVEY,043,UPPER PENINSULA,MICHIGAN,MI,043,26,YIELD,DICKINSON,,1955,9000,2012-01-01 00:00:00.000,TOTAL,00,ALL CLASSES,,UNITED STATES
NOT SPECIFIED,ANNUAL,CORN,,,"MICHIGAN, UPPER PENINSULA, GOGEBIC",YEAR,,BU / ACRE,COUNTY,00000000,CROPS,10,25,FIELD CROPS,GRAIN,26,ALL PRODUCTION PRACTICES,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,SURVEY,053,UPPER PENINSULA,MICHIGAN,MI,053,26,YIELD,GOGEBIC,,1955,9000,2012-01-01 00:00:00.000,TOTAL,00,ALL CLASSES,,UNITED STATES
NOT SPECIFIED,ANNUAL,CORN,,,"MICHIGAN, UPPER PENINSULA, HOUGHTON",YEAR,,BU / ACRE,COUNTY,00000000,CROPS,10,23.3,FIELD CROPS,GRAIN,26,ALL PRODUCTION PRACTICES,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,SURVEY,061,UPPER PENINSULA,MICHIGAN,MI,061,26,YIELD,HOUGHTON,,1955,9000,2012-01-01 00:00:00.000,TOTAL,00,ALL CLASSES,,UNITED STATES
NOT SPECIFIED,ANNUAL,CORN,,,"MICHIGAN, UPPER PENINSULA, IRON",YEAR,,BU / ACRE,COUNTY,00000000,CROPS,10,30,FIELD CROPS,GRAIN,26,ALL PRODUCTION PRACTICES,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,SURVEY,071,UPPER PENINSULA,MICHIGAN,MI,071,26,YIELD,IRON,,1955,9000,2012-01-01 00:00:00.000,TOTAL,00,ALL CLASSES,,UNITED STATES
NOT SPECIFIED,ANNUAL,CORN,,,"MICHIGAN, UPPER PENINSULA, LUCE",YEAR,,BU / ACRE,COUNTY,00000000,CROPS,10,25,FIELD CROPS,GRAIN,26,ALL PRODUCTION PRACTICES,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,SURVEY,095,UPPER PENINSULA,MICHIGAN,MI,095,26,YIELD,LUCE,,1955,9000,2012-01-01 00:00:00.000,TOTAL,00,ALL CLASSES,,UNITED STATES
NOT SPECIFIED,ANNUAL,CORN,,,"MICHIGAN, UPPER PENINSULA, MACKINAC",YEAR,,BU / ACRE,COUNTY,00000000,CROPS,10,13.3,FIELD CROPS,GRAIN,26,ALL PRODUCTION PRACTICES,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,SURVEY,097,UPPER PENINSULA,MICHIGAN,MI,097,26,YIELD,MACKINAC,,1955,9000,2012-01-01 00:00:00.000,TOTAL,00,ALL CLASSES,,UNITED STATES
