unit_desc,domaincat_desc,reference_period_desc,congr_district_code,region_desc,asd_desc,source_desc,util_practice_desc,zip_5,state_ansi,domain_desc,county_code,location_desc,state_fips_code,state_name,class_desc,state_alpha,country_code,commodity_desc,country_name,short_desc,freq_desc,watershed_desc,watershed_code,year,begin_code,load_time,sector_desc,asd_code,CV (%),statisticcat_desc,end_code,county_ansi,prodn_practice_desc,group_desc,county_name,agg_level_desc,Value,week_ending
BU / ACRE,NOT SPECIFIED,YEAR,,,UPPER PENINSULA,SURVEY,GRAIN,,26,TOTAL,003,"MICHIGAN, UPPER PENINSULA, ALGER",26,MICHIGAN,ALL CLASSES,MI,9000,CORN,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1956,00,2012-01-01 00:00:00.000,CROPS,10,,YIELD,00,003,ALL PRODUCTION PRACTICES,FIELD CROPS,ALGER,COUNTY,30,
BU / ACRE,NOT SPECIFIED,YEAR,,,UPPER PENINSULA,SURVEY,GRAIN,,26,TOTAL,013,"MICHIGAN, UPPER PENINSULA, BARAGA",26,MICHIGAN,ALL CLASSES,MI,9000,CORN,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1956,00,2012-01-01 00:00:00.000,CROPS,10,,YIELD,00,013,ALL PRODUCTION PRACTICES,FIELD CROPS,BARAGA,COUNTY,40,
BU / ACRE,NOT SPECIFIED,YEAR,,,UPPER PENINSULA,SURVEY,GRAIN,,26,TOTAL,033,"MICHIGAN, UPPER PENINSULA, CHIPPEWA",26,MICHIGAN,ALL CLASSES,MI,9000,CORN,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1956,00,2012-01-01 00:00:00.000,CROPS,10,,YIELD,00,033,ALL PRODUCTION PRACTICES,FIELD CROPS,CHIPPEWA,COUNTY,30,
BU / ACRE,NOT SPECIFIED,YEAR,,,UPPER PENINSULA,SURVEY,GRAIN,,26,TOTAL,041,"MICHIGAN, UPPER PENINSULA, DELTA",26,MICHIGAN,ALL CLASSES,MI,9000,CORN,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1956,00,2012-01-01 00:00:00.000,CROPS,10,,YIELD,00,041,ALL PRODUCTION PRACTICES,FIELD CROPS,DELTA,COUNTY,36.6,
BU / ACRE,NOT SPECIFIED,YEAR,,,UPPER PENINSULA,SURVEY,GRAIN,,26,TOTAL,043,"MICHIGAN, UPPER PENINSULA, DICKINSON",26,MICHIGAN,ALL CLASSES,MI,9000,CORN,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1956,00,2012-01-01 00:00:00.000,CROPS,10,,YIELD,00,043,ALL PRODUCTION PRACTICES,FIELD CROPS,DICKINSON,COUNTY,47.6,
BU / ACRE,NOT SPECIFIED,YEAR,,,UPPER PENINSULA,SURVEY,GRAIN,,26,TOTAL,053,"MICHIGAN, UPPER PENINSULA, GOGEBIC",26,MICHIGAN,ALL CLASSES,MI,9000,CORN,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1956,00,2012-01-01 00:00:00.000,CROPS,10,,YIELD,00,053,ALL PRODUCTION PRACTICES,FIELD CROPS,GOGEBIC,COUNTY,30,
BU / ACRE,NOT SPECIFIED,YEAR,,,UPPER PENINSULA,SURVEY,GRAIN,,26,TOTAL,061,"MICHIGAN, UPPER PENINSULA, HOUGHTON",26,MICHIGAN,ALL CLASSES,MI,9000,CORN,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1956,00,2012-01-01 00:00:00.000,CROPS,10,,YIELD,00,061,ALL PRODUCTION PRACTICES,FIELD CROPS,HOUGHTON,COUNTY,26.7,
BU / ACRE,NOT SPECIFIED,YEAR,,,UPPER PENINSULA,SURVEY,GRAIN,,26,TOTAL,071,"MICHIGAN, UPPER PENINSULA, IRON",26,MICHIGAN,ALL CLASSES,MI,9000,CORN,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1956,00,2012-01-01 00:00:00.000,CROPS,10,,YIELD,00,071,ALL PRODUCTION PRACTICES,FIELD CROPS,IRON,COUNTY,41.7,
BU / ACRE,NOT SPECIFIED,YEAR,,,UPPER PENINSULA,SURVEY,GRAIN,,26,TOTAL,095,"MICHIGAN, UPPER PENINSULA, LUCE",26,MICHIGAN,ALL CLASSES,MI,9000,CORN,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1956,00,2012-01-01 00:00:00.000,CROPS,10,,YIELD,00,095,ALL PRODUCTION PRACTICES,FIELD CROPS,LUCE,COUNTY,32,
BU / ACRE,NOT SPECIFIED,YEAR,,,UPPER PENINSULA,SURVEY,GRAIN,,26,TOTAL,097,"MICHIGAN, UPPER PENINSULA, MACKINAC",26,MICHIGAN,ALL CLASSES,MI,9000,CORN,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1956,00,2012-01-01 00:00:00.000,CROPS,10,,YIELD,00,097,ALL PRODUCTION PRACTICES,FIELD CROPS,MACKINAC,COUNTY,20,
