util_practice_desc,location_desc,region_desc,zip_5,group_desc,state_ansi,country_code,asd_desc,state_fips_code,sector_desc,year,agg_level_desc,county_code,week_ending,asd_code,short_desc,reference_period_desc,state_name,class_desc,load_time,commodity_desc,domain_desc,state_alpha,watershed_code,county_name,prodn_practice_desc,country_name,watershed_desc,county_ansi,domaincat_desc,end_code,CV (%),begin_code,unit_desc,congr_district_code,freq_desc,Value,source_desc,statisticcat_desc
GRAIN,"MICHIGAN, UPPER PENINSULA, ALGER",,,FIELD CROPS,26,9000,UPPER PENINSULA,26,CROPS,1957,COUNTY,003,,10,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,ALL CLASSES,2012-01-01 00:00:00.000,CORN,TOTAL,MI,00000000,ALGER,ALL PRODUCTION PRACTICES,UNITED STATES,,003,NOT SPECIFIED,00,,00,BU / ACRE,,ANNUAL,30,SURVEY,YIELD
GRAIN,"MICHIGAN, UPPER PENINSULA, BARAGA",,,FIELD CROPS,26,9000,UPPER PENINSULA,26,CROPS,1957,COUNTY,013,,10,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,ALL CLASSES,2012-01-01 00:00:00.000,CORN,TOTAL,MI,00000000,BARAGA,ALL PRODUCTION PRACTICES,UNITED STATES,,013,NOT SPECIFIED,00,,00,BU / ACRE,,ANNUAL,56.7,SURVEY,YIELD
GRAIN,"MICHIGAN, UPPER PENINSULA, CHIPPEWA",,,FIELD CROPS,26,9000,UPPER PENINSULA,26,CROPS,1957,COUNTY,033,,10,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,ALL CLASSES,2012-01-01 00:00:00.000,CORN,TOTAL,MI,00000000,CHIPPEWA,ALL PRODUCTION PRACTICES,UNITED STATES,,033,NOT SPECIFIED,00,,00,BU / ACRE,,ANNUAL,30,SURVEY,YIELD
GRAIN,"MICHIGAN, UPPER PENINSULA, DELTA",,,FIELD CROPS,26,9000,UPPER PENINSULA,26,CROPS,1957,COUNTY,041,,10,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,ALL CLASSES,2012-01-01 00:00:00.000,CORN,TOTAL,MI,00000000,DELTA,ALL PRODUCTION PRACTICES,UNITED STATES,,041,NOT SPECIFIED,00,,00,BU / ACRE,,ANNUAL,44,SURVEY,YIELD
GRAIN,"MICHIGAN, UPPER PENINSULA, DICKINSON",,,FIELD CROPS,26,9000,UPPER PENINSULA,26,CROPS,1957,COUNTY,043,,10,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,ALL CLASSES,2012-01-01 00:00:00.000,CORN,TOTAL,MI,00000000,DICKINSON,ALL PRODUCTION PRACTICES,UNITED STATES,,043,NOT SPECIFIED,00,,00,BU / ACRE,,ANNUAL,59.5,SURVEY,YIELD
GRAIN,"MICHIGAN, UPPER PENINSULA, GOGEBIC",,,FIELD CROPS,26,9000,UPPER PENINSULA,26,CROPS,1957,COUNTY,053,,10,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,ALL CLASSES,2012-01-01 00:00:00.000,CORN,TOTAL,MI,00000000,GOGEBIC,ALL PRODUCTION PRACTICES,UNITED STATES,,053,NOT SPECIFIED,00,,00,BU / ACRE,,ANNUAL,22.5,SURVEY,YIELD
GRAIN,"MICHIGAN, UPPER PENINSULA, HOUGHTON",,,FIELD CROPS,26,9000,UPPER PENINSULA,26,CROPS,1957,COUNTY,061,,10,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,ALL CLASSES,2012-01-01 00:00:00.000,CORN,TOTAL,MI,00000000,HOUGHTON,ALL PRODUCTION PRACTICES,UNITED STATES,,061,NOT SPECIFIED,00,,00,BU / ACRE,,ANNUAL,23.3,SURVEY,YIELD
GRAIN,"MICHIGAN, UPPER PENINSULA, IRON",,,FIELD CROPS,26,9000,UPPER PENINSULA,26,CROPS,1957,COUNTY,071,,10,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,ALL CLASSES,2012-01-01 00:00:00.000,CORN,TOTAL,MI,00000000,IRON,ALL PRODUCTION PRACTICES,UNITED STATES,,071,NOT SPECIFIED,00,,00,BU / ACRE,,ANNUAL,58.6,SURVEY,YIELD
GRAIN,"MICHIGAN, UPPER PENINSULA, LUCE",,,FIELD CROPS,26,9000,UPPER PENINSULA,26,CROPS,1957,COUNTY,095,,10,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,ALL CLASSES,2012-01-01 00:00:00.000,CORN,TOTAL,MI,00000000,LUCE,ALL PRODUCTION PRACTICES,UNITED STATES,,095,NOT SPECIFIED,00,,00,BU / ACRE,,ANNUAL,35,SURVEY,YIELD
GRAIN,"MICHIGAN, UPPER PENINSULA, MACKINAC",,,FIELD CROPS,26,9000,UPPER PENINSULA,26,CROPS,1957,COUNTY,097,,10,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,ALL CLASSES,2012-01-01 00:00:00.000,CORN,TOTAL,MI,00000000,MACKINAC,ALL PRODUCTION PRACTICES,UNITED STATES,,097,NOT SPECIFIED,00,,00,BU / ACRE,,ANNUAL,20,SURVEY,YIELD
