unit_desc,agg_level_desc,week_ending,reference_period_desc,location_desc,region_desc,congr_district_code,freq_desc,domaincat_desc,commodity_desc,begin_code,short_desc,zip_5,prodn_practice_desc,util_practice_desc,state_ansi,Value,group_desc,asd_code,watershed_code,sector_desc,CV (%),statisticcat_desc,county_name,state_fips_code,county_code,state_alpha,source_desc,county_ansi,state_name,asd_desc,country_name,watershed_desc,domain_desc,class_desc,end_code,load_time,country_code,year
BU / ACRE,COUNTY,,YEAR,"MICHIGAN, UPPER PENINSULA, OTHER (COMBINED) COUNTIES",,,ANNUAL,NOT SPECIFIED,CORN,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,ALL PRODUCTION PRACTICES,GRAIN,26,9,FIELD CROPS,10,00000000,CROPS,,YIELD,OTHER (COMBINED) COUNTIES,26,998,MI,SURVEY,,MICHIGAN,UPPER PENINSULA,UNITED STATES,,TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1958
BU / ACRE,COUNTY,,YEAR,"MICHIGAN, UPPER PENINSULA, DELTA",,,ANNUAL,NOT SPECIFIED,CORN,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,ALL PRODUCTION PRACTICES,GRAIN,26,38.2,FIELD CROPS,10,00000000,CROPS,,YIELD,DELTA,26,041,MI,SURVEY,041,MICHIGAN,UPPER PENINSULA,UNITED STATES,,TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1958
BU / ACRE,COUNTY,,YEAR,"MICHIGAN, UPPER PENINSULA, DICKINSON",,,ANNUAL,NOT SPECIFIED,CORN,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,ALL PRODUCTION PRACTICES,GRAIN,26,56.7,FIELD CROPS,10,00000000,CROPS,,YIELD,DICKINSON,26,043,MI,SURVEY,043,MICHIGAN,UPPER PENINSULA,UNITED STATES,,TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1958
BU / ACRE,COUNTY,,YEAR,"MICHIGAN, UPPER PENINSULA, GOGEBIC",,,ANNUAL,NOT SPECIFIED,CORN,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,ALL PRODUCTION PRACTICES,GRAIN,26,30,FIELD CROPS,10,00000000,CROPS,,YIELD,GOGEBIC,26,053,MI,SURVEY,053,MICHIGAN,UPPER PENINSULA,UNITED STATES,,TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1958
BU / ACRE,COUNTY,,YEAR,"MICHIGAN, UPPER PENINSULA, HOUGHTON",,,ANNUAL,NOT SPECIFIED,CORN,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,ALL PRODUCTION PRACTICES,GRAIN,26,30,FIELD CROPS,10,00000000,CROPS,,YIELD,HOUGHTON,26,061,MI,SURVEY,061,MICHIGAN,UPPER PENINSULA,UNITED STATES,,TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1958
BU / ACRE,COUNTY,,YEAR,"MICHIGAN, UPPER PENINSULA, IRON",,,ANNUAL,NOT SPECIFIED,CORN,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,ALL PRODUCTION PRACTICES,GRAIN,26,52.5,FIELD CROPS,10,00000000,CROPS,,YIELD,IRON,26,071,MI,SURVEY,071,MICHIGAN,UPPER PENINSULA,UNITED STATES,,TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1958
BU / ACRE,COUNTY,,YEAR,"MICHIGAN, UPPER PENINSULA, LUCE",,,ANNUAL,NOT SPECIFIED,CORN,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,ALL PRODUCTION PRACTICES,GRAIN,26,31.3,FIELD CROPS,10,00000000,CROPS,,YIELD,LUCE,26,095,MI,SURVEY,095,MICHIGAN,UPPER PENINSULA,UNITED STATES,,TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1958
BU / ACRE,COUNTY,,YEAR,"MICHIGAN, UPPER PENINSULA, MARQUETTE",,,ANNUAL,NOT SPECIFIED,CORN,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,ALL PRODUCTION PRACTICES,GRAIN,26,37.5,FIELD CROPS,10,00000000,CROPS,,YIELD,MARQUETTE,26,103,MI,SURVEY,103,MICHIGAN,UPPER PENINSULA,UNITED STATES,,TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1958
BU / ACRE,COUNTY,,YEAR,"MICHIGAN, UPPER PENINSULA, MENOMINEE",,,ANNUAL,NOT SPECIFIED,CORN,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,ALL PRODUCTION PRACTICES,GRAIN,26,41.3,FIELD CROPS,10,00000000,CROPS,,YIELD,MENOMINEE,26,109,MI,SURVEY,109,MICHIGAN,UPPER PENINSULA,UNITED STATES,,TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1958
BU / ACRE,COUNTY,,YEAR,"MICHIGAN, UPPER PENINSULA, ONTONAGON",,,ANNUAL,NOT SPECIFIED,CORN,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,ALL PRODUCTION PRACTICES,GRAIN,26,20,FIELD CROPS,10,00000000,CROPS,,YIELD,ONTONAGON,26,131,MI,SURVEY,131,MICHIGAN,UPPER PENINSULA,UNITED STATES,,TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1958
