domaincat_desc,reference_period_desc,unit_desc,asd_desc,region_desc,congr_district_code,util_practice_desc,zip_5,state_ansi,source_desc,state_fips_code,state_name,county_code,domain_desc,location_desc,country_name,commodity_desc,state_alpha,class_desc,country_code,load_time,begin_code,year,watershed_desc,watershed_code,short_desc,freq_desc,group_desc,agg_level_desc,county_name,asd_code,statisticcat_desc,CV (%),sector_desc,prodn_practice_desc,county_ansi,end_code,week_ending,Value
NOT SPECIFIED,YEAR,BU / ACRE,UPPER PENINSULA,,,GRAIN,,26,SURVEY,26,MICHIGAN,003,TOTAL,"MICHIGAN, UPPER PENINSULA, ALGER",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,ALGER,10,YIELD,,CROPS,ALL PRODUCTION PRACTICES,003,00,,40
NOT SPECIFIED,YEAR,BU / ACRE,UPPER PENINSULA,,,GRAIN,,26,SURVEY,26,MICHIGAN,041,TOTAL,"MICHIGAN, UPPER PENINSULA, DELTA",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,DELTA,10,YIELD,,CROPS,ALL PRODUCTION PRACTICES,041,00,,40
NOT SPECIFIED,YEAR,BU / ACRE,UPPER PENINSULA,,,GRAIN,,26,SURVEY,26,MICHIGAN,043,TOTAL,"MICHIGAN, UPPER PENINSULA, DICKINSON",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,DICKINSON,10,YIELD,,CROPS,ALL PRODUCTION PRACTICES,043,00,,40
NOT SPECIFIED,YEAR,BU / ACRE,UPPER PENINSULA,,,GRAIN,,26,SURVEY,26,MICHIGAN,097,TOTAL,"MICHIGAN, UPPER PENINSULA, MACKINAC",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,MACKINAC,10,YIELD,,CROPS,ALL PRODUCTION PRACTICES,097,00,,40
NOT SPECIFIED,YEAR,BU / ACRE,UPPER PENINSULA,,,GRAIN,,26,SURVEY,26,MICHIGAN,109,TOTAL,"MICHIGAN, UPPER PENINSULA, MENOMINEE",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,MENOMINEE,10,YIELD,,CROPS,ALL PRODUCTION PRACTICES,109,00,,40
NOT SPECIFIED,YEAR,BU / ACRE,NORTHWEST,,,GRAIN,,26,SURVEY,26,MICHIGAN,009,TOTAL,"MICHIGAN, NORTHWEST, ANTRIM",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,ANTRIM,20,YIELD,,CROPS,ALL PRODUCTION PRACTICES,009,00,,40.5
NOT SPECIFIED,YEAR,BU / ACRE,NORTHWEST,,,GRAIN,,26,SURVEY,26,MICHIGAN,019,TOTAL,"MICHIGAN, NORTHWEST, BENZIE",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,BENZIE,20,YIELD,,CROPS,ALL PRODUCTION PRACTICES,019,00,,35.6
NOT SPECIFIED,YEAR,BU / ACRE,NORTHWEST,,,GRAIN,,26,SURVEY,26,MICHIGAN,029,TOTAL,"MICHIGAN, NORTHWEST, CHARLEVOIX",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,CHARLEVOIX,20,YIELD,,CROPS,ALL PRODUCTION PRACTICES,029,00,,33
NOT SPECIFIED,YEAR,BU / ACRE,NORTHWEST,,,GRAIN,,26,SURVEY,26,MICHIGAN,047,TOTAL,"MICHIGAN, NORTHWEST, EMMET",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,EMMET,20,YIELD,,CROPS,ALL PRODUCTION PRACTICES,047,00,,34.3
NOT SPECIFIED,YEAR,BU / ACRE,NORTHWEST,,,GRAIN,,26,SURVEY,26,MICHIGAN,055,TOTAL,"MICHIGAN, NORTHWEST, GRAND TRAVERSE",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,GRAND TRAVERSE,20,YIELD,,CROPS,ALL PRODUCTION PRACTICES,055,00,,47.8
