domaincat_desc,reference_period_desc,unit_desc,asd_desc,congr_district_code,region_desc,zip_5,util_practice_desc,state_ansi,source_desc,state_fips_code,state_name,county_code,domain_desc,location_desc,commodity_desc,country_name,class_desc,state_alpha,country_code,begin_code,load_time,short_desc,freq_desc,watershed_desc,watershed_code,year,group_desc,county_name,agg_level_desc,sector_desc,asd_code,statisticcat_desc,CV (%),end_code,county_ansi,prodn_practice_desc,Value,week_ending
NOT SPECIFIED,YEAR,BU / ACRE,UPPER PENINSULA,,,,GRAIN,26,SURVEY,26,MICHIGAN,998,TOTAL,"MICHIGAN, UPPER PENINSULA, OTHER (COMBINED) COUNTIES",CORN,UNITED STATES,ALL CLASSES,MI,9000,00,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1960,FIELD CROPS,OTHER (COMBINED) COUNTIES,COUNTY,CROPS,10,YIELD,,00,,ALL PRODUCTION PRACTICES,46.7,
NOT SPECIFIED,YEAR,BU / ACRE,NORTHWEST,,,,GRAIN,26,SURVEY,26,MICHIGAN,998,TOTAL,"MICHIGAN, NORTHWEST, OTHER (COMBINED) COUNTIES",CORN,UNITED STATES,ALL CLASSES,MI,9000,00,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1960,FIELD CROPS,OTHER (COMBINED) COUNTIES,COUNTY,CROPS,20,YIELD,,00,,ALL PRODUCTION PRACTICES,41,
NOT SPECIFIED,YEAR,BU / ACRE,NORTHWEST,,,,GRAIN,26,SURVEY,26,MICHIGAN,055,TOTAL,"MICHIGAN, NORTHWEST, GRAND TRAVERSE",CORN,UNITED STATES,ALL CLASSES,MI,9000,00,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1960,FIELD CROPS,GRAND TRAVERSE,COUNTY,CROPS,20,YIELD,,00,055,ALL PRODUCTION PRACTICES,47.9,
NOT SPECIFIED,YEAR,BU / ACRE,NORTHWEST,,,,GRAIN,26,SURVEY,26,MICHIGAN,113,TOTAL,"MICHIGAN, NORTHWEST, MISSAUKEE",CORN,UNITED STATES,ALL CLASSES,MI,9000,00,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1960,FIELD CROPS,MISSAUKEE,COUNTY,CROPS,20,YIELD,,00,113,ALL PRODUCTION PRACTICES,47.8,
NOT SPECIFIED,YEAR,BU / ACRE,NORTHEAST,,,,GRAIN,26,SURVEY,26,MICHIGAN,998,TOTAL,"MICHIGAN, NORTHEAST, OTHER (COMBINED) COUNTIES",CORN,UNITED STATES,ALL CLASSES,MI,9000,00,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1960,FIELD CROPS,OTHER (COMBINED) COUNTIES,COUNTY,CROPS,30,YIELD,,00,,ALL PRODUCTION PRACTICES,42.9,
NOT SPECIFIED,YEAR,BU / ACRE,NORTHEAST,,,,GRAIN,26,SURVEY,26,MICHIGAN,069,TOTAL,"MICHIGAN, NORTHEAST, IOSCO",CORN,UNITED STATES,ALL CLASSES,MI,9000,00,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1960,FIELD CROPS,IOSCO,COUNTY,CROPS,30,YIELD,,00,069,ALL PRODUCTION PRACTICES,36,
NOT SPECIFIED,YEAR,BU / ACRE,NORTHEAST,,,,GRAIN,26,SURVEY,26,MICHIGAN,129,TOTAL,"MICHIGAN, NORTHEAST, OGEMAW",CORN,UNITED STATES,ALL CLASSES,MI,9000,00,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1960,FIELD CROPS,OGEMAW,COUNTY,CROPS,30,YIELD,,00,129,ALL PRODUCTION PRACTICES,42.1,
NOT SPECIFIED,YEAR,BU / ACRE,WEST CENTRAL,,,,GRAIN,26,SURVEY,26,MICHIGAN,085,TOTAL,"MICHIGAN, WEST CENTRAL, LAKE",CORN,UNITED STATES,ALL CLASSES,MI,9000,00,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1960,FIELD CROPS,LAKE,COUNTY,CROPS,40,YIELD,,00,085,ALL PRODUCTION PRACTICES,33.3,
NOT SPECIFIED,YEAR,BU / ACRE,WEST CENTRAL,,,,GRAIN,26,SURVEY,26,MICHIGAN,105,TOTAL,"MICHIGAN, WEST CENTRAL, MASON",CORN,UNITED STATES,ALL CLASSES,MI,9000,00,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1960,FIELD CROPS,MASON,COUNTY,CROPS,40,YIELD,,00,105,ALL PRODUCTION PRACTICES,51,
NOT SPECIFIED,YEAR,BU / ACRE,WEST CENTRAL,,,,GRAIN,26,SURVEY,26,MICHIGAN,121,TOTAL,"MICHIGAN, WEST CENTRAL, MUSKEGON",CORN,UNITED STATES,ALL CLASSES,MI,9000,00,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1960,FIELD CROPS,MUSKEGON,COUNTY,CROPS,40,YIELD,,00,121,ALL PRODUCTION PRACTICES,51,
NOT SPECIFIED,YEAR,BU / ACRE,WEST CENTRAL,,,,GRAIN,26,SURVEY,26,MICHIGAN,123,TOTAL,"MICHIGAN, WEST CENTRAL, NEWAYGO",CORN,UNITED STATES,ALL CLASSES,MI,9000,00,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1960,FIELD CROPS,NEWAYGO,COUNTY,CROPS,40,YIELD,,00,123,ALL PRODUCTION PRACTICES,46,
NOT SPECIFIED,YEAR,BU / ACRE,WEST CENTRAL,,,,GRAIN,26,SURVEY,26,MICHIGAN,127,TOTAL,"MICHIGAN, WEST CENTRAL, OCEANA",CORN,UNITED STATES,ALL CLASSES,MI,9000,00,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1960,FIELD CROPS,OCEANA,COUNTY,CROPS,40,YIELD,,00,127,ALL PRODUCTION PRACTICES,45.1,
NOT SPECIFIED,YEAR,BU / ACRE,CENTRAL,,,,GRAIN,26,SURVEY,26,MICHIGAN,035,TOTAL,"MICHIGAN, CENTRAL, CLARE",CORN,UNITED STATES,ALL CLASSES,MI,9000,00,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1960,FIELD CROPS,CLARE,COUNTY,CROPS,50,YIELD,,00,035,ALL PRODUCTION PRACTICES,47.9,
NOT SPECIFIED,YEAR,BU / ACRE,CENTRAL,,,,GRAIN,26,SURVEY,26,MICHIGAN,051,TOTAL,"MICHIGAN, CENTRAL, GLADWIN",CORN,UNITED STATES,ALL CLASSES,MI,9000,00,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1960,FIELD CROPS,GLADWIN,COUNTY,CROPS,50,YIELD,,00,051,ALL PRODUCTION PRACTICES,40.3,
NOT SPECIFIED,YEAR,BU / ACRE,CENTRAL,,,,GRAIN,26,SURVEY,26,MICHIGAN,057,TOTAL,"MICHIGAN, CENTRAL, GRATIOT",CORN,UNITED STATES,ALL CLASSES,MI,9000,00,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1960,FIELD CROPS,GRATIOT,COUNTY,CROPS,50,YIELD,,00,057,ALL PRODUCTION PRACTICES,65.5,
NOT SPECIFIED,YEAR,BU / ACRE,CENTRAL,,,,GRAIN,26,SURVEY,26,MICHIGAN,073,TOTAL,"MICHIGAN, CENTRAL, ISABELLA",CORN,UNITED STATES,ALL CLASSES,MI,9000,00,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1960,FIELD CROPS,ISABELLA,COUNTY,CROPS,50,YIELD,,00,073,ALL PRODUCTION PRACTICES,51,
NOT SPECIFIED,YEAR,BU / ACRE,CENTRAL,,,,GRAIN,26,SURVEY,26,MICHIGAN,107,TOTAL,"MICHIGAN, CENTRAL, MECOSTA",CORN,UNITED STATES,ALL CLASSES,MI,9000,00,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1960,FIELD CROPS,MECOSTA,COUNTY,CROPS,50,YIELD,,00,107,ALL PRODUCTION PRACTICES,51,
NOT SPECIFIED,YEAR,BU / ACRE,CENTRAL,,,,GRAIN,26,SURVEY,26,MICHIGAN,111,TOTAL,"MICHIGAN, CENTRAL, MIDLAND",CORN,UNITED STATES,ALL CLASSES,MI,9000,00,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1960,FIELD CROPS,MIDLAND,COUNTY,CROPS,50,YIELD,,00,111,ALL PRODUCTION PRACTICES,51.7,
NOT SPECIFIED,YEAR,BU / ACRE,CENTRAL,,,,GRAIN,26,SURVEY,26,MICHIGAN,117,TOTAL,"MICHIGAN, CENTRAL, MONTCALM",CORN,UNITED STATES,ALL CLASSES,MI,9000,00,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1960,FIELD CROPS,MONTCALM,COUNTY,CROPS,50,YIELD,,00,117,ALL PRODUCTION PRACTICES,66.5,
NOT SPECIFIED,YEAR,BU / ACRE,CENTRAL,,,,GRAIN,26,SURVEY,26,MICHIGAN,133,TOTAL,"MICHIGAN, CENTRAL, OSCEOLA",CORN,UNITED STATES,ALL CLASSES,MI,9000,00,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1960,FIELD CROPS,OSCEOLA,COUNTY,CROPS,50,YIELD,,00,133,ALL PRODUCTION PRACTICES,45.1,
NOT SPECIFIED,YEAR,BU / ACRE,EAST CENTRAL,,,,GRAIN,26,SURVEY,26,MICHIGAN,011,TOTAL,"MICHIGAN, EAST CENTRAL, ARENAC",CORN,UNITED STATES,ALL CLASSES,MI,9000,00,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1960,FIELD CROPS,ARENAC,COUNTY,CROPS,60,YIELD,,00,011,ALL PRODUCTION PRACTICES,37.9,
NOT SPECIFIED,YEAR,BU / ACRE,EAST CENTRAL,,,,GRAIN,26,SURVEY,26,MICHIGAN,017,TOTAL,"MICHIGAN, EAST CENTRAL, BAY",CORN,UNITED STATES,ALL CLASSES,MI,9000,00,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1960,FIELD CROPS,BAY,COUNTY,CROPS,60,YIELD,,00,017,ALL PRODUCTION PRACTICES,56,
NOT SPECIFIED,YEAR,BU / ACRE,EAST CENTRAL,,,,GRAIN,26,SURVEY,26,MICHIGAN,063,TOTAL,"MICHIGAN, EAST CENTRAL, HURON",CORN,UNITED STATES,ALL CLASSES,MI,9000,00,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1960,FIELD CROPS,HURON,COUNTY,CROPS,60,YIELD,,00,063,ALL PRODUCTION PRACTICES,51,
NOT SPECIFIED,YEAR,BU / ACRE,EAST CENTRAL,,,,GRAIN,26,SURVEY,26,MICHIGAN,145,TOTAL,"MICHIGAN, EAST CENTRAL, SAGINAW",CORN,UNITED STATES,ALL CLASSES,MI,9000,00,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1960,FIELD CROPS,SAGINAW,COUNTY,CROPS,60,YIELD,,00,145,ALL PRODUCTION PRACTICES,54.6,
