group_desc,Value,state_ansi,util_practice_desc,sector_desc,watershed_code,asd_code,zip_5,short_desc,begin_code,prodn_practice_desc,region_desc,location_desc,commodity_desc,freq_desc,domaincat_desc,congr_district_code,week_ending,agg_level_desc,unit_desc,reference_period_desc,load_time,class_desc,end_code,domain_desc,year,country_code,country_name,watershed_desc,state_alpha,county_code,state_name,asd_desc,county_ansi,source_desc,CV (%),state_fips_code,statisticcat_desc,county_name
FIELD CROPS,50,26,GRAIN,CROPS,00000000,10,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,ALL PRODUCTION PRACTICES,,"MICHIGAN, UPPER PENINSULA, OTHER (COMBINED) COUNTIES",CORN,ANNUAL,NOT SPECIFIED,,,COUNTY,BU / ACRE,YEAR,2012-01-01 00:00:00.000,ALL CLASSES,00,TOTAL,1962,9000,UNITED STATES,,MI,998,MICHIGAN,UPPER PENINSULA,,SURVEY,,26,YIELD,OTHER (COMBINED) COUNTIES
FIELD CROPS,44,26,GRAIN,CROPS,00000000,20,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,ALL PRODUCTION PRACTICES,,"MICHIGAN, NORTHWEST, OTHER (COMBINED) COUNTIES",CORN,ANNUAL,NOT SPECIFIED,,,COUNTY,BU / ACRE,YEAR,2012-01-01 00:00:00.000,ALL CLASSES,00,TOTAL,1962,9000,UNITED STATES,,MI,998,MICHIGAN,NORTHWEST,,SURVEY,,26,YIELD,OTHER (COMBINED) COUNTIES
FIELD CROPS,56.3,26,GRAIN,CROPS,00000000,20,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,ALL PRODUCTION PRACTICES,,"MICHIGAN, NORTHWEST, GRAND TRAVERSE",CORN,ANNUAL,NOT SPECIFIED,,,COUNTY,BU / ACRE,YEAR,2012-01-01 00:00:00.000,ALL CLASSES,00,TOTAL,1962,9000,UNITED STATES,,MI,055,MICHIGAN,NORTHWEST,055,SURVEY,,26,YIELD,GRAND TRAVERSE
FIELD CROPS,62.2,26,GRAIN,CROPS,00000000,20,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,ALL PRODUCTION PRACTICES,,"MICHIGAN, NORTHWEST, MISSAUKEE",CORN,ANNUAL,NOT SPECIFIED,,,COUNTY,BU / ACRE,YEAR,2012-01-01 00:00:00.000,ALL CLASSES,00,TOTAL,1962,9000,UNITED STATES,,MI,113,MICHIGAN,NORTHWEST,113,SURVEY,,26,YIELD,MISSAUKEE
FIELD CROPS,50.8,26,GRAIN,CROPS,00000000,30,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,ALL PRODUCTION PRACTICES,,"MICHIGAN, NORTHEAST, OTHER (COMBINED) COUNTIES",CORN,ANNUAL,NOT SPECIFIED,,,COUNTY,BU / ACRE,YEAR,2012-01-01 00:00:00.000,ALL CLASSES,00,TOTAL,1962,9000,UNITED STATES,,MI,998,MICHIGAN,NORTHEAST,,SURVEY,,26,YIELD,OTHER (COMBINED) COUNTIES
FIELD CROPS,47,26,GRAIN,CROPS,00000000,30,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,ALL PRODUCTION PRACTICES,,"MICHIGAN, NORTHEAST, IOSCO",CORN,ANNUAL,NOT SPECIFIED,,,COUNTY,BU / ACRE,YEAR,2012-01-01 00:00:00.000,ALL CLASSES,00,TOTAL,1962,9000,UNITED STATES,,MI,069,MICHIGAN,NORTHEAST,069,SURVEY,,26,YIELD,IOSCO
FIELD CROPS,46.7,26,GRAIN,CROPS,00000000,30,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,ALL PRODUCTION PRACTICES,,"MICHIGAN, NORTHEAST, OGEMAW",CORN,ANNUAL,NOT SPECIFIED,,,COUNTY,BU / ACRE,YEAR,2012-01-01 00:00:00.000,ALL CLASSES,00,TOTAL,1962,9000,UNITED STATES,,MI,129,MICHIGAN,NORTHEAST,129,SURVEY,,26,YIELD,OGEMAW
FIELD CROPS,48,26,GRAIN,CROPS,00000000,40,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,ALL PRODUCTION PRACTICES,,"MICHIGAN, WEST CENTRAL, LAKE",CORN,ANNUAL,NOT SPECIFIED,,,COUNTY,BU / ACRE,YEAR,2012-01-01 00:00:00.000,ALL CLASSES,00,TOTAL,1962,9000,UNITED STATES,,MI,085,MICHIGAN,WEST CENTRAL,085,SURVEY,,26,YIELD,LAKE
FIELD CROPS,50.8,26,GRAIN,CROPS,00000000,40,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,ALL PRODUCTION PRACTICES,,"MICHIGAN, WEST CENTRAL, MASON",CORN,ANNUAL,NOT SPECIFIED,,,COUNTY,BU / ACRE,YEAR,2012-01-01 00:00:00.000,ALL CLASSES,00,TOTAL,1962,9000,UNITED STATES,,MI,105,MICHIGAN,WEST CENTRAL,105,SURVEY,,26,YIELD,MASON
FIELD CROPS,49.1,26,GRAIN,CROPS,00000000,40,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,ALL PRODUCTION PRACTICES,,"MICHIGAN, WEST CENTRAL, MUSKEGON",CORN,ANNUAL,NOT SPECIFIED,,,COUNTY,BU / ACRE,YEAR,2012-01-01 00:00:00.000,ALL CLASSES,00,TOTAL,1962,9000,UNITED STATES,,MI,121,MICHIGAN,WEST CENTRAL,121,SURVEY,,26,YIELD,MUSKEGON
