region_desc,group_desc,zip_5,state_ansi,util_practice_desc,location_desc,asd_code,country_code,asd_desc,county_code,agg_level_desc,week_ending,state_fips_code,sector_desc,year,prodn_practice_desc,county_name,watershed_desc,country_name,county_ansi,state_name,reference_period_desc,short_desc,load_time,class_desc,domain_desc,commodity_desc,watershed_code,state_alpha,unit_desc,congr_district_code,freq_desc,Value,source_desc,statisticcat_desc,domaincat_desc,end_code,CV (%),begin_code
,FIELD CROPS,,26,GRAIN,"MICHIGAN, UPPER PENINSULA, OTHER (COMBINED) COUNTIES",10,9000,UPPER PENINSULA,998,COUNTY,,26,CROPS,1963,ALL PRODUCTION PRACTICES,OTHER (COMBINED) COUNTIES,,UNITED STATES,,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,TOTAL,CORN,00000000,MI,BU / ACRE,,ANNUAL,46.7,SURVEY,YIELD,NOT SPECIFIED,00,,00
,FIELD CROPS,,26,GRAIN,"MICHIGAN, NORTHWEST, OTHER (COMBINED) COUNTIES",20,9000,NORTHWEST,998,COUNTY,,26,CROPS,1963,ALL PRODUCTION PRACTICES,OTHER (COMBINED) COUNTIES,,UNITED STATES,,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,TOTAL,CORN,00000000,MI,BU / ACRE,,ANNUAL,45,SURVEY,YIELD,NOT SPECIFIED,00,,00
,FIELD CROPS,,26,GRAIN,"MICHIGAN, NORTHWEST, GRAND TRAVERSE",20,9000,NORTHWEST,055,COUNTY,,26,CROPS,1963,ALL PRODUCTION PRACTICES,GRAND TRAVERSE,,UNITED STATES,055,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,TOTAL,CORN,00000000,MI,BU / ACRE,,ANNUAL,56.1,SURVEY,YIELD,NOT SPECIFIED,00,,00
,FIELD CROPS,,26,GRAIN,"MICHIGAN, NORTHWEST, MISSAUKEE",20,9000,NORTHWEST,113,COUNTY,,26,CROPS,1963,ALL PRODUCTION PRACTICES,MISSAUKEE,,UNITED STATES,113,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,TOTAL,CORN,00000000,MI,BU / ACRE,,ANNUAL,62.5,SURVEY,YIELD,NOT SPECIFIED,00,,00
,FIELD CROPS,,26,GRAIN,"MICHIGAN, NORTHEAST, OTHER (COMBINED) COUNTIES",30,9000,NORTHEAST,998,COUNTY,,26,CROPS,1963,ALL PRODUCTION PRACTICES,OTHER (COMBINED) COUNTIES,,UNITED STATES,,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,TOTAL,CORN,00000000,MI,BU / ACRE,,ANNUAL,50.5,SURVEY,YIELD,NOT SPECIFIED,00,,00
,FIELD CROPS,,26,GRAIN,"MICHIGAN, NORTHEAST, IOSCO",30,9000,NORTHEAST,069,COUNTY,,26,CROPS,1963,ALL PRODUCTION PRACTICES,IOSCO,,UNITED STATES,069,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,TOTAL,CORN,00000000,MI,BU / ACRE,,ANNUAL,56,SURVEY,YIELD,NOT SPECIFIED,00,,00
,FIELD CROPS,,26,GRAIN,"MICHIGAN, NORTHEAST, OGEMAW",30,9000,NORTHEAST,129,COUNTY,,26,CROPS,1963,ALL PRODUCTION PRACTICES,OGEMAW,,UNITED STATES,129,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,TOTAL,CORN,00000000,MI,BU / ACRE,,ANNUAL,50.7,SURVEY,YIELD,NOT SPECIFIED,00,,00
,FIELD CROPS,,26,GRAIN,"MICHIGAN, WEST CENTRAL, LAKE",40,9000,WEST CENTRAL,085,COUNTY,,26,CROPS,1963,ALL PRODUCTION PRACTICES,LAKE,,UNITED STATES,085,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,TOTAL,CORN,00000000,MI,BU / ACRE,,ANNUAL,44,SURVEY,YIELD,NOT SPECIFIED,00,,00
,FIELD CROPS,,26,GRAIN,"MICHIGAN, WEST CENTRAL, MASON",40,9000,WEST CENTRAL,105,COUNTY,,26,CROPS,1963,ALL PRODUCTION PRACTICES,MASON,,UNITED STATES,105,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,TOTAL,CORN,00000000,MI,BU / ACRE,,ANNUAL,53.3,SURVEY,YIELD,NOT SPECIFIED,00,,00
,FIELD CROPS,,26,GRAIN,"MICHIGAN, WEST CENTRAL, MUSKEGON",40,9000,WEST CENTRAL,121,COUNTY,,26,CROPS,1963,ALL PRODUCTION PRACTICES,MUSKEGON,,UNITED STATES,121,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,TOTAL,CORN,00000000,MI,BU / ACRE,,ANNUAL,55.3,SURVEY,YIELD,NOT SPECIFIED,00,,00
,FIELD CROPS,,26,GRAIN,"MICHIGAN, WEST CENTRAL, NEWAYGO",40,9000,WEST CENTRAL,123,COUNTY,,26,CROPS,1963,ALL PRODUCTION PRACTICES,NEWAYGO,,UNITED STATES,123,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,TOTAL,CORN,00000000,MI,BU / ACRE,,ANNUAL,50.2,SURVEY,YIELD,NOT SPECIFIED,00,,00
,FIELD CROPS,,26,GRAIN,"MICHIGAN, WEST CENTRAL, OCEANA",40,9000,WEST CENTRAL,127,COUNTY,,26,CROPS,1963,ALL PRODUCTION PRACTICES,OCEANA,,UNITED STATES,127,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,TOTAL,CORN,00000000,MI,BU / ACRE,,ANNUAL,58.3,SURVEY,YIELD,NOT SPECIFIED,00,,00
,FIELD CROPS,,26,GRAIN,"MICHIGAN, CENTRAL, CLARE",50,9000,CENTRAL,035,COUNTY,,26,CROPS,1963,ALL PRODUCTION PRACTICES,CLARE,,UNITED STATES,035,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,TOTAL,CORN,00000000,MI,BU / ACRE,,ANNUAL,59.2,SURVEY,YIELD,NOT SPECIFIED,00,,00
