util_practice_desc,location_desc,state_ansi,region_desc,group_desc,zip_5,asd_desc,week_ending,agg_level_desc,county_code,year,state_fips_code,sector_desc,country_code,asd_code,commodity_desc,domain_desc,watershed_code,state_alpha,state_name,reference_period_desc,short_desc,load_time,class_desc,county_ansi,prodn_practice_desc,county_name,watershed_desc,country_name,begin_code,end_code,domaincat_desc,CV (%),source_desc,Value,statisticcat_desc,unit_desc,congr_district_code,freq_desc
GRAIN,"MICHIGAN, UPPER PENINSULA, DELTA",26,,FIELD CROPS,,UPPER PENINSULA,,COUNTY,041,1964,26,CROPS,9000,10,CORN,TOTAL,00000000,MI,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,041,ALL PRODUCTION PRACTICES,DELTA,,UNITED STATES,00,00,NOT SPECIFIED,,SURVEY,64,YIELD,BU / ACRE,,ANNUAL
GRAIN,"MICHIGAN, UPPER PENINSULA, DICKINSON",26,,FIELD CROPS,,UPPER PENINSULA,,COUNTY,043,1964,26,CROPS,9000,10,CORN,TOTAL,00000000,MI,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,043,ALL PRODUCTION PRACTICES,DICKINSON,,UNITED STATES,00,00,NOT SPECIFIED,,SURVEY,56,YIELD,BU / ACRE,,ANNUAL
GRAIN,"MICHIGAN, UPPER PENINSULA, HOUGHTON",26,,FIELD CROPS,,UPPER PENINSULA,,COUNTY,061,1964,26,CROPS,9000,10,CORN,TOTAL,00000000,MI,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,061,ALL PRODUCTION PRACTICES,HOUGHTON,,UNITED STATES,00,00,NOT SPECIFIED,,SURVEY,50,YIELD,BU / ACRE,,ANNUAL
GRAIN,"MICHIGAN, UPPER PENINSULA, MENOMINEE",26,,FIELD CROPS,,UPPER PENINSULA,,COUNTY,109,1964,26,CROPS,9000,10,CORN,TOTAL,00000000,MI,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,109,ALL PRODUCTION PRACTICES,MENOMINEE,,UNITED STATES,00,00,NOT SPECIFIED,,SURVEY,55.3,YIELD,BU / ACRE,,ANNUAL
GRAIN,"MICHIGAN, NORTHWEST, ANTRIM",26,,FIELD CROPS,,NORTHWEST,,COUNTY,009,1964,26,CROPS,9000,20,CORN,TOTAL,00000000,MI,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,009,ALL PRODUCTION PRACTICES,ANTRIM,,UNITED STATES,00,00,NOT SPECIFIED,,SURVEY,51.6,YIELD,BU / ACRE,,ANNUAL
GRAIN,"MICHIGAN, NORTHWEST, BENZIE",26,,FIELD CROPS,,NORTHWEST,,COUNTY,019,1964,26,CROPS,9000,20,CORN,TOTAL,00000000,MI,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,019,ALL PRODUCTION PRACTICES,BENZIE,,UNITED STATES,00,00,NOT SPECIFIED,,SURVEY,53.9,YIELD,BU / ACRE,,ANNUAL
GRAIN,"MICHIGAN, NORTHWEST, CHARLEVOIX",26,,FIELD CROPS,,NORTHWEST,,COUNTY,029,1964,26,CROPS,9000,20,CORN,TOTAL,00000000,MI,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,029,ALL PRODUCTION PRACTICES,CHARLEVOIX,,UNITED STATES,00,00,NOT SPECIFIED,,SURVEY,56.7,YIELD,BU / ACRE,,ANNUAL
GRAIN,"MICHIGAN, NORTHWEST, EMMET",26,,FIELD CROPS,,NORTHWEST,,COUNTY,047,1964,26,CROPS,9000,20,CORN,TOTAL,00000000,MI,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,047,ALL PRODUCTION PRACTICES,EMMET,,UNITED STATES,00,00,NOT SPECIFIED,,SURVEY,66.3,YIELD,BU / ACRE,,ANNUAL
GRAIN,"MICHIGAN, NORTHWEST, GRAND TRAVERSE",26,,FIELD CROPS,,NORTHWEST,,COUNTY,055,1964,26,CROPS,9000,20,CORN,TOTAL,00000000,MI,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,055,ALL PRODUCTION PRACTICES,GRAND TRAVERSE,,UNITED STATES,00,00,NOT SPECIFIED,,SURVEY,55.7,YIELD,BU / ACRE,,ANNUAL
GRAIN,"MICHIGAN, NORTHWEST, KALKASKA",26,,FIELD CROPS,,NORTHWEST,,COUNTY,079,1964,26,CROPS,9000,20,CORN,TOTAL,00000000,MI,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,079,ALL PRODUCTION PRACTICES,KALKASKA,,UNITED STATES,00,00,NOT SPECIFIED,,SURVEY,45.8,YIELD,BU / ACRE,,ANNUAL
