Value,week_ending,sector_desc,asd_code,statisticcat_desc,CV (%),end_code,county_ansi,prodn_practice_desc,group_desc,agg_level_desc,county_name,short_desc,freq_desc,watershed_desc,watershed_code,year,begin_code,load_time,class_desc,state_alpha,country_code,commodity_desc,country_name,domain_desc,county_code,location_desc,state_fips_code,state_name,source_desc,util_practice_desc,zip_5,state_ansi,congr_district_code,region_desc,asd_desc,unit_desc,domaincat_desc,reference_period_desc
60,,CROPS,10,YIELD,,00,,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,OTHER (COMBINED) COUNTIES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1965,00,2012-01-01 00:00:00.000,ALL CLASSES,MI,9000,CORN,UNITED STATES,TOTAL,998,"MICHIGAN, UPPER PENINSULA, OTHER (COMBINED) COUNTIES",26,MICHIGAN,SURVEY,GRAIN,,26,,,UPPER PENINSULA,BU / ACRE,NOT SPECIFIED,YEAR
45.1,,CROPS,20,YIELD,,00,,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,OTHER (COMBINED) COUNTIES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1965,00,2012-01-01 00:00:00.000,ALL CLASSES,MI,9000,CORN,UNITED STATES,TOTAL,998,"MICHIGAN, NORTHWEST, OTHER (COMBINED) COUNTIES",26,MICHIGAN,SURVEY,GRAIN,,26,,,NORTHWEST,BU / ACRE,NOT SPECIFIED,YEAR
51,,CROPS,20,YIELD,,00,055,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,GRAND TRAVERSE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1965,00,2012-01-01 00:00:00.000,ALL CLASSES,MI,9000,CORN,UNITED STATES,TOTAL,055,"MICHIGAN, NORTHWEST, GRAND TRAVERSE",26,MICHIGAN,SURVEY,GRAIN,,26,,,NORTHWEST,BU / ACRE,NOT SPECIFIED,YEAR
51.5,,CROPS,20,YIELD,,00,113,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,MISSAUKEE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1965,00,2012-01-01 00:00:00.000,ALL CLASSES,MI,9000,CORN,UNITED STATES,TOTAL,113,"MICHIGAN, NORTHWEST, MISSAUKEE",26,MICHIGAN,SURVEY,GRAIN,,26,,,NORTHWEST,BU / ACRE,NOT SPECIFIED,YEAR
54.2,,CROPS,30,YIELD,,00,,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,OTHER (COMBINED) COUNTIES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1965,00,2012-01-01 00:00:00.000,ALL CLASSES,MI,9000,CORN,UNITED STATES,TOTAL,998,"MICHIGAN, NORTHEAST, OTHER (COMBINED) COUNTIES",26,MICHIGAN,SURVEY,GRAIN,,26,,,NORTHEAST,BU / ACRE,NOT SPECIFIED,YEAR
47,,CROPS,30,YIELD,,00,069,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,IOSCO,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1965,00,2012-01-01 00:00:00.000,ALL CLASSES,MI,9000,CORN,UNITED STATES,TOTAL,069,"MICHIGAN, NORTHEAST, IOSCO",26,MICHIGAN,SURVEY,GRAIN,,26,,,NORTHEAST,BU / ACRE,NOT SPECIFIED,YEAR
39.7,,CROPS,30,YIELD,,00,129,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,OGEMAW,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1965,00,2012-01-01 00:00:00.000,ALL CLASSES,MI,9000,CORN,UNITED STATES,TOTAL,129,"MICHIGAN, NORTHEAST, OGEMAW",26,MICHIGAN,SURVEY,GRAIN,,26,,,NORTHEAST,BU / ACRE,NOT SPECIFIED,YEAR
40,,CROPS,40,YIELD,,00,085,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,LAKE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1965,00,2012-01-01 00:00:00.000,ALL CLASSES,MI,9000,CORN,UNITED STATES,TOTAL,085,"MICHIGAN, WEST CENTRAL, LAKE",26,MICHIGAN,SURVEY,GRAIN,,26,,,WEST CENTRAL,BU / ACRE,NOT SPECIFIED,YEAR
51.6,,CROPS,40,YIELD,,00,105,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,MASON,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1965,00,2012-01-01 00:00:00.000,ALL CLASSES,MI,9000,CORN,UNITED STATES,TOTAL,105,"MICHIGAN, WEST CENTRAL, MASON",26,MICHIGAN,SURVEY,GRAIN,,26,,,WEST CENTRAL,BU / ACRE,NOT SPECIFIED,YEAR
56.8,,CROPS,40,YIELD,,00,121,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,MUSKEGON,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1965,00,2012-01-01 00:00:00.000,ALL CLASSES,MI,9000,CORN,UNITED STATES,TOTAL,121,"MICHIGAN, WEST CENTRAL, MUSKEGON",26,MICHIGAN,SURVEY,GRAIN,,26,,,WEST CENTRAL,BU / ACRE,NOT SPECIFIED,YEAR
41,,CROPS,40,YIELD,,00,123,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,NEWAYGO,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1965,00,2012-01-01 00:00:00.000,ALL CLASSES,MI,9000,CORN,UNITED STATES,TOTAL,123,"MICHIGAN, WEST CENTRAL, NEWAYGO",26,MICHIGAN,SURVEY,GRAIN,,26,,,WEST CENTRAL,BU / ACRE,NOT SPECIFIED,YEAR
59.3,,CROPS,40,YIELD,,00,127,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,OCEANA,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1965,00,2012-01-01 00:00:00.000,ALL CLASSES,MI,9000,CORN,UNITED STATES,TOTAL,127,"MICHIGAN, WEST CENTRAL, OCEANA",26,MICHIGAN,SURVEY,GRAIN,,26,,,WEST CENTRAL,BU / ACRE,NOT SPECIFIED,YEAR
46.7,,CROPS,50,YIELD,,00,035,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,CLARE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1965,00,2012-01-01 00:00:00.000,ALL CLASSES,MI,9000,CORN,UNITED STATES,TOTAL,035,"MICHIGAN, CENTRAL, CLARE",26,MICHIGAN,SURVEY,GRAIN,,26,,,CENTRAL,BU / ACRE,NOT SPECIFIED,YEAR
46.5,,CROPS,50,YIELD,,00,051,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,GLADWIN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1965,00,2012-01-01 00:00:00.000,ALL CLASSES,MI,9000,CORN,UNITED STATES,TOTAL,051,"MICHIGAN, CENTRAL, GLADWIN",26,MICHIGAN,SURVEY,GRAIN,,26,,,CENTRAL,BU / ACRE,NOT SPECIFIED,YEAR
62.8,,CROPS,50,YIELD,,00,057,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,GRATIOT,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1965,00,2012-01-01 00:00:00.000,ALL CLASSES,MI,9000,CORN,UNITED STATES,TOTAL,057,"MICHIGAN, CENTRAL, GRATIOT",26,MICHIGAN,SURVEY,GRAIN,,26,,,CENTRAL,BU / ACRE,NOT SPECIFIED,YEAR
50.5,,CROPS,50,YIELD,,00,073,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,ISABELLA,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1965,00,2012-01-01 00:00:00.000,ALL CLASSES,MI,9000,CORN,UNITED STATES,TOTAL,073,"MICHIGAN, CENTRAL, ISABELLA",26,MICHIGAN,SURVEY,GRAIN,,26,,,CENTRAL,BU / ACRE,NOT SPECIFIED,YEAR
47.4,,CROPS,50,YIELD,,00,107,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,MECOSTA,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1965,00,2012-01-01 00:00:00.000,ALL CLASSES,MI,9000,CORN,UNITED STATES,TOTAL,107,"MICHIGAN, CENTRAL, MECOSTA",26,MICHIGAN,SURVEY,GRAIN,,26,,,CENTRAL,BU / ACRE,NOT SPECIFIED,YEAR
56.8,,CROPS,50,YIELD,,00,111,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,MIDLAND,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1965,00,2012-01-01 00:00:00.000,ALL CLASSES,MI,9000,CORN,UNITED STATES,TOTAL,111,"MICHIGAN, CENTRAL, MIDLAND",26,MICHIGAN,SURVEY,GRAIN,,26,,,CENTRAL,BU / ACRE,NOT SPECIFIED,YEAR
50.5,,CROPS,50,YIELD,,00,117,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,MONTCALM,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1965,00,2012-01-01 00:00:00.000,ALL CLASSES,MI,9000,CORN,UNITED STATES,TOTAL,117,"MICHIGAN, CENTRAL, MONTCALM",26,MICHIGAN,SURVEY,GRAIN,,26,,,CENTRAL,BU / ACRE,NOT SPECIFIED,YEAR
44.7,,CROPS,50,YIELD,,00,133,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,OSCEOLA,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1965,00,2012-01-01 00:00:00.000,ALL CLASSES,MI,9000,CORN,UNITED STATES,TOTAL,133,"MICHIGAN, CENTRAL, OSCEOLA",26,MICHIGAN,SURVEY,GRAIN,,26,,,CENTRAL,BU / ACRE,NOT SPECIFIED,YEAR
52.8,,CROPS,60,YIELD,,00,011,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,ARENAC,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1965,00,2012-01-01 00:00:00.000,ALL CLASSES,MI,9000,CORN,UNITED STATES,TOTAL,011,"MICHIGAN, EAST CENTRAL, ARENAC",26,MICHIGAN,SURVEY,GRAIN,,26,,,EAST CENTRAL,BU / ACRE,NOT SPECIFIED,YEAR
60.3,,CROPS,60,YIELD,,00,017,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,BAY,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1965,00,2012-01-01 00:00:00.000,ALL CLASSES,MI,9000,CORN,UNITED STATES,TOTAL,017,"MICHIGAN, EAST CENTRAL, BAY",26,MICHIGAN,SURVEY,GRAIN,,26,,,EAST CENTRAL,BU / ACRE,NOT SPECIFIED,YEAR
67.1,,CROPS,60,YIELD,,00,063,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,HURON,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1965,00,2012-01-01 00:00:00.000,ALL CLASSES,MI,9000,CORN,UNITED STATES,TOTAL,063,"MICHIGAN, EAST CENTRAL, HURON",26,MICHIGAN,SURVEY,GRAIN,,26,,,EAST CENTRAL,BU / ACRE,NOT SPECIFIED,YEAR
