location_desc,county_code,domain_desc,state_name,state_fips_code,source_desc,state_ansi,util_practice_desc,zip_5,congr_district_code,region_desc,asd_desc,unit_desc,reference_period_desc,domaincat_desc,week_ending,Value,end_code,county_ansi,prodn_practice_desc,sector_desc,CV (%),asd_code,statisticcat_desc,agg_level_desc,county_name,group_desc,short_desc,freq_desc,watershed_code,watershed_desc,year,begin_code,load_time,country_code,class_desc,state_alpha,commodity_desc,country_name
"MICHIGAN, UPPER PENINSULA, OTHER (COMBINED) COUNTIES",998,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,UPPER PENINSULA,BU / ACRE,YEAR,NOT SPECIFIED,,66,00,,ALL PRODUCTION PRACTICES,CROPS,,10,YIELD,COUNTY,OTHER (COMBINED) COUNTIES,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1966,00,2012-01-01 00:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES
"MICHIGAN, NORTHWEST, OTHER (COMBINED) COUNTIES",998,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,NORTHWEST,BU / ACRE,YEAR,NOT SPECIFIED,,36.9,00,,ALL PRODUCTION PRACTICES,CROPS,,20,YIELD,COUNTY,OTHER (COMBINED) COUNTIES,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1966,00,2012-01-01 00:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES
"MICHIGAN, NORTHWEST, GRAND TRAVERSE",055,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,NORTHWEST,BU / ACRE,YEAR,NOT SPECIFIED,,38.2,00,055,ALL PRODUCTION PRACTICES,CROPS,,20,YIELD,COUNTY,GRAND TRAVERSE,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1966,00,2012-01-01 00:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES
"MICHIGAN, NORTHWEST, MISSAUKEE",113,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,NORTHWEST,BU / ACRE,YEAR,NOT SPECIFIED,,50,00,113,ALL PRODUCTION PRACTICES,CROPS,,20,YIELD,COUNTY,MISSAUKEE,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1966,00,2012-01-01 00:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES
"MICHIGAN, NORTHEAST, OTHER (COMBINED) COUNTIES",998,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,NORTHEAST,BU / ACRE,YEAR,NOT SPECIFIED,,49.6,00,,ALL PRODUCTION PRACTICES,CROPS,,30,YIELD,COUNTY,OTHER (COMBINED) COUNTIES,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1966,00,2012-01-01 00:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES
"MICHIGAN, NORTHEAST, IOSCO",069,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,NORTHEAST,BU / ACRE,YEAR,NOT SPECIFIED,,53.1,00,069,ALL PRODUCTION PRACTICES,CROPS,,30,YIELD,COUNTY,IOSCO,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1966,00,2012-01-01 00:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES
"MICHIGAN, NORTHEAST, OGEMAW",129,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,NORTHEAST,BU / ACRE,YEAR,NOT SPECIFIED,,48,00,129,ALL PRODUCTION PRACTICES,CROPS,,30,YIELD,COUNTY,OGEMAW,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1966,00,2012-01-01 00:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES
"MICHIGAN, WEST CENTRAL, LAKE",085,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,WEST CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED,,50,00,085,ALL PRODUCTION PRACTICES,CROPS,,40,YIELD,COUNTY,LAKE,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1966,00,2012-01-01 00:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES
"MICHIGAN, WEST CENTRAL, MASON",105,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,WEST CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED,,58,00,105,ALL PRODUCTION PRACTICES,CROPS,,40,YIELD,COUNTY,MASON,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1966,00,2012-01-01 00:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES
"MICHIGAN, WEST CENTRAL, MUSKEGON",121,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,WEST CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED,,62.1,00,121,ALL PRODUCTION PRACTICES,CROPS,,40,YIELD,COUNTY,MUSKEGON,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1966,00,2012-01-01 00:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES
