util_practice_desc,location_desc,state_ansi,group_desc,zip_5,region_desc,week_ending,agg_level_desc,county_code,sector_desc,year,state_fips_code,asd_desc,country_code,asd_code,watershed_code,state_alpha,commodity_desc,domain_desc,load_time,class_desc,state_name,reference_period_desc,short_desc,county_ansi,watershed_desc,country_name,prodn_practice_desc,county_name,begin_code,CV (%),end_code,domaincat_desc,statisticcat_desc,source_desc,Value,congr_district_code,freq_desc,unit_desc
GRAIN,"MICHIGAN, UPPER PENINSULA, OTHER (COMBINED) COUNTIES",26,FIELD CROPS,,,,COUNTY,998,CROPS,1967,26,UPPER PENINSULA,9000,10,00000000,MI,CORN,TOTAL,2012-01-01 00:00:00.000,ALL CLASSES,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,UNITED STATES,ALL PRODUCTION PRACTICES,OTHER (COMBINED) COUNTIES,00,,00,NOT SPECIFIED,YIELD,SURVEY,56.7,,ANNUAL,BU / ACRE
GRAIN,"MICHIGAN, NORTHWEST, OTHER (COMBINED) COUNTIES",26,FIELD CROPS,,,,COUNTY,998,CROPS,1967,26,NORTHWEST,9000,20,00000000,MI,CORN,TOTAL,2012-01-01 00:00:00.000,ALL CLASSES,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,UNITED STATES,ALL PRODUCTION PRACTICES,OTHER (COMBINED) COUNTIES,00,,00,NOT SPECIFIED,YIELD,SURVEY,60.4,,ANNUAL,BU / ACRE
GRAIN,"MICHIGAN, NORTHWEST, GRAND TRAVERSE",26,FIELD CROPS,,,,COUNTY,055,CROPS,1967,26,NORTHWEST,9000,20,00000000,MI,CORN,TOTAL,2012-01-01 00:00:00.000,ALL CLASSES,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",055,,UNITED STATES,ALL PRODUCTION PRACTICES,GRAND TRAVERSE,00,,00,NOT SPECIFIED,YIELD,SURVEY,58.3,,ANNUAL,BU / ACRE
GRAIN,"MICHIGAN, NORTHWEST, MISSAUKEE",26,FIELD CROPS,,,,COUNTY,113,CROPS,1967,26,NORTHWEST,9000,20,00000000,MI,CORN,TOTAL,2012-01-01 00:00:00.000,ALL CLASSES,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",113,,UNITED STATES,ALL PRODUCTION PRACTICES,MISSAUKEE,00,,00,NOT SPECIFIED,YIELD,SURVEY,65,,ANNUAL,BU / ACRE
GRAIN,"MICHIGAN, NORTHEAST, OTHER (COMBINED) COUNTIES",26,FIELD CROPS,,,,COUNTY,998,CROPS,1967,26,NORTHEAST,9000,30,00000000,MI,CORN,TOTAL,2012-01-01 00:00:00.000,ALL CLASSES,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,UNITED STATES,ALL PRODUCTION PRACTICES,OTHER (COMBINED) COUNTIES,00,,00,NOT SPECIFIED,YIELD,SURVEY,55.7,,ANNUAL,BU / ACRE
GRAIN,"MICHIGAN, NORTHEAST, IOSCO",26,FIELD CROPS,,,,COUNTY,069,CROPS,1967,26,NORTHEAST,9000,30,00000000,MI,CORN,TOTAL,2012-01-01 00:00:00.000,ALL CLASSES,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",069,,UNITED STATES,ALL PRODUCTION PRACTICES,IOSCO,00,,00,NOT SPECIFIED,YIELD,SURVEY,54.8,,ANNUAL,BU / ACRE
GRAIN,"MICHIGAN, NORTHEAST, OGEMAW",26,FIELD CROPS,,,,COUNTY,129,CROPS,1967,26,NORTHEAST,9000,30,00000000,MI,CORN,TOTAL,2012-01-01 00:00:00.000,ALL CLASSES,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",129,,UNITED STATES,ALL PRODUCTION PRACTICES,OGEMAW,00,,00,NOT SPECIFIED,YIELD,SURVEY,57.1,,ANNUAL,BU / ACRE
GRAIN,"MICHIGAN, WEST CENTRAL, LAKE",26,FIELD CROPS,,,,COUNTY,085,CROPS,1967,26,WEST CENTRAL,9000,40,00000000,MI,CORN,TOTAL,2012-01-01 00:00:00.000,ALL CLASSES,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",085,,UNITED STATES,ALL PRODUCTION PRACTICES,LAKE,00,,00,NOT SPECIFIED,YIELD,SURVEY,60,,ANNUAL,BU / ACRE
GRAIN,"MICHIGAN, WEST CENTRAL, MASON",26,FIELD CROPS,,,,COUNTY,105,CROPS,1967,26,WEST CENTRAL,9000,40,00000000,MI,CORN,TOTAL,2012-01-01 00:00:00.000,ALL CLASSES,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",105,,UNITED STATES,ALL PRODUCTION PRACTICES,MASON,00,,00,NOT SPECIFIED,YIELD,SURVEY,63.1,,ANNUAL,BU / ACRE
GRAIN,"MICHIGAN, WEST CENTRAL, MUSKEGON",26,FIELD CROPS,,,,COUNTY,121,CROPS,1967,26,WEST CENTRAL,9000,40,00000000,MI,CORN,TOTAL,2012-01-01 00:00:00.000,ALL CLASSES,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",121,,UNITED STATES,ALL PRODUCTION PRACTICES,MUSKEGON,00,,00,NOT SPECIFIED,YIELD,SURVEY,75.1,,ANNUAL,BU / ACRE
GRAIN,"MICHIGAN, WEST CENTRAL, NEWAYGO",26,FIELD CROPS,,,,COUNTY,123,CROPS,1967,26,WEST CENTRAL,9000,40,00000000,MI,CORN,TOTAL,2012-01-01 00:00:00.000,ALL CLASSES,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",123,,UNITED STATES,ALL PRODUCTION PRACTICES,NEWAYGO,00,,00,NOT SPECIFIED,YIELD,SURVEY,57.4,,ANNUAL,BU / ACRE
