region_desc,group_desc,zip_5,state_ansi,location_desc,util_practice_desc,asd_code,country_code,asd_desc,state_fips_code,year,sector_desc,county_code,week_ending,agg_level_desc,county_name,prodn_practice_desc,country_name,watershed_desc,county_ansi,short_desc,state_name,reference_period_desc,class_desc,load_time,domain_desc,commodity_desc,state_alpha,watershed_code,unit_desc,congr_district_code,freq_desc,Value,source_desc,statisticcat_desc,end_code,domaincat_desc,CV (%),begin_code
,FIELD CROPS,,26,"MICHIGAN, UPPER PENINSULA, OTHER (COMBINED) COUNTIES",GRAIN,10,9000,UPPER PENINSULA,26,1969,CROPS,998,,COUNTY,OTHER (COMBINED) COUNTIES,ALL PRODUCTION PRACTICES,UNITED STATES,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,TOTAL,CORN,MI,00000000,BU / ACRE,,ANNUAL,58,SURVEY,YIELD,00,NOT SPECIFIED,,00
,FIELD CROPS,,26,"MICHIGAN, NORTHWEST, ANTRIM",GRAIN,20,9000,NORTHWEST,26,1969,CROPS,009,,COUNTY,ANTRIM,ALL PRODUCTION PRACTICES,UNITED STATES,,009,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,TOTAL,CORN,MI,00000000,BU / ACRE,,ANNUAL,78.3,SURVEY,YIELD,00,NOT SPECIFIED,,00
,FIELD CROPS,,26,"MICHIGAN, NORTHWEST, BENZIE",GRAIN,20,9000,NORTHWEST,26,1969,CROPS,019,,COUNTY,BENZIE,ALL PRODUCTION PRACTICES,UNITED STATES,,019,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,TOTAL,CORN,MI,00000000,BU / ACRE,,ANNUAL,58,SURVEY,YIELD,00,NOT SPECIFIED,,00
,FIELD CROPS,,26,"MICHIGAN, NORTHWEST, CHARLEVOIX",GRAIN,20,9000,NORTHWEST,26,1969,CROPS,029,,COUNTY,CHARLEVOIX,ALL PRODUCTION PRACTICES,UNITED STATES,,029,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,TOTAL,CORN,MI,00000000,BU / ACRE,,ANNUAL,80.8,SURVEY,YIELD,00,NOT SPECIFIED,,00
,FIELD CROPS,,26,"MICHIGAN, NORTHWEST, EMMET",GRAIN,20,9000,NORTHWEST,26,1969,CROPS,047,,COUNTY,EMMET,ALL PRODUCTION PRACTICES,UNITED STATES,,047,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,TOTAL,CORN,MI,00000000,BU / ACRE,,ANNUAL,78.2,SURVEY,YIELD,00,NOT SPECIFIED,,00
,FIELD CROPS,,26,"MICHIGAN, NORTHWEST, GRAND TRAVERSE",GRAIN,20,9000,NORTHWEST,26,1969,CROPS,055,,COUNTY,GRAND TRAVERSE,ALL PRODUCTION PRACTICES,UNITED STATES,,055,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,TOTAL,CORN,MI,00000000,BU / ACRE,,ANNUAL,76.7,SURVEY,YIELD,00,NOT SPECIFIED,,00
,FIELD CROPS,,26,"MICHIGAN, NORTHWEST, KALKASKA",GRAIN,20,9000,NORTHWEST,26,1969,CROPS,079,,COUNTY,KALKASKA,ALL PRODUCTION PRACTICES,UNITED STATES,,079,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,TOTAL,CORN,MI,00000000,BU / ACRE,,ANNUAL,62,SURVEY,YIELD,00,NOT SPECIFIED,,00
,FIELD CROPS,,26,"MICHIGAN, NORTHWEST, LEELANAU",GRAIN,20,9000,NORTHWEST,26,1969,CROPS,089,,COUNTY,LEELANAU,ALL PRODUCTION PRACTICES,UNITED STATES,,089,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,TOTAL,CORN,MI,00000000,BU / ACRE,,ANNUAL,78.4,SURVEY,YIELD,00,NOT SPECIFIED,,00
,FIELD CROPS,,26,"MICHIGAN, NORTHWEST, MANISTEE",GRAIN,20,9000,NORTHWEST,26,1969,CROPS,101,,COUNTY,MANISTEE,ALL PRODUCTION PRACTICES,UNITED STATES,,101,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,TOTAL,CORN,MI,00000000,BU / ACRE,,ANNUAL,54.3,SURVEY,YIELD,00,NOT SPECIFIED,,00
,FIELD CROPS,,26,"MICHIGAN, NORTHWEST, MISSAUKEE",GRAIN,20,9000,NORTHWEST,26,1969,CROPS,113,,COUNTY,MISSAUKEE,ALL PRODUCTION PRACTICES,UNITED STATES,,113,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,TOTAL,CORN,MI,00000000,BU / ACRE,,ANNUAL,81.4,SURVEY,YIELD,00,NOT SPECIFIED,,00
