state_ansi,group_desc,zip_5,region_desc,util_practice_desc,location_desc,asd_code,week_ending,agg_level_desc,county_code,sector_desc,state_fips_code,year,asd_desc,country_code,county_ansi,watershed_desc,country_name,prodn_practice_desc,county_name,watershed_code,state_alpha,commodity_desc,domain_desc,load_time,class_desc,reference_period_desc,state_name,short_desc,statisticcat_desc,source_desc,Value,congr_district_code,freq_desc,unit_desc,begin_code,CV (%),end_code,domaincat_desc
26,FIELD CROPS,,,GRAIN,"MICHIGAN, UPPER PENINSULA, OTHER (COMBINED) COUNTIES",10,,COUNTY,998,CROPS,26,1970,UPPER PENINSULA,9000,,,UNITED STATES,ALL PRODUCTION PRACTICES,OTHER (COMBINED) COUNTIES,00000000,MI,CORN,TOTAL,2012-01-01 00:00:00.000,ALL CLASSES,YEAR,MICHIGAN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YIELD,SURVEY,68.1,,ANNUAL,BU / ACRE,00,,00,NOT SPECIFIED
26,FIELD CROPS,,,GRAIN,"MICHIGAN, NORTHWEST, ANTRIM",20,,COUNTY,009,CROPS,26,1970,NORTHWEST,9000,009,,UNITED STATES,ALL PRODUCTION PRACTICES,ANTRIM,00000000,MI,CORN,TOTAL,2012-01-01 00:00:00.000,ALL CLASSES,YEAR,MICHIGAN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YIELD,SURVEY,78.2,,ANNUAL,BU / ACRE,00,,00,NOT SPECIFIED
26,FIELD CROPS,,,GRAIN,"MICHIGAN, NORTHWEST, BENZIE",20,,COUNTY,019,CROPS,26,1970,NORTHWEST,9000,019,,UNITED STATES,ALL PRODUCTION PRACTICES,BENZIE,00000000,MI,CORN,TOTAL,2012-01-01 00:00:00.000,ALL CLASSES,YEAR,MICHIGAN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YIELD,SURVEY,50,,ANNUAL,BU / ACRE,00,,00,NOT SPECIFIED
26,FIELD CROPS,,,GRAIN,"MICHIGAN, NORTHWEST, CHARLEVOIX",20,,COUNTY,029,CROPS,26,1970,NORTHWEST,9000,029,,UNITED STATES,ALL PRODUCTION PRACTICES,CHARLEVOIX,00000000,MI,CORN,TOTAL,2012-01-01 00:00:00.000,ALL CLASSES,YEAR,MICHIGAN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YIELD,SURVEY,72.1,,ANNUAL,BU / ACRE,00,,00,NOT SPECIFIED
26,FIELD CROPS,,,GRAIN,"MICHIGAN, NORTHWEST, EMMET",20,,COUNTY,047,CROPS,26,1970,NORTHWEST,9000,047,,UNITED STATES,ALL PRODUCTION PRACTICES,EMMET,00000000,MI,CORN,TOTAL,2012-01-01 00:00:00.000,ALL CLASSES,YEAR,MICHIGAN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YIELD,SURVEY,80,,ANNUAL,BU / ACRE,00,,00,NOT SPECIFIED
26,FIELD CROPS,,,GRAIN,"MICHIGAN, NORTHWEST, GRAND TRAVERSE",20,,COUNTY,055,CROPS,26,1970,NORTHWEST,9000,055,,UNITED STATES,ALL PRODUCTION PRACTICES,GRAND TRAVERSE,00000000,MI,CORN,TOTAL,2012-01-01 00:00:00.000,ALL CLASSES,YEAR,MICHIGAN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YIELD,SURVEY,55.2,,ANNUAL,BU / ACRE,00,,00,NOT SPECIFIED
26,FIELD CROPS,,,GRAIN,"MICHIGAN, NORTHWEST, KALKASKA",20,,COUNTY,079,CROPS,26,1970,NORTHWEST,9000,079,,UNITED STATES,ALL PRODUCTION PRACTICES,KALKASKA,00000000,MI,CORN,TOTAL,2012-01-01 00:00:00.000,ALL CLASSES,YEAR,MICHIGAN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YIELD,SURVEY,60,,ANNUAL,BU / ACRE,00,,00,NOT SPECIFIED
26,FIELD CROPS,,,GRAIN,"MICHIGAN, NORTHWEST, LEELANAU",20,,COUNTY,089,CROPS,26,1970,NORTHWEST,9000,089,,UNITED STATES,ALL PRODUCTION PRACTICES,LEELANAU,00000000,MI,CORN,TOTAL,2012-01-01 00:00:00.000,ALL CLASSES,YEAR,MICHIGAN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YIELD,SURVEY,73.3,,ANNUAL,BU / ACRE,00,,00,NOT SPECIFIED
26,FIELD CROPS,,,GRAIN,"MICHIGAN, NORTHWEST, MANISTEE",20,,COUNTY,101,CROPS,26,1970,NORTHWEST,9000,101,,UNITED STATES,ALL PRODUCTION PRACTICES,MANISTEE,00000000,MI,CORN,TOTAL,2012-01-01 00:00:00.000,ALL CLASSES,YEAR,MICHIGAN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YIELD,SURVEY,58.3,,ANNUAL,BU / ACRE,00,,00,NOT SPECIFIED
26,FIELD CROPS,,,GRAIN,"MICHIGAN, NORTHWEST, MISSAUKEE",20,,COUNTY,113,CROPS,26,1970,NORTHWEST,9000,113,,UNITED STATES,ALL PRODUCTION PRACTICES,MISSAUKEE,00000000,MI,CORN,TOTAL,2012-01-01 00:00:00.000,ALL CLASSES,YEAR,MICHIGAN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YIELD,SURVEY,76.1,,ANNUAL,BU / ACRE,00,,00,NOT SPECIFIED
