domain_desc,class_desc,end_code,load_time,country_code,year,country_name,watershed_desc,county_code,state_alpha,source_desc,asd_desc,state_name,county_ansi,CV (%),statisticcat_desc,county_name,state_fips_code,util_practice_desc,state_ansi,Value,group_desc,asd_code,watershed_code,sector_desc,begin_code,zip_5,short_desc,prodn_practice_desc,location_desc,region_desc,congr_district_code,domaincat_desc,freq_desc,commodity_desc,unit_desc,agg_level_desc,week_ending,reference_period_desc
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,998,MI,SURVEY,UPPER PENINSULA,MICHIGAN,,,YIELD,OTHER (COMBINED) COUNTIES,26,GRAIN,26,70,FIELD CROPS,10,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, UPPER PENINSULA, OTHER (COMBINED) COUNTIES",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,009,MI,SURVEY,NORTHWEST,MICHIGAN,009,,YIELD,ANTRIM,26,GRAIN,26,84,FIELD CROPS,20,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, NORTHWEST, ANTRIM",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,019,MI,SURVEY,NORTHWEST,MICHIGAN,019,,YIELD,BENZIE,26,GRAIN,26,71.1,FIELD CROPS,20,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, NORTHWEST, BENZIE",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,029,MI,SURVEY,NORTHWEST,MICHIGAN,029,,YIELD,CHARLEVOIX,26,GRAIN,26,86.2,FIELD CROPS,20,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, NORTHWEST, CHARLEVOIX",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,047,MI,SURVEY,NORTHWEST,MICHIGAN,047,,YIELD,EMMET,26,GRAIN,26,84.6,FIELD CROPS,20,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, NORTHWEST, EMMET",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,055,MI,SURVEY,NORTHWEST,MICHIGAN,055,,YIELD,GRAND TRAVERSE,26,GRAIN,26,80,FIELD CROPS,20,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, NORTHWEST, GRAND TRAVERSE",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,079,MI,SURVEY,NORTHWEST,MICHIGAN,079,,YIELD,KALKASKA,26,GRAIN,26,70,FIELD CROPS,20,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, NORTHWEST, KALKASKA",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,089,MI,SURVEY,NORTHWEST,MICHIGAN,089,,YIELD,LEELANAU,26,GRAIN,26,80,FIELD CROPS,20,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, NORTHWEST, LEELANAU",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,101,MI,SURVEY,NORTHWEST,MICHIGAN,101,,YIELD,MANISTEE,26,GRAIN,26,54.7,FIELD CROPS,20,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, NORTHWEST, MANISTEE",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,113,MI,SURVEY,NORTHWEST,MICHIGAN,113,,YIELD,MISSAUKEE,26,GRAIN,26,75.1,FIELD CROPS,20,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, NORTHWEST, MISSAUKEE",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,165,MI,SURVEY,NORTHWEST,MICHIGAN,165,,YIELD,WEXFORD,26,GRAIN,26,65,FIELD CROPS,20,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, NORTHWEST, WEXFORD",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,001,MI,SURVEY,NORTHEAST,MICHIGAN,001,,YIELD,ALCONA,26,GRAIN,26,65.7,FIELD CROPS,30,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, NORTHEAST, ALCONA",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,007,MI,SURVEY,NORTHEAST,MICHIGAN,007,,YIELD,ALPENA,26,GRAIN,26,74.8,FIELD CROPS,30,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, NORTHEAST, ALPENA",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,031,MI,SURVEY,NORTHEAST,MICHIGAN,031,,YIELD,CHEBOYGAN,26,GRAIN,26,45,FIELD CROPS,30,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, NORTHEAST, CHEBOYGAN",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,069,MI,SURVEY,NORTHEAST,MICHIGAN,069,,YIELD,IOSCO,26,GRAIN,26,63,FIELD CROPS,30,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, NORTHEAST, IOSCO",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,119,MI,SURVEY,NORTHEAST,MICHIGAN,119,,YIELD,MONTMORENCY,26,GRAIN,26,71.1,FIELD CROPS,30,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, NORTHEAST, MONTMORENCY",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,129,MI,SURVEY,NORTHEAST,MICHIGAN,129,,YIELD,OGEMAW,26,GRAIN,26,64.9,FIELD CROPS,30,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, NORTHEAST, OGEMAW",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
