location_desc,county_code,domain_desc,state_name,state_fips_code,source_desc,state_ansi,util_practice_desc,zip_5,region_desc,congr_district_code,asd_desc,unit_desc,reference_period_desc,domaincat_desc,week_ending,Value,county_ansi,prodn_practice_desc,end_code,asd_code,statisticcat_desc,CV (%),sector_desc,county_name,agg_level_desc,group_desc,watershed_code,watershed_desc,year,freq_desc,short_desc,load_time,begin_code,country_code,state_alpha,class_desc,country_name,commodity_desc
"MICHIGAN, UPPER PENINSULA, CHIPPEWA",033,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,UPPER PENINSULA,BU / ACRE,YEAR,NOT SPECIFIED,,65,033,ALL PRODUCTION PRACTICES,00,10,YIELD,,CROPS,CHIPPEWA,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, UPPER PENINSULA, DELTA",041,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,UPPER PENINSULA,BU / ACRE,YEAR,NOT SPECIFIED,,60,041,ALL PRODUCTION PRACTICES,00,10,YIELD,,CROPS,DELTA,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, UPPER PENINSULA, DICKINSON",043,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,UPPER PENINSULA,BU / ACRE,YEAR,NOT SPECIFIED,,60,043,ALL PRODUCTION PRACTICES,00,10,YIELD,,CROPS,DICKINSON,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, UPPER PENINSULA, HOUGHTON",061,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,UPPER PENINSULA,BU / ACRE,YEAR,NOT SPECIFIED,,62,061,ALL PRODUCTION PRACTICES,00,10,YIELD,,CROPS,HOUGHTON,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, UPPER PENINSULA, KEWEENAW",083,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,UPPER PENINSULA,BU / ACRE,YEAR,NOT SPECIFIED,,62,083,ALL PRODUCTION PRACTICES,00,10,YIELD,,CROPS,KEWEENAW,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, UPPER PENINSULA, MACKINAC",097,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,UPPER PENINSULA,BU / ACRE,YEAR,NOT SPECIFIED,,62.3,097,ALL PRODUCTION PRACTICES,00,10,YIELD,,CROPS,MACKINAC,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, UPPER PENINSULA, MARQUETTE",103,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,UPPER PENINSULA,BU / ACRE,YEAR,NOT SPECIFIED,,62,103,ALL PRODUCTION PRACTICES,00,10,YIELD,,CROPS,MARQUETTE,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, UPPER PENINSULA, MENOMINEE",109,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,UPPER PENINSULA,BU / ACRE,YEAR,NOT SPECIFIED,,62.6,109,ALL PRODUCTION PRACTICES,00,10,YIELD,,CROPS,MENOMINEE,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, NORTHWEST, ANTRIM",009,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,NORTHWEST,BU / ACRE,YEAR,NOT SPECIFIED,,79.8,009,ALL PRODUCTION PRACTICES,00,20,YIELD,,CROPS,ANTRIM,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, NORTHWEST, BENZIE",019,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,NORTHWEST,BU / ACRE,YEAR,NOT SPECIFIED,,72.1,019,ALL PRODUCTION PRACTICES,00,20,YIELD,,CROPS,BENZIE,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, NORTHWEST, CHARLEVOIX",029,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,NORTHWEST,BU / ACRE,YEAR,NOT SPECIFIED,,76,029,ALL PRODUCTION PRACTICES,00,20,YIELD,,CROPS,CHARLEVOIX,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, NORTHWEST, EMMET",047,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,NORTHWEST,BU / ACRE,YEAR,NOT SPECIFIED,,76.8,047,ALL PRODUCTION PRACTICES,00,20,YIELD,,CROPS,EMMET,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
