county_name,prodn_practice_desc,country_name,watershed_desc,county_ansi,short_desc,state_name,reference_period_desc,class_desc,load_time,commodity_desc,domain_desc,state_alpha,watershed_code,unit_desc,freq_desc,congr_district_code,source_desc,Value,statisticcat_desc,end_code,domaincat_desc,CV (%),begin_code,region_desc,group_desc,zip_5,state_ansi,location_desc,util_practice_desc,asd_code,country_code,asd_desc,year,sector_desc,state_fips_code,agg_level_desc,county_code,week_ending
ALGER,ALL PRODUCTION PRACTICES,UNITED STATES,,003,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,CORN,TOTAL,MI,00000000,BU / ACRE,ANNUAL,,SURVEY,66,YIELD,00,NOT SPECIFIED,,00,,FIELD CROPS,,26,"MICHIGAN, UPPER PENINSULA, ALGER",GRAIN,10,9000,UPPER PENINSULA,1973,CROPS,26,COUNTY,003,
BARAGA,ALL PRODUCTION PRACTICES,UNITED STATES,,013,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,CORN,TOTAL,MI,00000000,BU / ACRE,ANNUAL,,SURVEY,66,YIELD,00,NOT SPECIFIED,,00,,FIELD CROPS,,26,"MICHIGAN, UPPER PENINSULA, BARAGA",GRAIN,10,9000,UPPER PENINSULA,1973,CROPS,26,COUNTY,013,
CHIPPEWA,ALL PRODUCTION PRACTICES,UNITED STATES,,033,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,CORN,TOTAL,MI,00000000,BU / ACRE,ANNUAL,,SURVEY,70,YIELD,00,NOT SPECIFIED,,00,,FIELD CROPS,,26,"MICHIGAN, UPPER PENINSULA, CHIPPEWA",GRAIN,10,9000,UPPER PENINSULA,1973,CROPS,26,COUNTY,033,
DELTA,ALL PRODUCTION PRACTICES,UNITED STATES,,041,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,CORN,TOTAL,MI,00000000,BU / ACRE,ANNUAL,,SURVEY,65.1,YIELD,00,NOT SPECIFIED,,00,,FIELD CROPS,,26,"MICHIGAN, UPPER PENINSULA, DELTA",GRAIN,10,9000,UPPER PENINSULA,1973,CROPS,26,COUNTY,041,
DICKINSON,ALL PRODUCTION PRACTICES,UNITED STATES,,043,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,CORN,TOTAL,MI,00000000,BU / ACRE,ANNUAL,,SURVEY,62,YIELD,00,NOT SPECIFIED,,00,,FIELD CROPS,,26,"MICHIGAN, UPPER PENINSULA, DICKINSON",GRAIN,10,9000,UPPER PENINSULA,1973,CROPS,26,COUNTY,043,
GOGEBIC,ALL PRODUCTION PRACTICES,UNITED STATES,,053,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,CORN,TOTAL,MI,00000000,BU / ACRE,ANNUAL,,SURVEY,66,YIELD,00,NOT SPECIFIED,,00,,FIELD CROPS,,26,"MICHIGAN, UPPER PENINSULA, GOGEBIC",GRAIN,10,9000,UPPER PENINSULA,1973,CROPS,26,COUNTY,053,
HOUGHTON,ALL PRODUCTION PRACTICES,UNITED STATES,,061,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,CORN,TOTAL,MI,00000000,BU / ACRE,ANNUAL,,SURVEY,65.4,YIELD,00,NOT SPECIFIED,,00,,FIELD CROPS,,26,"MICHIGAN, UPPER PENINSULA, HOUGHTON",GRAIN,10,9000,UPPER PENINSULA,1973,CROPS,26,COUNTY,061,
IRON,ALL PRODUCTION PRACTICES,UNITED STATES,,071,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,CORN,TOTAL,MI,00000000,BU / ACRE,ANNUAL,,SURVEY,66,YIELD,00,NOT SPECIFIED,,00,,FIELD CROPS,,26,"MICHIGAN, UPPER PENINSULA, IRON",GRAIN,10,9000,UPPER PENINSULA,1973,CROPS,26,COUNTY,071,
KEWEENAW,ALL PRODUCTION PRACTICES,UNITED STATES,,083,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,CORN,TOTAL,MI,00000000,BU / ACRE,ANNUAL,,SURVEY,66,YIELD,00,NOT SPECIFIED,,00,,FIELD CROPS,,26,"MICHIGAN, UPPER PENINSULA, KEWEENAW",GRAIN,10,9000,UPPER PENINSULA,1973,CROPS,26,COUNTY,083,
MACKINAC,ALL PRODUCTION PRACTICES,UNITED STATES,,097,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,CORN,TOTAL,MI,00000000,BU / ACRE,ANNUAL,,SURVEY,65.3,YIELD,00,NOT SPECIFIED,,00,,FIELD CROPS,,26,"MICHIGAN, UPPER PENINSULA, MACKINAC",GRAIN,10,9000,UPPER PENINSULA,1973,CROPS,26,COUNTY,097,
