begin_code,CV (%),end_code,domaincat_desc,statisticcat_desc,source_desc,Value,freq_desc,congr_district_code,unit_desc,state_alpha,watershed_code,domain_desc,commodity_desc,class_desc,load_time,short_desc,state_name,reference_period_desc,county_ansi,country_name,watershed_desc,county_name,prodn_practice_desc,sector_desc,state_fips_code,year,agg_level_desc,county_code,week_ending,asd_desc,country_code,asd_code,location_desc,util_practice_desc,state_ansi,zip_5,group_desc,region_desc
00,,00,NOT SPECIFIED,YIELD,SURVEY,68,ANNUAL,,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,013,UNITED STATES,,BARAGA,ALL PRODUCTION PRACTICES,CROPS,26,1974,COUNTY,013,,UPPER PENINSULA,9000,10,"MICHIGAN, UPPER PENINSULA, BARAGA",GRAIN,26,,FIELD CROPS,
00,,00,NOT SPECIFIED,YIELD,SURVEY,59.4,ANNUAL,,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,033,UNITED STATES,,CHIPPEWA,ALL PRODUCTION PRACTICES,CROPS,26,1974,COUNTY,033,,UPPER PENINSULA,9000,10,"MICHIGAN, UPPER PENINSULA, CHIPPEWA",GRAIN,26,,FIELD CROPS,
00,,00,NOT SPECIFIED,YIELD,SURVEY,63.1,ANNUAL,,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,041,UNITED STATES,,DELTA,ALL PRODUCTION PRACTICES,CROPS,26,1974,COUNTY,041,,UPPER PENINSULA,9000,10,"MICHIGAN, UPPER PENINSULA, DELTA",GRAIN,26,,FIELD CROPS,
00,,00,NOT SPECIFIED,YIELD,SURVEY,56.3,ANNUAL,,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,043,UNITED STATES,,DICKINSON,ALL PRODUCTION PRACTICES,CROPS,26,1974,COUNTY,043,,UPPER PENINSULA,9000,10,"MICHIGAN, UPPER PENINSULA, DICKINSON",GRAIN,26,,FIELD CROPS,
00,,00,NOT SPECIFIED,YIELD,SURVEY,60.5,ANNUAL,,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,061,UNITED STATES,,HOUGHTON,ALL PRODUCTION PRACTICES,CROPS,26,1974,COUNTY,061,,UPPER PENINSULA,9000,10,"MICHIGAN, UPPER PENINSULA, HOUGHTON",GRAIN,26,,FIELD CROPS,
00,,00,NOT SPECIFIED,YIELD,SURVEY,83,ANNUAL,,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,071,UNITED STATES,,IRON,ALL PRODUCTION PRACTICES,CROPS,26,1974,COUNTY,071,,UPPER PENINSULA,9000,10,"MICHIGAN, UPPER PENINSULA, IRON",GRAIN,26,,FIELD CROPS,
00,,00,NOT SPECIFIED,YIELD,SURVEY,59,ANNUAL,,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,083,UNITED STATES,,KEWEENAW,ALL PRODUCTION PRACTICES,CROPS,26,1974,COUNTY,083,,UPPER PENINSULA,9000,10,"MICHIGAN, UPPER PENINSULA, KEWEENAW",GRAIN,26,,FIELD CROPS,
00,,00,NOT SPECIFIED,YIELD,SURVEY,59.1,ANNUAL,,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,097,UNITED STATES,,MACKINAC,ALL PRODUCTION PRACTICES,CROPS,26,1974,COUNTY,097,,UPPER PENINSULA,9000,10,"MICHIGAN, UPPER PENINSULA, MACKINAC",GRAIN,26,,FIELD CROPS,
00,,00,NOT SPECIFIED,YIELD,SURVEY,68.3,ANNUAL,,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,103,UNITED STATES,,MARQUETTE,ALL PRODUCTION PRACTICES,CROPS,26,1974,COUNTY,103,,UPPER PENINSULA,9000,10,"MICHIGAN, UPPER PENINSULA, MARQUETTE",GRAIN,26,,FIELD CROPS,
00,,00,NOT SPECIFIED,YIELD,SURVEY,61,ANNUAL,,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,109,UNITED STATES,,MENOMINEE,ALL PRODUCTION PRACTICES,CROPS,26,1974,COUNTY,109,,UPPER PENINSULA,9000,10,"MICHIGAN, UPPER PENINSULA, MENOMINEE",GRAIN,26,,FIELD CROPS,
