zip_5,group_desc,region_desc,state_ansi,util_practice_desc,location_desc,asd_code,country_code,state_fips_code,sector_desc,year,county_code,week_ending,agg_level_desc,asd_desc,country_name,watershed_desc,county_name,prodn_practice_desc,county_ansi,class_desc,load_time,short_desc,state_name,reference_period_desc,state_alpha,watershed_code,commodity_desc,domain_desc,congr_district_code,freq_desc,unit_desc,statisticcat_desc,Value,source_desc,CV (%),end_code,domaincat_desc,begin_code
,FIELD CROPS,,26,GRAIN,"MICHIGAN, UPPER PENINSULA, ALGER",10,9000,26,CROPS,1975,003,,COUNTY,UPPER PENINSULA,UNITED STATES,,ALGER,ALL PRODUCTION PRACTICES,003,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,MI,00000000,CORN,TOTAL,,ANNUAL,BU / ACRE,YIELD,48.3,SURVEY,,00,NOT SPECIFIED,00
,FIELD CROPS,,26,GRAIN,"MICHIGAN, UPPER PENINSULA, BARAGA",10,9000,26,CROPS,1975,013,,COUNTY,UPPER PENINSULA,UNITED STATES,,BARAGA,ALL PRODUCTION PRACTICES,013,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,MI,00000000,CORN,TOTAL,,ANNUAL,BU / ACRE,YIELD,48,SURVEY,,00,NOT SPECIFIED,00
,FIELD CROPS,,26,GRAIN,"MICHIGAN, UPPER PENINSULA, CHIPPEWA",10,9000,26,CROPS,1975,033,,COUNTY,UPPER PENINSULA,UNITED STATES,,CHIPPEWA,ALL PRODUCTION PRACTICES,033,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,MI,00000000,CORN,TOTAL,,ANNUAL,BU / ACRE,YIELD,50.5,SURVEY,,00,NOT SPECIFIED,00
,FIELD CROPS,,26,GRAIN,"MICHIGAN, UPPER PENINSULA, DELTA",10,9000,26,CROPS,1975,041,,COUNTY,UPPER PENINSULA,UNITED STATES,,DELTA,ALL PRODUCTION PRACTICES,041,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,MI,00000000,CORN,TOTAL,,ANNUAL,BU / ACRE,YIELD,50.5,SURVEY,,00,NOT SPECIFIED,00
,FIELD CROPS,,26,GRAIN,"MICHIGAN, UPPER PENINSULA, DICKINSON",10,9000,26,CROPS,1975,043,,COUNTY,UPPER PENINSULA,UNITED STATES,,DICKINSON,ALL PRODUCTION PRACTICES,043,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,MI,00000000,CORN,TOTAL,,ANNUAL,BU / ACRE,YIELD,49.4,SURVEY,,00,NOT SPECIFIED,00
,FIELD CROPS,,26,GRAIN,"MICHIGAN, UPPER PENINSULA, GOGEBIC",10,9000,26,CROPS,1975,053,,COUNTY,UPPER PENINSULA,UNITED STATES,,GOGEBIC,ALL PRODUCTION PRACTICES,053,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,MI,00000000,CORN,TOTAL,,ANNUAL,BU / ACRE,YIELD,49,SURVEY,,00,NOT SPECIFIED,00
,FIELD CROPS,,26,GRAIN,"MICHIGAN, UPPER PENINSULA, HOUGHTON",10,9000,26,CROPS,1975,061,,COUNTY,UPPER PENINSULA,UNITED STATES,,HOUGHTON,ALL PRODUCTION PRACTICES,061,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,MI,00000000,CORN,TOTAL,,ANNUAL,BU / ACRE,YIELD,48.1,SURVEY,,00,NOT SPECIFIED,00
,FIELD CROPS,,26,GRAIN,"MICHIGAN, UPPER PENINSULA, IRON",10,9000,26,CROPS,1975,071,,COUNTY,UPPER PENINSULA,UNITED STATES,,IRON,ALL PRODUCTION PRACTICES,071,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,MI,00000000,CORN,TOTAL,,ANNUAL,BU / ACRE,YIELD,48,SURVEY,,00,NOT SPECIFIED,00
,FIELD CROPS,,26,GRAIN,"MICHIGAN, UPPER PENINSULA, KEWEENAW",10,9000,26,CROPS,1975,083,,COUNTY,UPPER PENINSULA,UNITED STATES,,KEWEENAW,ALL PRODUCTION PRACTICES,083,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,MI,00000000,CORN,TOTAL,,ANNUAL,BU / ACRE,YIELD,49,SURVEY,,00,NOT SPECIFIED,00
,FIELD CROPS,,26,GRAIN,"MICHIGAN, UPPER PENINSULA, LUCE",10,9000,26,CROPS,1975,095,,COUNTY,UPPER PENINSULA,UNITED STATES,,LUCE,ALL PRODUCTION PRACTICES,095,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,MI,00000000,CORN,TOTAL,,ANNUAL,BU / ACRE,YIELD,48,SURVEY,,00,NOT SPECIFIED,00
