source_desc,state_ansi,zip_5,util_practice_desc,location_desc,county_code,domain_desc,state_name,state_fips_code,unit_desc,reference_period_desc,domaincat_desc,region_desc,congr_district_code,asd_desc,end_code,prodn_practice_desc,county_ansi,sector_desc,statisticcat_desc,asd_code,CV (%),agg_level_desc,county_name,group_desc,week_ending,Value,country_code,class_desc,state_alpha,commodity_desc,country_name,freq_desc,short_desc,year,watershed_desc,watershed_code,load_time,begin_code
SURVEY,26,,GRAIN,"MICHIGAN, UPPER PENINSULA, ALGER",003,TOTAL,MICHIGAN,26,BU / ACRE,YEAR,NOT SPECIFIED,,,UPPER PENINSULA,00,ALL PRODUCTION PRACTICES,003,CROPS,YIELD,10,,COUNTY,ALGER,FIELD CROPS,,38.3,9000,ALL CLASSES,MI,CORN,UNITED STATES,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",1976,,00000000,2012-01-01 00:00:00.000,00
SURVEY,26,,GRAIN,"MICHIGAN, UPPER PENINSULA, BARAGA",013,TOTAL,MICHIGAN,26,BU / ACRE,YEAR,NOT SPECIFIED,,,UPPER PENINSULA,00,ALL PRODUCTION PRACTICES,013,CROPS,YIELD,10,,COUNTY,BARAGA,FIELD CROPS,,38,9000,ALL CLASSES,MI,CORN,UNITED STATES,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",1976,,00000000,2012-01-01 00:00:00.000,00
SURVEY,26,,GRAIN,"MICHIGAN, UPPER PENINSULA, CHIPPEWA",033,TOTAL,MICHIGAN,26,BU / ACRE,YEAR,NOT SPECIFIED,,,UPPER PENINSULA,00,ALL PRODUCTION PRACTICES,033,CROPS,YIELD,10,,COUNTY,CHIPPEWA,FIELD CROPS,,38.2,9000,ALL CLASSES,MI,CORN,UNITED STATES,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",1976,,00000000,2012-01-01 00:00:00.000,00
SURVEY,26,,GRAIN,"MICHIGAN, UPPER PENINSULA, DELTA",041,TOTAL,MICHIGAN,26,BU / ACRE,YEAR,NOT SPECIFIED,,,UPPER PENINSULA,00,ALL PRODUCTION PRACTICES,041,CROPS,YIELD,10,,COUNTY,DELTA,FIELD CROPS,,40.4,9000,ALL CLASSES,MI,CORN,UNITED STATES,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",1976,,00000000,2012-01-01 00:00:00.000,00
SURVEY,26,,GRAIN,"MICHIGAN, UPPER PENINSULA, DICKINSON",043,TOTAL,MICHIGAN,26,BU / ACRE,YEAR,NOT SPECIFIED,,,UPPER PENINSULA,00,ALL PRODUCTION PRACTICES,043,CROPS,YIELD,10,,COUNTY,DICKINSON,FIELD CROPS,,39.2,9000,ALL CLASSES,MI,CORN,UNITED STATES,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",1976,,00000000,2012-01-01 00:00:00.000,00
SURVEY,26,,GRAIN,"MICHIGAN, UPPER PENINSULA, GOGEBIC",053,TOTAL,MICHIGAN,26,BU / ACRE,YEAR,NOT SPECIFIED,,,UPPER PENINSULA,00,ALL PRODUCTION PRACTICES,053,CROPS,YIELD,10,,COUNTY,GOGEBIC,FIELD CROPS,,38,9000,ALL CLASSES,MI,CORN,UNITED STATES,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",1976,,00000000,2012-01-01 00:00:00.000,00
SURVEY,26,,GRAIN,"MICHIGAN, UPPER PENINSULA, HOUGHTON",061,TOTAL,MICHIGAN,26,BU / ACRE,YEAR,NOT SPECIFIED,,,UPPER PENINSULA,00,ALL PRODUCTION PRACTICES,061,CROPS,YIELD,10,,COUNTY,HOUGHTON,FIELD CROPS,,39.4,9000,ALL CLASSES,MI,CORN,UNITED STATES,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",1976,,00000000,2012-01-01 00:00:00.000,00
SURVEY,26,,GRAIN,"MICHIGAN, UPPER PENINSULA, IRON",071,TOTAL,MICHIGAN,26,BU / ACRE,YEAR,NOT SPECIFIED,,,UPPER PENINSULA,00,ALL PRODUCTION PRACTICES,071,CROPS,YIELD,10,,COUNTY,IRON,FIELD CROPS,,38,9000,ALL CLASSES,MI,CORN,UNITED STATES,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",1976,,00000000,2012-01-01 00:00:00.000,00
SURVEY,26,,GRAIN,"MICHIGAN, UPPER PENINSULA, KEWEENAW",083,TOTAL,MICHIGAN,26,BU / ACRE,YEAR,NOT SPECIFIED,,,UPPER PENINSULA,00,ALL PRODUCTION PRACTICES,083,CROPS,YIELD,10,,COUNTY,KEWEENAW,FIELD CROPS,,38,9000,ALL CLASSES,MI,CORN,UNITED STATES,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",1976,,00000000,2012-01-01 00:00:00.000,00
SURVEY,26,,GRAIN,"MICHIGAN, UPPER PENINSULA, LUCE",095,TOTAL,MICHIGAN,26,BU / ACRE,YEAR,NOT SPECIFIED,,,UPPER PENINSULA,00,ALL PRODUCTION PRACTICES,095,CROPS,YIELD,10,,COUNTY,LUCE,FIELD CROPS,,38.5,9000,ALL CLASSES,MI,CORN,UNITED STATES,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",1976,,00000000,2012-01-01 00:00:00.000,00
