county_code,util_practice_desc,asd_desc,Value,week_ending,domain_desc,region_desc,state_name,country_code,source_desc,asd_code,group_desc,begin_code,class_desc,state_alpha,country_name,state_fips_code,statisticcat_desc,watershed_desc,year,CV (%),congr_district_code,county_ansi,state_ansi,location_desc,reference_period_desc,domaincat_desc,sector_desc,commodity_desc,county_name,zip_5,prodn_practice_desc,end_code,agg_level_desc,watershed_code,freq_desc,unit_desc,load_time,short_desc
998,GRAIN,UPPER PENINSULA,70,,TOTAL,,MICHIGAN,9000,SURVEY,10,FIELD CROPS,00,ALL CLASSES,MI,UNITED STATES,26,YIELD,,1978,,,,26,"MICHIGAN, UPPER PENINSULA, OTHER (COMBINED) COUNTIES",YEAR,NOT SPECIFIED,CROPS,CORN,OTHER (COMBINED) COUNTIES,,ALL PRODUCTION PRACTICES,00,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
041,GRAIN,UPPER PENINSULA,69.5,,TOTAL,,MICHIGAN,9000,SURVEY,10,FIELD CROPS,00,ALL CLASSES,MI,UNITED STATES,26,YIELD,,1978,,,041,26,"MICHIGAN, UPPER PENINSULA, DELTA",YEAR,NOT SPECIFIED,CROPS,CORN,DELTA,,ALL PRODUCTION PRACTICES,00,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
043,GRAIN,UPPER PENINSULA,68.8,,TOTAL,,MICHIGAN,9000,SURVEY,10,FIELD CROPS,00,ALL CLASSES,MI,UNITED STATES,26,YIELD,,1978,,,043,26,"MICHIGAN, UPPER PENINSULA, DICKINSON",YEAR,NOT SPECIFIED,CROPS,CORN,DICKINSON,,ALL PRODUCTION PRACTICES,00,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
061,GRAIN,UPPER PENINSULA,68.8,,TOTAL,,MICHIGAN,9000,SURVEY,10,FIELD CROPS,00,ALL CLASSES,MI,UNITED STATES,26,YIELD,,1978,,,061,26,"MICHIGAN, UPPER PENINSULA, HOUGHTON",YEAR,NOT SPECIFIED,CROPS,CORN,HOUGHTON,,ALL PRODUCTION PRACTICES,00,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
097,GRAIN,UPPER PENINSULA,69.6,,TOTAL,,MICHIGAN,9000,SURVEY,10,FIELD CROPS,00,ALL CLASSES,MI,UNITED STATES,26,YIELD,,1978,,,097,26,"MICHIGAN, UPPER PENINSULA, MACKINAC",YEAR,NOT SPECIFIED,CROPS,CORN,MACKINAC,,ALL PRODUCTION PRACTICES,00,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
109,GRAIN,UPPER PENINSULA,70.3,,TOTAL,,MICHIGAN,9000,SURVEY,10,FIELD CROPS,00,ALL CLASSES,MI,UNITED STATES,26,YIELD,,1978,,,109,26,"MICHIGAN, UPPER PENINSULA, MENOMINEE",YEAR,NOT SPECIFIED,CROPS,CORN,MENOMINEE,,ALL PRODUCTION PRACTICES,00,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
009,GRAIN,NORTHWEST,70.3,,TOTAL,,MICHIGAN,9000,SURVEY,20,FIELD CROPS,00,ALL CLASSES,MI,UNITED STATES,26,YIELD,,1978,,,009,26,"MICHIGAN, NORTHWEST, ANTRIM",YEAR,NOT SPECIFIED,CROPS,CORN,ANTRIM,,ALL PRODUCTION PRACTICES,00,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
019,GRAIN,NORTHWEST,65,,TOTAL,,MICHIGAN,9000,SURVEY,20,FIELD CROPS,00,ALL CLASSES,MI,UNITED STATES,26,YIELD,,1978,,,019,26,"MICHIGAN, NORTHWEST, BENZIE",YEAR,NOT SPECIFIED,CROPS,CORN,BENZIE,,ALL PRODUCTION PRACTICES,00,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
029,GRAIN,NORTHWEST,79.1,,TOTAL,,MICHIGAN,9000,SURVEY,20,FIELD CROPS,00,ALL CLASSES,MI,UNITED STATES,26,YIELD,,1978,,,029,26,"MICHIGAN, NORTHWEST, CHARLEVOIX",YEAR,NOT SPECIFIED,CROPS,CORN,CHARLEVOIX,,ALL PRODUCTION PRACTICES,00,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
047,GRAIN,NORTHWEST,81.6,,TOTAL,,MICHIGAN,9000,SURVEY,20,FIELD CROPS,00,ALL CLASSES,MI,UNITED STATES,26,YIELD,,1978,,,047,26,"MICHIGAN, NORTHWEST, EMMET",YEAR,NOT SPECIFIED,CROPS,CORN,EMMET,,ALL PRODUCTION PRACTICES,00,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
055,GRAIN,NORTHWEST,62,,TOTAL,,MICHIGAN,9000,SURVEY,20,FIELD CROPS,00,ALL CLASSES,MI,UNITED STATES,26,YIELD,,1978,,,055,26,"MICHIGAN, NORTHWEST, GRAND TRAVERSE",YEAR,NOT SPECIFIED,CROPS,CORN,GRAND TRAVERSE,,ALL PRODUCTION PRACTICES,00,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
079,GRAIN,NORTHWEST,71.6,,TOTAL,,MICHIGAN,9000,SURVEY,20,FIELD CROPS,00,ALL CLASSES,MI,UNITED STATES,26,YIELD,,1978,,,079,26,"MICHIGAN, NORTHWEST, KALKASKA",YEAR,NOT SPECIFIED,CROPS,CORN,KALKASKA,,ALL PRODUCTION PRACTICES,00,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
089,GRAIN,NORTHWEST,72.3,,TOTAL,,MICHIGAN,9000,SURVEY,20,FIELD CROPS,00,ALL CLASSES,MI,UNITED STATES,26,YIELD,,1978,,,089,26,"MICHIGAN, NORTHWEST, LEELANAU",YEAR,NOT SPECIFIED,CROPS,CORN,LEELANAU,,ALL PRODUCTION PRACTICES,00,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
101,GRAIN,NORTHWEST,49.2,,TOTAL,,MICHIGAN,9000,SURVEY,20,FIELD CROPS,00,ALL CLASSES,MI,UNITED STATES,26,YIELD,,1978,,,101,26,"MICHIGAN, NORTHWEST, MANISTEE",YEAR,NOT SPECIFIED,CROPS,CORN,MANISTEE,,ALL PRODUCTION PRACTICES,00,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
113,GRAIN,NORTHWEST,67.3,,TOTAL,,MICHIGAN,9000,SURVEY,20,FIELD CROPS,00,ALL CLASSES,MI,UNITED STATES,26,YIELD,,1978,,,113,26,"MICHIGAN, NORTHWEST, MISSAUKEE",YEAR,NOT SPECIFIED,CROPS,CORN,MISSAUKEE,,ALL PRODUCTION PRACTICES,00,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
165,GRAIN,NORTHWEST,57.3,,TOTAL,,MICHIGAN,9000,SURVEY,20,FIELD CROPS,00,ALL CLASSES,MI,UNITED STATES,26,YIELD,,1978,,,165,26,"MICHIGAN, NORTHWEST, WEXFORD",YEAR,NOT SPECIFIED,CROPS,CORN,WEXFORD,,ALL PRODUCTION PRACTICES,00,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
998,GRAIN,NORTHEAST,80,,TOTAL,,MICHIGAN,9000,SURVEY,30,FIELD CROPS,00,ALL CLASSES,MI,UNITED STATES,26,YIELD,,1978,,,,26,"MICHIGAN, NORTHEAST, OTHER (COMBINED) COUNTIES",YEAR,NOT SPECIFIED,CROPS,CORN,OTHER (COMBINED) COUNTIES,,ALL PRODUCTION PRACTICES,00,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
001,GRAIN,NORTHEAST,87.6,,TOTAL,,MICHIGAN,9000,SURVEY,30,FIELD CROPS,00,ALL CLASSES,MI,UNITED STATES,26,YIELD,,1978,,,001,26,"MICHIGAN, NORTHEAST, ALCONA",YEAR,NOT SPECIFIED,CROPS,CORN,ALCONA,,ALL PRODUCTION PRACTICES,00,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
007,GRAIN,NORTHEAST,72.4,,TOTAL,,MICHIGAN,9000,SURVEY,30,FIELD CROPS,00,ALL CLASSES,MI,UNITED STATES,26,YIELD,,1978,,,007,26,"MICHIGAN, NORTHEAST, ALPENA",YEAR,NOT SPECIFIED,CROPS,CORN,ALPENA,,ALL PRODUCTION PRACTICES,00,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
031,GRAIN,NORTHEAST,78.5,,TOTAL,,MICHIGAN,9000,SURVEY,30,FIELD CROPS,00,ALL CLASSES,MI,UNITED STATES,26,YIELD,,1978,,,031,26,"MICHIGAN, NORTHEAST, CHEBOYGAN",YEAR,NOT SPECIFIED,CROPS,CORN,CHEBOYGAN,,ALL PRODUCTION PRACTICES,00,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
069,GRAIN,NORTHEAST,81.2,,TOTAL,,MICHIGAN,9000,SURVEY,30,FIELD CROPS,00,ALL CLASSES,MI,UNITED STATES,26,YIELD,,1978,,,069,26,"MICHIGAN, NORTHEAST, IOSCO",YEAR,NOT SPECIFIED,CROPS,CORN,IOSCO,,ALL PRODUCTION PRACTICES,00,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
119,GRAIN,NORTHEAST,77.9,,TOTAL,,MICHIGAN,9000,SURVEY,30,FIELD CROPS,00,ALL CLASSES,MI,UNITED STATES,26,YIELD,,1978,,,119,26,"MICHIGAN, NORTHEAST, MONTMORENCY",YEAR,NOT SPECIFIED,CROPS,CORN,MONTMORENCY,,ALL PRODUCTION PRACTICES,00,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
