location_desc,group_desc,prodn_practice_desc,end_code,county_name,source_desc,class_desc,reference_period_desc,domaincat_desc,state_fips_code,unit_desc,county_code,country_name,watershed_desc,watershed_code,commodity_desc,state_alpha,state_ansi,util_practice_desc,load_time,asd_code,Value,state_name,statisticcat_desc,county_ansi,agg_level_desc,week_ending,CV (%),country_code,short_desc,domain_desc,region_desc,sector_desc,year,asd_desc,congr_district_code,freq_desc,begin_code,zip_5
"MICHIGAN, UPPER PENINSULA, OTHER (COMBINED) COUNTIES",FIELD CROPS,ALL PRODUCTION PRACTICES,00,OTHER (COMBINED) COUNTIES,SURVEY,ALL CLASSES,YEAR,NOT SPECIFIED,26,BU / ACRE,998,UNITED STATES,,00000000,CORN,MI,26,GRAIN,2012-01-01 00:00:00.000,10,67.4,MICHIGAN,YIELD,,COUNTY,,,9000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,CROPS,1979,UPPER PENINSULA,,ANNUAL,00,
"MICHIGAN, UPPER PENINSULA, CHIPPEWA",FIELD CROPS,ALL PRODUCTION PRACTICES,00,CHIPPEWA,SURVEY,ALL CLASSES,YEAR,NOT SPECIFIED,26,BU / ACRE,033,UNITED STATES,,00000000,CORN,MI,26,GRAIN,2012-01-01 00:00:00.000,10,60,MICHIGAN,YIELD,033,COUNTY,,,9000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,CROPS,1979,UPPER PENINSULA,,ANNUAL,00,
"MICHIGAN, UPPER PENINSULA, DELTA",FIELD CROPS,ALL PRODUCTION PRACTICES,00,DELTA,SURVEY,ALL CLASSES,YEAR,NOT SPECIFIED,26,BU / ACRE,041,UNITED STATES,,00000000,CORN,MI,26,GRAIN,2012-01-01 00:00:00.000,10,69.4,MICHIGAN,YIELD,041,COUNTY,,,9000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,CROPS,1979,UPPER PENINSULA,,ANNUAL,00,
"MICHIGAN, UPPER PENINSULA, DICKINSON",FIELD CROPS,ALL PRODUCTION PRACTICES,00,DICKINSON,SURVEY,ALL CLASSES,YEAR,NOT SPECIFIED,26,BU / ACRE,043,UNITED STATES,,00000000,CORN,MI,26,GRAIN,2012-01-01 00:00:00.000,10,69,MICHIGAN,YIELD,043,COUNTY,,,9000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,CROPS,1979,UPPER PENINSULA,,ANNUAL,00,
"MICHIGAN, UPPER PENINSULA, HOUGHTON",FIELD CROPS,ALL PRODUCTION PRACTICES,00,HOUGHTON,SURVEY,ALL CLASSES,YEAR,NOT SPECIFIED,26,BU / ACRE,061,UNITED STATES,,00000000,CORN,MI,26,GRAIN,2012-01-01 00:00:00.000,10,68.3,MICHIGAN,YIELD,061,COUNTY,,,9000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,CROPS,1979,UPPER PENINSULA,,ANNUAL,00,
"MICHIGAN, UPPER PENINSULA, MACKINAC",FIELD CROPS,ALL PRODUCTION PRACTICES,00,MACKINAC,SURVEY,ALL CLASSES,YEAR,NOT SPECIFIED,26,BU / ACRE,097,UNITED STATES,,00000000,CORN,MI,26,GRAIN,2012-01-01 00:00:00.000,10,69.4,MICHIGAN,YIELD,097,COUNTY,,,9000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,CROPS,1979,UPPER PENINSULA,,ANNUAL,00,
"MICHIGAN, UPPER PENINSULA, MENOMINEE",FIELD CROPS,ALL PRODUCTION PRACTICES,00,MENOMINEE,SURVEY,ALL CLASSES,YEAR,NOT SPECIFIED,26,BU / ACRE,109,UNITED STATES,,00000000,CORN,MI,26,GRAIN,2012-01-01 00:00:00.000,10,71.3,MICHIGAN,YIELD,109,COUNTY,,,9000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,CROPS,1979,UPPER PENINSULA,,ANNUAL,00,
"MICHIGAN, NORTHWEST, ANTRIM",FIELD CROPS,ALL PRODUCTION PRACTICES,00,ANTRIM,SURVEY,ALL CLASSES,YEAR,NOT SPECIFIED,26,BU / ACRE,009,UNITED STATES,,00000000,CORN,MI,26,GRAIN,2012-01-01 00:00:00.000,20,76,MICHIGAN,YIELD,009,COUNTY,,,9000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,CROPS,1979,NORTHWEST,,ANNUAL,00,
"MICHIGAN, NORTHWEST, BENZIE",FIELD CROPS,ALL PRODUCTION PRACTICES,00,BENZIE,SURVEY,ALL CLASSES,YEAR,NOT SPECIFIED,26,BU / ACRE,019,UNITED STATES,,00000000,CORN,MI,26,GRAIN,2012-01-01 00:00:00.000,20,74,MICHIGAN,YIELD,019,COUNTY,,,9000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,CROPS,1979,NORTHWEST,,ANNUAL,00,
"MICHIGAN, NORTHWEST, CHARLEVOIX",FIELD CROPS,ALL PRODUCTION PRACTICES,00,CHARLEVOIX,SURVEY,ALL CLASSES,YEAR,NOT SPECIFIED,26,BU / ACRE,029,UNITED STATES,,00000000,CORN,MI,26,GRAIN,2012-01-01 00:00:00.000,20,89.5,MICHIGAN,YIELD,029,COUNTY,,,9000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,CROPS,1979,NORTHWEST,,ANNUAL,00,
