county_name,location_desc,sector_desc,country_code,county_code,statisticcat_desc,zip_5,region_desc,congr_district_code,Value,group_desc,domain_desc,freq_desc,class_desc,domaincat_desc,watershed_desc,year,county_ansi,util_practice_desc,agg_level_desc,week_ending,country_name,unit_desc,source_desc,CV (%),state_ansi,prodn_practice_desc,end_code,load_time,state_alpha,asd_code,state_fips_code,reference_period_desc,watershed_code,state_name,commodity_desc,asd_desc,begin_code,short_desc
OTHER (COMBINED) COUNTIES,"MICHIGAN, UPPER PENINSULA, OTHER (COMBINED) COUNTIES",CROPS,9000,998,YIELD,,,,83.1,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,10,26,YEAR,00000000,MICHIGAN,CORN,UPPER PENINSULA,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
CHIPPEWA,"MICHIGAN, UPPER PENINSULA, CHIPPEWA",CROPS,9000,033,YIELD,,,,84.3,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,033,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,10,26,YEAR,00000000,MICHIGAN,CORN,UPPER PENINSULA,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
DELTA,"MICHIGAN, UPPER PENINSULA, DELTA",CROPS,9000,041,YIELD,,,,80,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,041,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,10,26,YEAR,00000000,MICHIGAN,CORN,UPPER PENINSULA,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
DICKINSON,"MICHIGAN, UPPER PENINSULA, DICKINSON",CROPS,9000,043,YIELD,,,,84,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,043,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,10,26,YEAR,00000000,MICHIGAN,CORN,UPPER PENINSULA,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
HOUGHTON,"MICHIGAN, UPPER PENINSULA, HOUGHTON",CROPS,9000,061,YIELD,,,,84,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,061,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,10,26,YEAR,00000000,MICHIGAN,CORN,UPPER PENINSULA,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
MACKINAC,"MICHIGAN, UPPER PENINSULA, MACKINAC",CROPS,9000,097,YIELD,,,,83.9,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,097,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,10,26,YEAR,00000000,MICHIGAN,CORN,UPPER PENINSULA,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
MENOMINEE,"MICHIGAN, UPPER PENINSULA, MENOMINEE",CROPS,9000,109,YIELD,,,,83.9,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,109,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,10,26,YEAR,00000000,MICHIGAN,CORN,UPPER PENINSULA,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
ANTRIM,"MICHIGAN, NORTHWEST, ANTRIM",CROPS,9000,009,YIELD,,,,59.9,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,009,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,20,26,YEAR,00000000,MICHIGAN,CORN,NORTHWEST,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
BENZIE,"MICHIGAN, NORTHWEST, BENZIE",CROPS,9000,019,YIELD,,,,68,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,019,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,20,26,YEAR,00000000,MICHIGAN,CORN,NORTHWEST,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
CHARLEVOIX,"MICHIGAN, NORTHWEST, CHARLEVOIX",CROPS,9000,029,YIELD,,,,67.7,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,029,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,20,26,YEAR,00000000,MICHIGAN,CORN,NORTHWEST,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
