asd_desc,region_desc,congr_district_code,domaincat_desc,reference_period_desc,unit_desc,state_fips_code,state_name,domain_desc,county_code,location_desc,zip_5,util_practice_desc,state_ansi,source_desc,begin_code,load_time,freq_desc,short_desc,watershed_code,watershed_desc,year,commodity_desc,country_name,class_desc,state_alpha,country_code,Value,week_ending,group_desc,county_name,agg_level_desc,sector_desc,statisticcat_desc,asd_code,CV (%),end_code,prodn_practice_desc,county_ansi
UPPER PENINSULA,,,NOT SPECIFIED,YEAR,BU / ACRE,26,MICHIGAN,TOTAL,003,"MICHIGAN, UPPER PENINSULA, ALGER",,GRAIN,26,SURVEY,00,2012-01-01 00:00:00.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,,1981,CORN,UNITED STATES,ALL CLASSES,MI,9000,72.1,,FIELD CROPS,ALGER,COUNTY,CROPS,YIELD,10,,00,ALL PRODUCTION PRACTICES,003
UPPER PENINSULA,,,NOT SPECIFIED,YEAR,BU / ACRE,26,MICHIGAN,TOTAL,013,"MICHIGAN, UPPER PENINSULA, BARAGA",,GRAIN,26,SURVEY,00,2012-01-01 00:00:00.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,,1981,CORN,UNITED STATES,ALL CLASSES,MI,9000,60,,FIELD CROPS,BARAGA,COUNTY,CROPS,YIELD,10,,00,ALL PRODUCTION PRACTICES,013
UPPER PENINSULA,,,NOT SPECIFIED,YEAR,BU / ACRE,26,MICHIGAN,TOTAL,033,"MICHIGAN, UPPER PENINSULA, CHIPPEWA",,GRAIN,26,SURVEY,00,2012-01-01 00:00:00.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,,1981,CORN,UNITED STATES,ALL CLASSES,MI,9000,70,,FIELD CROPS,CHIPPEWA,COUNTY,CROPS,YIELD,10,,00,ALL PRODUCTION PRACTICES,033
UPPER PENINSULA,,,NOT SPECIFIED,YEAR,BU / ACRE,26,MICHIGAN,TOTAL,041,"MICHIGAN, UPPER PENINSULA, DELTA",,GRAIN,26,SURVEY,00,2012-01-01 00:00:00.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,,1981,CORN,UNITED STATES,ALL CLASSES,MI,9000,73.9,,FIELD CROPS,DELTA,COUNTY,CROPS,YIELD,10,,00,ALL PRODUCTION PRACTICES,041
UPPER PENINSULA,,,NOT SPECIFIED,YEAR,BU / ACRE,26,MICHIGAN,TOTAL,043,"MICHIGAN, UPPER PENINSULA, DICKINSON",,GRAIN,26,SURVEY,00,2012-01-01 00:00:00.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,,1981,CORN,UNITED STATES,ALL CLASSES,MI,9000,80.6,,FIELD CROPS,DICKINSON,COUNTY,CROPS,YIELD,10,,00,ALL PRODUCTION PRACTICES,043
UPPER PENINSULA,,,NOT SPECIFIED,YEAR,BU / ACRE,26,MICHIGAN,TOTAL,053,"MICHIGAN, UPPER PENINSULA, GOGEBIC",,GRAIN,26,SURVEY,00,2012-01-01 00:00:00.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,,1981,CORN,UNITED STATES,ALL CLASSES,MI,9000,70,,FIELD CROPS,GOGEBIC,COUNTY,CROPS,YIELD,10,,00,ALL PRODUCTION PRACTICES,053
UPPER PENINSULA,,,NOT SPECIFIED,YEAR,BU / ACRE,26,MICHIGAN,TOTAL,061,"MICHIGAN, UPPER PENINSULA, HOUGHTON",,GRAIN,26,SURVEY,00,2012-01-01 00:00:00.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,,1981,CORN,UNITED STATES,ALL CLASSES,MI,9000,72.5,,FIELD CROPS,HOUGHTON,COUNTY,CROPS,YIELD,10,,00,ALL PRODUCTION PRACTICES,061
UPPER PENINSULA,,,NOT SPECIFIED,YEAR,BU / ACRE,26,MICHIGAN,TOTAL,071,"MICHIGAN, UPPER PENINSULA, IRON",,GRAIN,26,SURVEY,00,2012-01-01 00:00:00.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,,1981,CORN,UNITED STATES,ALL CLASSES,MI,9000,70,,FIELD CROPS,IRON,COUNTY,CROPS,YIELD,10,,00,ALL PRODUCTION PRACTICES,071
UPPER PENINSULA,,,NOT SPECIFIED,YEAR,BU / ACRE,26,MICHIGAN,TOTAL,097,"MICHIGAN, UPPER PENINSULA, MACKINAC",,GRAIN,26,SURVEY,00,2012-01-01 00:00:00.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,,1981,CORN,UNITED STATES,ALL CLASSES,MI,9000,85,,FIELD CROPS,MACKINAC,COUNTY,CROPS,YIELD,10,,00,ALL PRODUCTION PRACTICES,097
UPPER PENINSULA,,,NOT SPECIFIED,YEAR,BU / ACRE,26,MICHIGAN,TOTAL,103,"MICHIGAN, UPPER PENINSULA, MARQUETTE",,GRAIN,26,SURVEY,00,2012-01-01 00:00:00.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,,1981,CORN,UNITED STATES,ALL CLASSES,MI,9000,70,,FIELD CROPS,MARQUETTE,COUNTY,CROPS,YIELD,10,,00,ALL PRODUCTION PRACTICES,103
UPPER PENINSULA,,,NOT SPECIFIED,YEAR,BU / ACRE,26,MICHIGAN,TOTAL,109,"MICHIGAN, UPPER PENINSULA, MENOMINEE",,GRAIN,26,SURVEY,00,2012-01-01 00:00:00.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,,1981,CORN,UNITED STATES,ALL CLASSES,MI,9000,79,,FIELD CROPS,MENOMINEE,COUNTY,CROPS,YIELD,10,,00,ALL PRODUCTION PRACTICES,109
UPPER PENINSULA,,,NOT SPECIFIED,YEAR,BU / ACRE,26,MICHIGAN,TOTAL,131,"MICHIGAN, UPPER PENINSULA, ONTONAGON",,GRAIN,26,SURVEY,00,2012-01-01 00:00:00.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,,1981,CORN,UNITED STATES,ALL CLASSES,MI,9000,70,,FIELD CROPS,ONTONAGON,COUNTY,CROPS,YIELD,10,,00,ALL PRODUCTION PRACTICES,131
