commodity_desc,domain_desc,watershed_code,state_alpha,reference_period_desc,state_name,short_desc,load_time,class_desc,county_ansi,prodn_practice_desc,county_name,watershed_desc,country_name,begin_code,domaincat_desc,end_code,CV (%),Value,source_desc,statisticcat_desc,unit_desc,freq_desc,congr_district_code,location_desc,util_practice_desc,state_ansi,region_desc,zip_5,group_desc,asd_desc,county_code,week_ending,agg_level_desc,year,sector_desc,state_fips_code,country_code,asd_code
CORN,TOTAL,00000000,MI,YEAR,MICHIGAN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,003,ALL PRODUCTION PRACTICES,ALGER,,UNITED STATES,00,NOT SPECIFIED,00,,87.9,SURVEY,YIELD,BU / ACRE,ANNUAL,,"MICHIGAN, UPPER PENINSULA, ALGER",GRAIN,26,,,FIELD CROPS,UPPER PENINSULA,003,,COUNTY,1982,CROPS,26,9000,10
CORN,TOTAL,00000000,MI,YEAR,MICHIGAN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,013,ALL PRODUCTION PRACTICES,BARAGA,,UNITED STATES,00,NOT SPECIFIED,00,,80.9,SURVEY,YIELD,BU / ACRE,ANNUAL,,"MICHIGAN, UPPER PENINSULA, BARAGA",GRAIN,26,,,FIELD CROPS,UPPER PENINSULA,013,,COUNTY,1982,CROPS,26,9000,10
CORN,TOTAL,00000000,MI,YEAR,MICHIGAN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,033,ALL PRODUCTION PRACTICES,CHIPPEWA,,UNITED STATES,00,NOT SPECIFIED,00,,90,SURVEY,YIELD,BU / ACRE,ANNUAL,,"MICHIGAN, UPPER PENINSULA, CHIPPEWA",GRAIN,26,,,FIELD CROPS,UPPER PENINSULA,033,,COUNTY,1982,CROPS,26,9000,10
CORN,TOTAL,00000000,MI,YEAR,MICHIGAN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,041,ALL PRODUCTION PRACTICES,DELTA,,UNITED STATES,00,NOT SPECIFIED,00,,90,SURVEY,YIELD,BU / ACRE,ANNUAL,,"MICHIGAN, UPPER PENINSULA, DELTA",GRAIN,26,,,FIELD CROPS,UPPER PENINSULA,041,,COUNTY,1982,CROPS,26,9000,10
CORN,TOTAL,00000000,MI,YEAR,MICHIGAN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,043,ALL PRODUCTION PRACTICES,DICKINSON,,UNITED STATES,00,NOT SPECIFIED,00,,82.6,SURVEY,YIELD,BU / ACRE,ANNUAL,,"MICHIGAN, UPPER PENINSULA, DICKINSON",GRAIN,26,,,FIELD CROPS,UPPER PENINSULA,043,,COUNTY,1982,CROPS,26,9000,10
CORN,TOTAL,00000000,MI,YEAR,MICHIGAN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,053,ALL PRODUCTION PRACTICES,GOGEBIC,,UNITED STATES,00,NOT SPECIFIED,00,,83.3,SURVEY,YIELD,BU / ACRE,ANNUAL,,"MICHIGAN, UPPER PENINSULA, GOGEBIC",GRAIN,26,,,FIELD CROPS,UPPER PENINSULA,053,,COUNTY,1982,CROPS,26,9000,10
CORN,TOTAL,00000000,MI,YEAR,MICHIGAN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,061,ALL PRODUCTION PRACTICES,HOUGHTON,,UNITED STATES,00,NOT SPECIFIED,00,,88.8,SURVEY,YIELD,BU / ACRE,ANNUAL,,"MICHIGAN, UPPER PENINSULA, HOUGHTON",GRAIN,26,,,FIELD CROPS,UPPER PENINSULA,061,,COUNTY,1982,CROPS,26,9000,10
CORN,TOTAL,00000000,MI,YEAR,MICHIGAN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,095,ALL PRODUCTION PRACTICES,LUCE,,UNITED STATES,00,NOT SPECIFIED,00,,80,SURVEY,YIELD,BU / ACRE,ANNUAL,,"MICHIGAN, UPPER PENINSULA, LUCE",GRAIN,26,,,FIELD CROPS,UPPER PENINSULA,095,,COUNTY,1982,CROPS,26,9000,10
CORN,TOTAL,00000000,MI,YEAR,MICHIGAN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,097,ALL PRODUCTION PRACTICES,MACKINAC,,UNITED STATES,00,NOT SPECIFIED,00,,86,SURVEY,YIELD,BU / ACRE,ANNUAL,,"MICHIGAN, UPPER PENINSULA, MACKINAC",GRAIN,26,,,FIELD CROPS,UPPER PENINSULA,097,,COUNTY,1982,CROPS,26,9000,10
CORN,TOTAL,00000000,MI,YEAR,MICHIGAN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,103,ALL PRODUCTION PRACTICES,MARQUETTE,,UNITED STATES,00,NOT SPECIFIED,00,,80.8,SURVEY,YIELD,BU / ACRE,ANNUAL,,"MICHIGAN, UPPER PENINSULA, MARQUETTE",GRAIN,26,,,FIELD CROPS,UPPER PENINSULA,103,,COUNTY,1982,CROPS,26,9000,10
