group_desc,agg_level_desc,county_name,CV (%),asd_code,statisticcat_desc,sector_desc,prodn_practice_desc,county_ansi,end_code,week_ending,Value,country_name,commodity_desc,state_alpha,class_desc,country_code,begin_code,load_time,watershed_desc,watershed_code,year,short_desc,freq_desc,zip_5,util_practice_desc,state_ansi,source_desc,state_fips_code,state_name,county_code,domain_desc,location_desc,domaincat_desc,reference_period_desc,unit_desc,asd_desc,region_desc,congr_district_code
FIELD CROPS,COUNTY,ALGER,,10,YIELD,CROPS,ALL PRODUCTION PRACTICES,003,00,,74,UNITED STATES,CORN,MI,ALL CLASSES,9000,00,2012-01-01 00:00:00.000,,00000000,1983,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,GRAIN,26,SURVEY,26,MICHIGAN,003,TOTAL,"MICHIGAN, UPPER PENINSULA, ALGER",NOT SPECIFIED,YEAR,BU / ACRE,UPPER PENINSULA,,
FIELD CROPS,COUNTY,BARAGA,,10,YIELD,CROPS,ALL PRODUCTION PRACTICES,013,00,,76.3,UNITED STATES,CORN,MI,ALL CLASSES,9000,00,2012-01-01 00:00:00.000,,00000000,1983,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,GRAIN,26,SURVEY,26,MICHIGAN,013,TOTAL,"MICHIGAN, UPPER PENINSULA, BARAGA",NOT SPECIFIED,YEAR,BU / ACRE,UPPER PENINSULA,,
FIELD CROPS,COUNTY,CHIPPEWA,,10,YIELD,CROPS,ALL PRODUCTION PRACTICES,033,00,,78.8,UNITED STATES,CORN,MI,ALL CLASSES,9000,00,2012-01-01 00:00:00.000,,00000000,1983,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,GRAIN,26,SURVEY,26,MICHIGAN,033,TOTAL,"MICHIGAN, UPPER PENINSULA, CHIPPEWA",NOT SPECIFIED,YEAR,BU / ACRE,UPPER PENINSULA,,
FIELD CROPS,COUNTY,DELTA,,10,YIELD,CROPS,ALL PRODUCTION PRACTICES,041,00,,75.6,UNITED STATES,CORN,MI,ALL CLASSES,9000,00,2012-01-01 00:00:00.000,,00000000,1983,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,GRAIN,26,SURVEY,26,MICHIGAN,041,TOTAL,"MICHIGAN, UPPER PENINSULA, DELTA",NOT SPECIFIED,YEAR,BU / ACRE,UPPER PENINSULA,,
FIELD CROPS,COUNTY,DICKINSON,,10,YIELD,CROPS,ALL PRODUCTION PRACTICES,043,00,,81.5,UNITED STATES,CORN,MI,ALL CLASSES,9000,00,2012-01-01 00:00:00.000,,00000000,1983,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,GRAIN,26,SURVEY,26,MICHIGAN,043,TOTAL,"MICHIGAN, UPPER PENINSULA, DICKINSON",NOT SPECIFIED,YEAR,BU / ACRE,UPPER PENINSULA,,
FIELD CROPS,COUNTY,GOGEBIC,,10,YIELD,CROPS,ALL PRODUCTION PRACTICES,053,00,,73.3,UNITED STATES,CORN,MI,ALL CLASSES,9000,00,2012-01-01 00:00:00.000,,00000000,1983,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,GRAIN,26,SURVEY,26,MICHIGAN,053,TOTAL,"MICHIGAN, UPPER PENINSULA, GOGEBIC",NOT SPECIFIED,YEAR,BU / ACRE,UPPER PENINSULA,,
FIELD CROPS,COUNTY,HOUGHTON,,10,YIELD,CROPS,ALL PRODUCTION PRACTICES,061,00,,75,UNITED STATES,CORN,MI,ALL CLASSES,9000,00,2012-01-01 00:00:00.000,,00000000,1983,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,GRAIN,26,SURVEY,26,MICHIGAN,061,TOTAL,"MICHIGAN, UPPER PENINSULA, HOUGHTON",NOT SPECIFIED,YEAR,BU / ACRE,UPPER PENINSULA,,
FIELD CROPS,COUNTY,IRON,,10,YIELD,CROPS,ALL PRODUCTION PRACTICES,071,00,,70,UNITED STATES,CORN,MI,ALL CLASSES,9000,00,2012-01-01 00:00:00.000,,00000000,1983,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,GRAIN,26,SURVEY,26,MICHIGAN,071,TOTAL,"MICHIGAN, UPPER PENINSULA, IRON",NOT SPECIFIED,YEAR,BU / ACRE,UPPER PENINSULA,,
FIELD CROPS,COUNTY,LUCE,,10,YIELD,CROPS,ALL PRODUCTION PRACTICES,095,00,,73.3,UNITED STATES,CORN,MI,ALL CLASSES,9000,00,2012-01-01 00:00:00.000,,00000000,1983,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,GRAIN,26,SURVEY,26,MICHIGAN,095,TOTAL,"MICHIGAN, UPPER PENINSULA, LUCE",NOT SPECIFIED,YEAR,BU / ACRE,UPPER PENINSULA,,
FIELD CROPS,COUNTY,MACKINAC,,10,YIELD,CROPS,ALL PRODUCTION PRACTICES,097,00,,70,UNITED STATES,CORN,MI,ALL CLASSES,9000,00,2012-01-01 00:00:00.000,,00000000,1983,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,GRAIN,26,SURVEY,26,MICHIGAN,097,TOTAL,"MICHIGAN, UPPER PENINSULA, MACKINAC",NOT SPECIFIED,YEAR,BU / ACRE,UPPER PENINSULA,,
FIELD CROPS,COUNTY,MARQUETTE,,10,YIELD,CROPS,ALL PRODUCTION PRACTICES,103,00,,77.1,UNITED STATES,CORN,MI,ALL CLASSES,9000,00,2012-01-01 00:00:00.000,,00000000,1983,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,GRAIN,26,SURVEY,26,MICHIGAN,103,TOTAL,"MICHIGAN, UPPER PENINSULA, MARQUETTE",NOT SPECIFIED,YEAR,BU / ACRE,UPPER PENINSULA,,
FIELD CROPS,COUNTY,MENOMINEE,,10,YIELD,CROPS,ALL PRODUCTION PRACTICES,109,00,,80.8,UNITED STATES,CORN,MI,ALL CLASSES,9000,00,2012-01-01 00:00:00.000,,00000000,1983,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,GRAIN,26,SURVEY,26,MICHIGAN,109,TOTAL,"MICHIGAN, UPPER PENINSULA, MENOMINEE",NOT SPECIFIED,YEAR,BU / ACRE,UPPER PENINSULA,,
FIELD CROPS,COUNTY,ONTONAGON,,10,YIELD,CROPS,ALL PRODUCTION PRACTICES,131,00,,75,UNITED STATES,CORN,MI,ALL CLASSES,9000,00,2012-01-01 00:00:00.000,,00000000,1983,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,GRAIN,26,SURVEY,26,MICHIGAN,131,TOTAL,"MICHIGAN, UPPER PENINSULA, ONTONAGON",NOT SPECIFIED,YEAR,BU / ACRE,UPPER PENINSULA,,
FIELD CROPS,COUNTY,SCHOOLCRAFT,,10,YIELD,CROPS,ALL PRODUCTION PRACTICES,153,00,,77.5,UNITED STATES,CORN,MI,ALL CLASSES,9000,00,2012-01-01 00:00:00.000,,00000000,1983,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,GRAIN,26,SURVEY,26,MICHIGAN,153,TOTAL,"MICHIGAN, UPPER PENINSULA, SCHOOLCRAFT",NOT SPECIFIED,YEAR,BU / ACRE,UPPER PENINSULA,,
FIELD CROPS,COUNTY,ANTRIM,,20,YIELD,CROPS,ALL PRODUCTION PRACTICES,009,00,,72.7,UNITED STATES,CORN,MI,ALL CLASSES,9000,00,2012-01-01 00:00:00.000,,00000000,1983,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,GRAIN,26,SURVEY,26,MICHIGAN,009,TOTAL,"MICHIGAN, NORTHWEST, ANTRIM",NOT SPECIFIED,YEAR,BU / ACRE,NORTHWEST,,
FIELD CROPS,COUNTY,BENZIE,,20,YIELD,CROPS,ALL PRODUCTION PRACTICES,019,00,,76.5,UNITED STATES,CORN,MI,ALL CLASSES,9000,00,2012-01-01 00:00:00.000,,00000000,1983,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,GRAIN,26,SURVEY,26,MICHIGAN,019,TOTAL,"MICHIGAN, NORTHWEST, BENZIE",NOT SPECIFIED,YEAR,BU / ACRE,NORTHWEST,,
FIELD CROPS,COUNTY,CHARLEVOIX,,20,YIELD,CROPS,ALL PRODUCTION PRACTICES,029,00,,75.5,UNITED STATES,CORN,MI,ALL CLASSES,9000,00,2012-01-01 00:00:00.000,,00000000,1983,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,GRAIN,26,SURVEY,26,MICHIGAN,029,TOTAL,"MICHIGAN, NORTHWEST, CHARLEVOIX",NOT SPECIFIED,YEAR,BU / ACRE,NORTHWEST,,
FIELD CROPS,COUNTY,EMMET,,20,YIELD,CROPS,ALL PRODUCTION PRACTICES,047,00,,80.4,UNITED STATES,CORN,MI,ALL CLASSES,9000,00,2012-01-01 00:00:00.000,,00000000,1983,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,GRAIN,26,SURVEY,26,MICHIGAN,047,TOTAL,"MICHIGAN, NORTHWEST, EMMET",NOT SPECIFIED,YEAR,BU / ACRE,NORTHWEST,,
