statisticcat_desc,Value,source_desc,freq_desc,congr_district_code,unit_desc,begin_code,CV (%),end_code,domaincat_desc,county_ansi,country_name,watershed_desc,county_name,prodn_practice_desc,state_alpha,watershed_code,commodity_desc,domain_desc,class_desc,load_time,short_desc,reference_period_desc,state_name,asd_code,state_fips_code,sector_desc,year,agg_level_desc,county_code,week_ending,asd_desc,country_code,state_ansi,group_desc,zip_5,region_desc,location_desc,util_practice_desc
YIELD,80,SURVEY,ANNUAL,,BU / ACRE,00,,00,NOT SPECIFIED,003,UNITED STATES,,ALGER,ALL PRODUCTION PRACTICES,MI,00000000,CORN,TOTAL,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,10,26,CROPS,1984,COUNTY,003,,UPPER PENINSULA,9000,26,FIELD CROPS,,,"MICHIGAN, UPPER PENINSULA, ALGER",GRAIN
YIELD,70,SURVEY,ANNUAL,,BU / ACRE,00,,00,NOT SPECIFIED,013,UNITED STATES,,BARAGA,ALL PRODUCTION PRACTICES,MI,00000000,CORN,TOTAL,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,10,26,CROPS,1984,COUNTY,013,,UPPER PENINSULA,9000,26,FIELD CROPS,,,"MICHIGAN, UPPER PENINSULA, BARAGA",GRAIN
YIELD,74,SURVEY,ANNUAL,,BU / ACRE,00,,00,NOT SPECIFIED,033,UNITED STATES,,CHIPPEWA,ALL PRODUCTION PRACTICES,MI,00000000,CORN,TOTAL,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,10,26,CROPS,1984,COUNTY,033,,UPPER PENINSULA,9000,26,FIELD CROPS,,,"MICHIGAN, UPPER PENINSULA, CHIPPEWA",GRAIN
YIELD,77.9,SURVEY,ANNUAL,,BU / ACRE,00,,00,NOT SPECIFIED,041,UNITED STATES,,DELTA,ALL PRODUCTION PRACTICES,MI,00000000,CORN,TOTAL,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,10,26,CROPS,1984,COUNTY,041,,UPPER PENINSULA,9000,26,FIELD CROPS,,,"MICHIGAN, UPPER PENINSULA, DELTA",GRAIN
YIELD,78,SURVEY,ANNUAL,,BU / ACRE,00,,00,NOT SPECIFIED,043,UNITED STATES,,DICKINSON,ALL PRODUCTION PRACTICES,MI,00000000,CORN,TOTAL,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,10,26,CROPS,1984,COUNTY,043,,UPPER PENINSULA,9000,26,FIELD CROPS,,,"MICHIGAN, UPPER PENINSULA, DICKINSON",GRAIN
YIELD,70,SURVEY,ANNUAL,,BU / ACRE,00,,00,NOT SPECIFIED,053,UNITED STATES,,GOGEBIC,ALL PRODUCTION PRACTICES,MI,00000000,CORN,TOTAL,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,10,26,CROPS,1984,COUNTY,053,,UPPER PENINSULA,9000,26,FIELD CROPS,,,"MICHIGAN, UPPER PENINSULA, GOGEBIC",GRAIN
YIELD,70,SURVEY,ANNUAL,,BU / ACRE,00,,00,NOT SPECIFIED,061,UNITED STATES,,HOUGHTON,ALL PRODUCTION PRACTICES,MI,00000000,CORN,TOTAL,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,10,26,CROPS,1984,COUNTY,061,,UPPER PENINSULA,9000,26,FIELD CROPS,,,"MICHIGAN, UPPER PENINSULA, HOUGHTON",GRAIN
YIELD,70,SURVEY,ANNUAL,,BU / ACRE,00,,00,NOT SPECIFIED,071,UNITED STATES,,IRON,ALL PRODUCTION PRACTICES,MI,00000000,CORN,TOTAL,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,10,26,CROPS,1984,COUNTY,071,,UPPER PENINSULA,9000,26,FIELD CROPS,,,"MICHIGAN, UPPER PENINSULA, IRON",GRAIN
YIELD,70,SURVEY,ANNUAL,,BU / ACRE,00,,00,NOT SPECIFIED,095,UNITED STATES,,LUCE,ALL PRODUCTION PRACTICES,MI,00000000,CORN,TOTAL,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,10,26,CROPS,1984,COUNTY,095,,UPPER PENINSULA,9000,26,FIELD CROPS,,,"MICHIGAN, UPPER PENINSULA, LUCE",GRAIN
YIELD,71.8,SURVEY,ANNUAL,,BU / ACRE,00,,00,NOT SPECIFIED,097,UNITED STATES,,MACKINAC,ALL PRODUCTION PRACTICES,MI,00000000,CORN,TOTAL,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,10,26,CROPS,1984,COUNTY,097,,UPPER PENINSULA,9000,26,FIELD CROPS,,,"MICHIGAN, UPPER PENINSULA, MACKINAC",GRAIN
YIELD,75,SURVEY,ANNUAL,,BU / ACRE,00,,00,NOT SPECIFIED,103,UNITED STATES,,MARQUETTE,ALL PRODUCTION PRACTICES,MI,00000000,CORN,TOTAL,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,10,26,CROPS,1984,COUNTY,103,,UPPER PENINSULA,9000,26,FIELD CROPS,,,"MICHIGAN, UPPER PENINSULA, MARQUETTE",GRAIN
YIELD,90,SURVEY,ANNUAL,,BU / ACRE,00,,00,NOT SPECIFIED,109,UNITED STATES,,MENOMINEE,ALL PRODUCTION PRACTICES,MI,00000000,CORN,TOTAL,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,10,26,CROPS,1984,COUNTY,109,,UPPER PENINSULA,9000,26,FIELD CROPS,,,"MICHIGAN, UPPER PENINSULA, MENOMINEE",GRAIN
YIELD,70,SURVEY,ANNUAL,,BU / ACRE,00,,00,NOT SPECIFIED,131,UNITED STATES,,ONTONAGON,ALL PRODUCTION PRACTICES,MI,00000000,CORN,TOTAL,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,10,26,CROPS,1984,COUNTY,131,,UPPER PENINSULA,9000,26,FIELD CROPS,,,"MICHIGAN, UPPER PENINSULA, ONTONAGON",GRAIN
YIELD,75,SURVEY,ANNUAL,,BU / ACRE,00,,00,NOT SPECIFIED,153,UNITED STATES,,SCHOOLCRAFT,ALL PRODUCTION PRACTICES,MI,00000000,CORN,TOTAL,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,10,26,CROPS,1984,COUNTY,153,,UPPER PENINSULA,9000,26,FIELD CROPS,,,"MICHIGAN, UPPER PENINSULA, SCHOOLCRAFT",GRAIN
YIELD,96.2,SURVEY,ANNUAL,,BU / ACRE,00,,00,NOT SPECIFIED,009,UNITED STATES,,ANTRIM,ALL PRODUCTION PRACTICES,MI,00000000,CORN,TOTAL,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,20,26,CROPS,1984,COUNTY,009,,NORTHWEST,9000,26,FIELD CROPS,,,"MICHIGAN, NORTHWEST, ANTRIM",GRAIN
