CV (%),end_code,domaincat_desc,begin_code,freq_desc,congr_district_code,unit_desc,statisticcat_desc,Value,source_desc,class_desc,load_time,short_desc,reference_period_desc,state_name,state_alpha,watershed_code,commodity_desc,domain_desc,country_name,watershed_desc,county_name,prodn_practice_desc,county_ansi,country_code,state_fips_code,year,sector_desc,week_ending,agg_level_desc,county_code,asd_desc,asd_code,util_practice_desc,location_desc,zip_5,group_desc,region_desc,state_ansi
,00,NOT SPECIFIED,00,ANNUAL,,BU / ACRE,YIELD,92,SURVEY,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,MI,00000000,CORN,TOTAL,UNITED STATES,,ALGER,ALL PRODUCTION PRACTICES,003,9000,26,1985,CROPS,,COUNTY,003,UPPER PENINSULA,10,GRAIN,"MICHIGAN, UPPER PENINSULA, ALGER",,FIELD CROPS,,26
,00,NOT SPECIFIED,00,ANNUAL,,BU / ACRE,YIELD,80,SURVEY,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,MI,00000000,CORN,TOTAL,UNITED STATES,,BARAGA,ALL PRODUCTION PRACTICES,013,9000,26,1985,CROPS,,COUNTY,013,UPPER PENINSULA,10,GRAIN,"MICHIGAN, UPPER PENINSULA, BARAGA",,FIELD CROPS,,26
,00,NOT SPECIFIED,00,ANNUAL,,BU / ACRE,YIELD,88,SURVEY,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,MI,00000000,CORN,TOTAL,UNITED STATES,,CHIPPEWA,ALL PRODUCTION PRACTICES,033,9000,26,1985,CROPS,,COUNTY,033,UPPER PENINSULA,10,GRAIN,"MICHIGAN, UPPER PENINSULA, CHIPPEWA",,FIELD CROPS,,26
,00,NOT SPECIFIED,00,ANNUAL,,BU / ACRE,YIELD,92.3,SURVEY,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,MI,00000000,CORN,TOTAL,UNITED STATES,,DELTA,ALL PRODUCTION PRACTICES,041,9000,26,1985,CROPS,,COUNTY,041,UPPER PENINSULA,10,GRAIN,"MICHIGAN, UPPER PENINSULA, DELTA",,FIELD CROPS,,26
,00,NOT SPECIFIED,00,ANNUAL,,BU / ACRE,YIELD,87.1,SURVEY,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,MI,00000000,CORN,TOTAL,UNITED STATES,,DICKINSON,ALL PRODUCTION PRACTICES,043,9000,26,1985,CROPS,,COUNTY,043,UPPER PENINSULA,10,GRAIN,"MICHIGAN, UPPER PENINSULA, DICKINSON",,FIELD CROPS,,26
,00,NOT SPECIFIED,00,ANNUAL,,BU / ACRE,YIELD,85,SURVEY,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,MI,00000000,CORN,TOTAL,UNITED STATES,,GOGEBIC,ALL PRODUCTION PRACTICES,053,9000,26,1985,CROPS,,COUNTY,053,UPPER PENINSULA,10,GRAIN,"MICHIGAN, UPPER PENINSULA, GOGEBIC",,FIELD CROPS,,26
,00,NOT SPECIFIED,00,ANNUAL,,BU / ACRE,YIELD,92,SURVEY,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,MI,00000000,CORN,TOTAL,UNITED STATES,,HOUGHTON,ALL PRODUCTION PRACTICES,061,9000,26,1985,CROPS,,COUNTY,061,UPPER PENINSULA,10,GRAIN,"MICHIGAN, UPPER PENINSULA, HOUGHTON",,FIELD CROPS,,26
,00,NOT SPECIFIED,00,ANNUAL,,BU / ACRE,YIELD,80,SURVEY,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,MI,00000000,CORN,TOTAL,UNITED STATES,,IRON,ALL PRODUCTION PRACTICES,071,9000,26,1985,CROPS,,COUNTY,071,UPPER PENINSULA,10,GRAIN,"MICHIGAN, UPPER PENINSULA, IRON",,FIELD CROPS,,26
,00,NOT SPECIFIED,00,ANNUAL,,BU / ACRE,YIELD,80,SURVEY,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,MI,00000000,CORN,TOTAL,UNITED STATES,,LUCE,ALL PRODUCTION PRACTICES,095,9000,26,1985,CROPS,,COUNTY,095,UPPER PENINSULA,10,GRAIN,"MICHIGAN, UPPER PENINSULA, LUCE",,FIELD CROPS,,26
,00,NOT SPECIFIED,00,ANNUAL,,BU / ACRE,YIELD,90,SURVEY,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,MI,00000000,CORN,TOTAL,UNITED STATES,,MACKINAC,ALL PRODUCTION PRACTICES,097,9000,26,1985,CROPS,,COUNTY,097,UPPER PENINSULA,10,GRAIN,"MICHIGAN, UPPER PENINSULA, MACKINAC",,FIELD CROPS,,26
