reference_period_desc,unit_desc,agg_level_desc,week_ending,congr_district_code,domaincat_desc,freq_desc,commodity_desc,location_desc,region_desc,prodn_practice_desc,begin_code,zip_5,short_desc,asd_code,watershed_code,sector_desc,util_practice_desc,state_ansi,Value,group_desc,county_name,statisticcat_desc,state_fips_code,CV (%),source_desc,county_ansi,state_name,asd_desc,county_code,state_alpha,watershed_desc,country_name,country_code,year,domain_desc,end_code,class_desc,load_time
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, UPPER PENINSULA, ALGER",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",10,00000000,CROPS,GRAIN,26,82.5,FIELD CROPS,ALGER,YIELD,26,,SURVEY,003,MICHIGAN,UPPER PENINSULA,003,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, UPPER PENINSULA, BARAGA",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",10,00000000,CROPS,GRAIN,26,80,FIELD CROPS,BARAGA,YIELD,26,,SURVEY,013,MICHIGAN,UPPER PENINSULA,013,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, UPPER PENINSULA, CHIPPEWA",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",10,00000000,CROPS,GRAIN,26,86.8,FIELD CROPS,CHIPPEWA,YIELD,26,,SURVEY,033,MICHIGAN,UPPER PENINSULA,033,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, UPPER PENINSULA, DELTA",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",10,00000000,CROPS,GRAIN,26,78.1,FIELD CROPS,DELTA,YIELD,26,,SURVEY,041,MICHIGAN,UPPER PENINSULA,041,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, UPPER PENINSULA, DICKINSON",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",10,00000000,CROPS,GRAIN,26,80,FIELD CROPS,DICKINSON,YIELD,26,,SURVEY,043,MICHIGAN,UPPER PENINSULA,043,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, UPPER PENINSULA, GOGEBIC",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",10,00000000,CROPS,GRAIN,26,80,FIELD CROPS,GOGEBIC,YIELD,26,,SURVEY,053,MICHIGAN,UPPER PENINSULA,053,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, UPPER PENINSULA, HOUGHTON",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",10,00000000,CROPS,GRAIN,26,75.8,FIELD CROPS,HOUGHTON,YIELD,26,,SURVEY,061,MICHIGAN,UPPER PENINSULA,061,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, UPPER PENINSULA, IRON",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",10,00000000,CROPS,GRAIN,26,80,FIELD CROPS,IRON,YIELD,26,,SURVEY,071,MICHIGAN,UPPER PENINSULA,071,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, UPPER PENINSULA, LUCE",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",10,00000000,CROPS,GRAIN,26,80,FIELD CROPS,LUCE,YIELD,26,,SURVEY,095,MICHIGAN,UPPER PENINSULA,095,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, UPPER PENINSULA, MACKINAC",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",10,00000000,CROPS,GRAIN,26,86.3,FIELD CROPS,MACKINAC,YIELD,26,,SURVEY,097,MICHIGAN,UPPER PENINSULA,097,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
