reference_period_desc,location_desc,state_ansi,county_ansi,congr_district_code,domaincat_desc,year,CV (%),state_fips_code,statisticcat_desc,country_name,watershed_desc,asd_code,source_desc,state_alpha,group_desc,class_desc,begin_code,country_code,state_name,week_ending,region_desc,domain_desc,asd_desc,Value,county_code,util_practice_desc,short_desc,load_time,unit_desc,freq_desc,agg_level_desc,watershed_code,prodn_practice_desc,zip_5,end_code,commodity_desc,county_name,sector_desc
YEAR,"MICHIGAN, UPPER PENINSULA, ALGER",26,003,,NOT SPECIFIED,1988,,26,YIELD,UNITED STATES,,10,SURVEY,MI,FIELD CROPS,ALL CLASSES,00,9000,MICHIGAN,,,TOTAL,UPPER PENINSULA,77.8,003,GRAIN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,BU / ACRE,ANNUAL,COUNTY,00000000,ALL PRODUCTION PRACTICES,,00,CORN,ALGER,CROPS
YEAR,"MICHIGAN, UPPER PENINSULA, BARAGA",26,013,,NOT SPECIFIED,1988,,26,YIELD,UNITED STATES,,10,SURVEY,MI,FIELD CROPS,ALL CLASSES,00,9000,MICHIGAN,,,TOTAL,UPPER PENINSULA,76.7,013,GRAIN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,BU / ACRE,ANNUAL,COUNTY,00000000,ALL PRODUCTION PRACTICES,,00,CORN,BARAGA,CROPS
YEAR,"MICHIGAN, UPPER PENINSULA, CHIPPEWA",26,033,,NOT SPECIFIED,1988,,26,YIELD,UNITED STATES,,10,SURVEY,MI,FIELD CROPS,ALL CLASSES,00,9000,MICHIGAN,,,TOTAL,UPPER PENINSULA,77.5,033,GRAIN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,BU / ACRE,ANNUAL,COUNTY,00000000,ALL PRODUCTION PRACTICES,,00,CORN,CHIPPEWA,CROPS
YEAR,"MICHIGAN, UPPER PENINSULA, DELTA",26,041,,NOT SPECIFIED,1988,,26,YIELD,UNITED STATES,,10,SURVEY,MI,FIELD CROPS,ALL CLASSES,00,9000,MICHIGAN,,,TOTAL,UPPER PENINSULA,78.6,041,GRAIN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,BU / ACRE,ANNUAL,COUNTY,00000000,ALL PRODUCTION PRACTICES,,00,CORN,DELTA,CROPS
YEAR,"MICHIGAN, UPPER PENINSULA, DICKINSON",26,043,,NOT SPECIFIED,1988,,26,YIELD,UNITED STATES,,10,SURVEY,MI,FIELD CROPS,ALL CLASSES,00,9000,MICHIGAN,,,TOTAL,UPPER PENINSULA,75.8,043,GRAIN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,BU / ACRE,ANNUAL,COUNTY,00000000,ALL PRODUCTION PRACTICES,,00,CORN,DICKINSON,CROPS
YEAR,"MICHIGAN, UPPER PENINSULA, HOUGHTON",26,061,,NOT SPECIFIED,1988,,26,YIELD,UNITED STATES,,10,SURVEY,MI,FIELD CROPS,ALL CLASSES,00,9000,MICHIGAN,,,TOTAL,UPPER PENINSULA,76.2,061,GRAIN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,BU / ACRE,ANNUAL,COUNTY,00000000,ALL PRODUCTION PRACTICES,,00,CORN,HOUGHTON,CROPS
YEAR,"MICHIGAN, UPPER PENINSULA, IRON",26,071,,NOT SPECIFIED,1988,,26,YIELD,UNITED STATES,,10,SURVEY,MI,FIELD CROPS,ALL CLASSES,00,9000,MICHIGAN,,,TOTAL,UPPER PENINSULA,76.7,071,GRAIN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,BU / ACRE,ANNUAL,COUNTY,00000000,ALL PRODUCTION PRACTICES,,00,CORN,IRON,CROPS
YEAR,"MICHIGAN, UPPER PENINSULA, LUCE",26,095,,NOT SPECIFIED,1988,,26,YIELD,UNITED STATES,,10,SURVEY,MI,FIELD CROPS,ALL CLASSES,00,9000,MICHIGAN,,,TOTAL,UPPER PENINSULA,77.5,095,GRAIN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,BU / ACRE,ANNUAL,COUNTY,00000000,ALL PRODUCTION PRACTICES,,00,CORN,LUCE,CROPS
YEAR,"MICHIGAN, UPPER PENINSULA, MACKINAC",26,097,,NOT SPECIFIED,1988,,26,YIELD,UNITED STATES,,10,SURVEY,MI,FIELD CROPS,ALL CLASSES,00,9000,MICHIGAN,,,TOTAL,UPPER PENINSULA,76.3,097,GRAIN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,BU / ACRE,ANNUAL,COUNTY,00000000,ALL PRODUCTION PRACTICES,,00,CORN,MACKINAC,CROPS
YEAR,"MICHIGAN, UPPER PENINSULA, MARQUETTE",26,103,,NOT SPECIFIED,1988,,26,YIELD,UNITED STATES,,10,SURVEY,MI,FIELD CROPS,ALL CLASSES,00,9000,MICHIGAN,,,TOTAL,UPPER PENINSULA,75,103,GRAIN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,BU / ACRE,ANNUAL,COUNTY,00000000,ALL PRODUCTION PRACTICES,,00,CORN,MARQUETTE,CROPS
YEAR,"MICHIGAN, UPPER PENINSULA, MENOMINEE",26,109,,NOT SPECIFIED,1988,,26,YIELD,UNITED STATES,,10,SURVEY,MI,FIELD CROPS,ALL CLASSES,00,9000,MICHIGAN,,,TOTAL,UPPER PENINSULA,78,109,GRAIN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,BU / ACRE,ANNUAL,COUNTY,00000000,ALL PRODUCTION PRACTICES,,00,CORN,MENOMINEE,CROPS
YEAR,"MICHIGAN, UPPER PENINSULA, ONTONAGON",26,131,,NOT SPECIFIED,1988,,26,YIELD,UNITED STATES,,10,SURVEY,MI,FIELD CROPS,ALL CLASSES,00,9000,MICHIGAN,,,TOTAL,UPPER PENINSULA,75,131,GRAIN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,BU / ACRE,ANNUAL,COUNTY,00000000,ALL PRODUCTION PRACTICES,,00,CORN,ONTONAGON,CROPS
YEAR,"MICHIGAN, UPPER PENINSULA, SCHOOLCRAFT",26,153,,NOT SPECIFIED,1988,,26,YIELD,UNITED STATES,,10,SURVEY,MI,FIELD CROPS,ALL CLASSES,00,9000,MICHIGAN,,,TOTAL,UPPER PENINSULA,76.3,153,GRAIN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,BU / ACRE,ANNUAL,COUNTY,00000000,ALL PRODUCTION PRACTICES,,00,CORN,SCHOOLCRAFT,CROPS
