state_alpha,begin_code,class_desc,group_desc,asd_code,source_desc,watershed_desc,state_fips_code,statisticcat_desc,country_name,CV (%),year,domaincat_desc,reference_period_desc,state_ansi,location_desc,county_ansi,congr_district_code,util_practice_desc,county_code,Value,asd_desc,region_desc,domain_desc,week_ending,country_code,state_name,agg_level_desc,watershed_code,freq_desc,unit_desc,load_time,short_desc,sector_desc,county_name,commodity_desc,end_code,prodn_practice_desc,zip_5
MI,00,ALL CLASSES,FIELD CROPS,10,SURVEY,,26,YIELD,UNITED STATES,,1989,NOT SPECIFIED,YEAR,26,"MICHIGAN, UPPER PENINSULA, ALGER",003,,GRAIN,003,72.2,UPPER PENINSULA,,TOTAL,,9000,MICHIGAN,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,ALGER,CORN,00,ALL PRODUCTION PRACTICES,
MI,00,ALL CLASSES,FIELD CROPS,10,SURVEY,,26,YIELD,UNITED STATES,,1989,NOT SPECIFIED,YEAR,26,"MICHIGAN, UPPER PENINSULA, BARAGA",013,,GRAIN,013,70,UPPER PENINSULA,,TOTAL,,9000,MICHIGAN,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,BARAGA,CORN,00,ALL PRODUCTION PRACTICES,
MI,00,ALL CLASSES,FIELD CROPS,10,SURVEY,,26,YIELD,UNITED STATES,,1989,NOT SPECIFIED,YEAR,26,"MICHIGAN, UPPER PENINSULA, CHIPPEWA",033,,GRAIN,033,70,UPPER PENINSULA,,TOTAL,,9000,MICHIGAN,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,CHIPPEWA,CORN,00,ALL PRODUCTION PRACTICES,
MI,00,ALL CLASSES,FIELD CROPS,10,SURVEY,,26,YIELD,UNITED STATES,,1989,NOT SPECIFIED,YEAR,26,"MICHIGAN, UPPER PENINSULA, DELTA",041,,GRAIN,041,79.2,UPPER PENINSULA,,TOTAL,,9000,MICHIGAN,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,DELTA,CORN,00,ALL PRODUCTION PRACTICES,
MI,00,ALL CLASSES,FIELD CROPS,10,SURVEY,,26,YIELD,UNITED STATES,,1989,NOT SPECIFIED,YEAR,26,"MICHIGAN, UPPER PENINSULA, DICKINSON",043,,GRAIN,043,72.7,UPPER PENINSULA,,TOTAL,,9000,MICHIGAN,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,DICKINSON,CORN,00,ALL PRODUCTION PRACTICES,
MI,00,ALL CLASSES,FIELD CROPS,10,SURVEY,,26,YIELD,UNITED STATES,,1989,NOT SPECIFIED,YEAR,26,"MICHIGAN, UPPER PENINSULA, HOUGHTON",061,,GRAIN,061,84.6,UPPER PENINSULA,,TOTAL,,9000,MICHIGAN,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,HOUGHTON,CORN,00,ALL PRODUCTION PRACTICES,
MI,00,ALL CLASSES,FIELD CROPS,10,SURVEY,,26,YIELD,UNITED STATES,,1989,NOT SPECIFIED,YEAR,26,"MICHIGAN, UPPER PENINSULA, IRON",071,,GRAIN,071,76.7,UPPER PENINSULA,,TOTAL,,9000,MICHIGAN,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,IRON,CORN,00,ALL PRODUCTION PRACTICES,
MI,00,ALL CLASSES,FIELD CROPS,10,SURVEY,,26,YIELD,UNITED STATES,,1989,NOT SPECIFIED,YEAR,26,"MICHIGAN, UPPER PENINSULA, LUCE",095,,GRAIN,095,75,UPPER PENINSULA,,TOTAL,,9000,MICHIGAN,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,LUCE,CORN,00,ALL PRODUCTION PRACTICES,
MI,00,ALL CLASSES,FIELD CROPS,10,SURVEY,,26,YIELD,UNITED STATES,,1989,NOT SPECIFIED,YEAR,26,"MICHIGAN, UPPER PENINSULA, MACKINAC",097,,GRAIN,097,75,UPPER PENINSULA,,TOTAL,,9000,MICHIGAN,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,MACKINAC,CORN,00,ALL PRODUCTION PRACTICES,
MI,00,ALL CLASSES,FIELD CROPS,10,SURVEY,,26,YIELD,UNITED STATES,,1989,NOT SPECIFIED,YEAR,26,"MICHIGAN, UPPER PENINSULA, MARQUETTE",103,,GRAIN,103,81.3,UPPER PENINSULA,,TOTAL,,9000,MICHIGAN,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,MARQUETTE,CORN,00,ALL PRODUCTION PRACTICES,
