county_name,source_desc,class_desc,reference_period_desc,state_fips_code,unit_desc,domaincat_desc,location_desc,prodn_practice_desc,end_code,group_desc,state_ansi,commodity_desc,state_alpha,country_name,county_code,watershed_code,watershed_desc,statisticcat_desc,state_name,county_ansi,country_code,agg_level_desc,week_ending,CV (%),load_time,util_practice_desc,asd_code,Value,congr_district_code,zip_5,begin_code,freq_desc,region_desc,domain_desc,short_desc,sector_desc,year,asd_desc
OTHER (COMBINED) COUNTIES,SURVEY,ALL CLASSES,YEAR,26,BU / ACRE,NOT SPECIFIED,"MICHIGAN, UPPER PENINSULA, OTHER (COMBINED) COUNTIES",ALL PRODUCTION PRACTICES,00,FIELD CROPS,26,CORN,MI,UNITED STATES,998,00000000,,YIELD,MICHIGAN,,9000,COUNTY,,,2012-01-01 00:00:00.000,GRAIN,10,74.4,,,00,ANNUAL,,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,1990,UPPER PENINSULA
DELTA,SURVEY,ALL CLASSES,YEAR,26,BU / ACRE,NOT SPECIFIED,"MICHIGAN, UPPER PENINSULA, DELTA",ALL PRODUCTION PRACTICES,00,FIELD CROPS,26,CORN,MI,UNITED STATES,041,00000000,,YIELD,MICHIGAN,041,9000,COUNTY,,,2012-01-01 00:00:00.000,GRAIN,10,78.8,,,00,ANNUAL,,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,1990,UPPER PENINSULA
DICKINSON,SURVEY,ALL CLASSES,YEAR,26,BU / ACRE,NOT SPECIFIED,"MICHIGAN, UPPER PENINSULA, DICKINSON",ALL PRODUCTION PRACTICES,00,FIELD CROPS,26,CORN,MI,UNITED STATES,043,00000000,,YIELD,MICHIGAN,043,9000,COUNTY,,,2012-01-01 00:00:00.000,GRAIN,10,75,,,00,ANNUAL,,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,1990,UPPER PENINSULA
MENOMINEE,SURVEY,ALL CLASSES,YEAR,26,BU / ACRE,NOT SPECIFIED,"MICHIGAN, UPPER PENINSULA, MENOMINEE",ALL PRODUCTION PRACTICES,00,FIELD CROPS,26,CORN,MI,UNITED STATES,109,00000000,,YIELD,MICHIGAN,109,9000,COUNTY,,,2012-01-01 00:00:00.000,GRAIN,10,67.3,,,00,ANNUAL,,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,1990,UPPER PENINSULA
ANTRIM,SURVEY,ALL CLASSES,YEAR,26,BU / ACRE,NOT SPECIFIED,"MICHIGAN, NORTHWEST, ANTRIM",ALL PRODUCTION PRACTICES,00,FIELD CROPS,26,CORN,MI,UNITED STATES,009,00000000,,YIELD,MICHIGAN,009,9000,COUNTY,,,2012-01-01 00:00:00.000,GRAIN,20,76.9,,,00,ANNUAL,,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,1990,NORTHWEST
BENZIE,SURVEY,ALL CLASSES,YEAR,26,BU / ACRE,NOT SPECIFIED,"MICHIGAN, NORTHWEST, BENZIE",ALL PRODUCTION PRACTICES,00,FIELD CROPS,26,CORN,MI,UNITED STATES,019,00000000,,YIELD,MICHIGAN,019,9000,COUNTY,,,2012-01-01 00:00:00.000,GRAIN,20,66.7,,,00,ANNUAL,,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,1990,NORTHWEST
CHARLEVOIX,SURVEY,ALL CLASSES,YEAR,26,BU / ACRE,NOT SPECIFIED,"MICHIGAN, NORTHWEST, CHARLEVOIX",ALL PRODUCTION PRACTICES,00,FIELD CROPS,26,CORN,MI,UNITED STATES,029,00000000,,YIELD,MICHIGAN,029,9000,COUNTY,,,2012-01-01 00:00:00.000,GRAIN,20,75,,,00,ANNUAL,,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,1990,NORTHWEST
EMMET,SURVEY,ALL CLASSES,YEAR,26,BU / ACRE,NOT SPECIFIED,"MICHIGAN, NORTHWEST, EMMET",ALL PRODUCTION PRACTICES,00,FIELD CROPS,26,CORN,MI,UNITED STATES,047,00000000,,YIELD,MICHIGAN,047,9000,COUNTY,,,2012-01-01 00:00:00.000,GRAIN,20,65.9,,,00,ANNUAL,,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,1990,NORTHWEST
GRAND TRAVERSE,SURVEY,ALL CLASSES,YEAR,26,BU / ACRE,NOT SPECIFIED,"MICHIGAN, NORTHWEST, GRAND TRAVERSE",ALL PRODUCTION PRACTICES,00,FIELD CROPS,26,CORN,MI,UNITED STATES,055,00000000,,YIELD,MICHIGAN,055,9000,COUNTY,,,2012-01-01 00:00:00.000,GRAIN,20,70.9,,,00,ANNUAL,,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,1990,NORTHWEST
KALKASKA,SURVEY,ALL CLASSES,YEAR,26,BU / ACRE,NOT SPECIFIED,"MICHIGAN, NORTHWEST, KALKASKA",ALL PRODUCTION PRACTICES,00,FIELD CROPS,26,CORN,MI,UNITED STATES,079,00000000,,YIELD,MICHIGAN,079,9000,COUNTY,,,2012-01-01 00:00:00.000,GRAIN,20,75,,,00,ANNUAL,,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,1990,NORTHWEST
