Value,zip_5,statisticcat_desc,state_fips_code,util_practice_desc,freq_desc,domaincat_desc,end_code,week_ending,year,county_name,load_time,source_desc,sector_desc,county_ansi,prodn_practice_desc,class_desc,domain_desc,unit_desc,congr_district_code,state_alpha,watershed_code,state_ansi,country_name,asd_code,reference_period_desc,commodity_desc,county_code,agg_level_desc,watershed_desc,group_desc,region_desc,location_desc,begin_code,short_desc,asd_desc,state_name,CV (%),country_code
72.2,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,OTHER (COMBINED) COUNTIES,2012-01-01 00:00:00.000,SURVEY,CROPS,,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,10,YEAR,CORN,998,COUNTY,,FIELD CROPS,,"MICHIGAN, UPPER PENINSULA, OTHER (COMBINED) COUNTIES",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UPPER PENINSULA,MICHIGAN,,9000
72.9,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,DELTA,2012-01-01 00:00:00.000,SURVEY,CROPS,041,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,10,YEAR,CORN,041,COUNTY,,FIELD CROPS,,"MICHIGAN, UPPER PENINSULA, DELTA",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UPPER PENINSULA,MICHIGAN,,9000
85.7,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,DICKINSON,2012-01-01 00:00:00.000,SURVEY,CROPS,043,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,10,YEAR,CORN,043,COUNTY,,FIELD CROPS,,"MICHIGAN, UPPER PENINSULA, DICKINSON",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UPPER PENINSULA,MICHIGAN,,9000
78.7,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,MENOMINEE,2012-01-01 00:00:00.000,SURVEY,CROPS,109,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,10,YEAR,CORN,109,COUNTY,,FIELD CROPS,,"MICHIGAN, UPPER PENINSULA, MENOMINEE",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UPPER PENINSULA,MICHIGAN,,9000
78.8,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,ANTRIM,2012-01-01 00:00:00.000,SURVEY,CROPS,009,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,20,YEAR,CORN,009,COUNTY,,FIELD CROPS,,"MICHIGAN, NORTHWEST, ANTRIM",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",NORTHWEST,MICHIGAN,,9000
86.4,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,BENZIE,2012-01-01 00:00:00.000,SURVEY,CROPS,019,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,20,YEAR,CORN,019,COUNTY,,FIELD CROPS,,"MICHIGAN, NORTHWEST, BENZIE",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",NORTHWEST,MICHIGAN,,9000
89.6,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,CHARLEVOIX,2012-01-01 00:00:00.000,SURVEY,CROPS,029,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,20,YEAR,CORN,029,COUNTY,,FIELD CROPS,,"MICHIGAN, NORTHWEST, CHARLEVOIX",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",NORTHWEST,MICHIGAN,,9000
83.3,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,EMMET,2012-01-01 00:00:00.000,SURVEY,CROPS,047,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,20,YEAR,CORN,047,COUNTY,,FIELD CROPS,,"MICHIGAN, NORTHWEST, EMMET",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",NORTHWEST,MICHIGAN,,9000
94.1,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,GRAND TRAVERSE,2012-01-01 00:00:00.000,SURVEY,CROPS,055,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,20,YEAR,CORN,055,COUNTY,,FIELD CROPS,,"MICHIGAN, NORTHWEST, GRAND TRAVERSE",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",NORTHWEST,MICHIGAN,,9000
87.5,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,KALKASKA,2012-01-01 00:00:00.000,SURVEY,CROPS,079,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,20,YEAR,CORN,079,COUNTY,,FIELD CROPS,,"MICHIGAN, NORTHWEST, KALKASKA",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",NORTHWEST,MICHIGAN,,9000
