domain_desc,short_desc,region_desc,asd_desc,year,sector_desc,congr_district_code,freq_desc,begin_code,zip_5,util_practice_desc,load_time,asd_code,Value,statisticcat_desc,state_name,county_ansi,week_ending,agg_level_desc,CV (%),country_code,county_code,country_name,watershed_desc,watershed_code,state_alpha,commodity_desc,state_ansi,location_desc,group_desc,end_code,prodn_practice_desc,reference_period_desc,source_desc,county_name,class_desc,domaincat_desc,unit_desc,state_fips_code
TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,UPPER PENINSULA,1992,CROPS,,ANNUAL,00,,GRAIN,2012-01-01 00:00:00.000,10,49.5,YIELD,MICHIGAN,,,COUNTY,,9000,998,UNITED STATES,,00000000,MI,CORN,26,"MICHIGAN, UPPER PENINSULA, OTHER (COMBINED) COUNTIES",FIELD CROPS,00,ALL PRODUCTION PRACTICES,YEAR,SURVEY,OTHER (COMBINED) COUNTIES,ALL CLASSES,NOT SPECIFIED,BU / ACRE,26
TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,UPPER PENINSULA,1992,CROPS,,ANNUAL,00,,GRAIN,2012-01-01 00:00:00.000,10,61.4,YIELD,MICHIGAN,041,,COUNTY,,9000,041,UNITED STATES,,00000000,MI,CORN,26,"MICHIGAN, UPPER PENINSULA, DELTA",FIELD CROPS,00,ALL PRODUCTION PRACTICES,YEAR,SURVEY,DELTA,ALL CLASSES,NOT SPECIFIED,BU / ACRE,26
TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,UPPER PENINSULA,1992,CROPS,,ANNUAL,00,,GRAIN,2012-01-01 00:00:00.000,10,50,YIELD,MICHIGAN,043,,COUNTY,,9000,043,UNITED STATES,,00000000,MI,CORN,26,"MICHIGAN, UPPER PENINSULA, DICKINSON",FIELD CROPS,00,ALL PRODUCTION PRACTICES,YEAR,SURVEY,DICKINSON,ALL CLASSES,NOT SPECIFIED,BU / ACRE,26
TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,UPPER PENINSULA,1992,CROPS,,ANNUAL,00,,GRAIN,2012-01-01 00:00:00.000,10,58.6,YIELD,MICHIGAN,103,,COUNTY,,9000,103,UNITED STATES,,00000000,MI,CORN,26,"MICHIGAN, UPPER PENINSULA, MARQUETTE",FIELD CROPS,00,ALL PRODUCTION PRACTICES,YEAR,SURVEY,MARQUETTE,ALL CLASSES,NOT SPECIFIED,BU / ACRE,26
TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,UPPER PENINSULA,1992,CROPS,,ANNUAL,00,,GRAIN,2012-01-01 00:00:00.000,10,58.6,YIELD,MICHIGAN,109,,COUNTY,,9000,109,UNITED STATES,,00000000,MI,CORN,26,"MICHIGAN, UPPER PENINSULA, MENOMINEE",FIELD CROPS,00,ALL PRODUCTION PRACTICES,YEAR,SURVEY,MENOMINEE,ALL CLASSES,NOT SPECIFIED,BU / ACRE,26
TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,UPPER PENINSULA,1992,CROPS,,ANNUAL,00,,GRAIN,2012-01-01 00:00:00.000,10,63.6,YIELD,MICHIGAN,153,,COUNTY,,9000,153,UNITED STATES,,00000000,MI,CORN,26,"MICHIGAN, UPPER PENINSULA, SCHOOLCRAFT",FIELD CROPS,00,ALL PRODUCTION PRACTICES,YEAR,SURVEY,SCHOOLCRAFT,ALL CLASSES,NOT SPECIFIED,BU / ACRE,26
TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,NORTHWEST,1992,CROPS,,ANNUAL,00,,GRAIN,2012-01-01 00:00:00.000,20,73.3,YIELD,MICHIGAN,009,,COUNTY,,9000,009,UNITED STATES,,00000000,MI,CORN,26,"MICHIGAN, NORTHWEST, ANTRIM",FIELD CROPS,00,ALL PRODUCTION PRACTICES,YEAR,SURVEY,ANTRIM,ALL CLASSES,NOT SPECIFIED,BU / ACRE,26
TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,NORTHWEST,1992,CROPS,,ANNUAL,00,,GRAIN,2012-01-01 00:00:00.000,20,66.7,YIELD,MICHIGAN,019,,COUNTY,,9000,019,UNITED STATES,,00000000,MI,CORN,26,"MICHIGAN, NORTHWEST, BENZIE",FIELD CROPS,00,ALL PRODUCTION PRACTICES,YEAR,SURVEY,BENZIE,ALL CLASSES,NOT SPECIFIED,BU / ACRE,26
TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,NORTHWEST,1992,CROPS,,ANNUAL,00,,GRAIN,2012-01-01 00:00:00.000,20,58.7,YIELD,MICHIGAN,029,,COUNTY,,9000,029,UNITED STATES,,00000000,MI,CORN,26,"MICHIGAN, NORTHWEST, CHARLEVOIX",FIELD CROPS,00,ALL PRODUCTION PRACTICES,YEAR,SURVEY,CHARLEVOIX,ALL CLASSES,NOT SPECIFIED,BU / ACRE,26
TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,NORTHWEST,1992,CROPS,,ANNUAL,00,,GRAIN,2012-01-01 00:00:00.000,20,55,YIELD,MICHIGAN,047,,COUNTY,,9000,047,UNITED STATES,,00000000,MI,CORN,26,"MICHIGAN, NORTHWEST, EMMET",FIELD CROPS,00,ALL PRODUCTION PRACTICES,YEAR,SURVEY,EMMET,ALL CLASSES,NOT SPECIFIED,BU / ACRE,26
