prodn_practice_desc,end_code,group_desc,location_desc,unit_desc,state_fips_code,domaincat_desc,reference_period_desc,county_name,source_desc,class_desc,watershed_code,watershed_desc,country_name,county_code,state_ansi,state_alpha,commodity_desc,Value,asd_code,load_time,util_practice_desc,country_code,CV (%),week_ending,agg_level_desc,statisticcat_desc,state_name,county_ansi,asd_desc,year,sector_desc,region_desc,short_desc,domain_desc,zip_5,begin_code,freq_desc,congr_district_code
ALL PRODUCTION PRACTICES,00,FIELD CROPS,"MICHIGAN, UPPER PENINSULA, OTHER (COMBINED) COUNTIES",BU / ACRE,26,NOT SPECIFIED,YEAR,OTHER (COMBINED) COUNTIES,SURVEY,ALL CLASSES,00000000,,UNITED STATES,998,26,MI,CORN,50,10,2012-01-01 00:00:00.000,GRAIN,9000,,,COUNTY,YIELD,MICHIGAN,,UPPER PENINSULA,1993,CROPS,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,00,ANNUAL,
ALL PRODUCTION PRACTICES,00,FIELD CROPS,"MICHIGAN, UPPER PENINSULA, DELTA",BU / ACRE,26,NOT SPECIFIED,YEAR,DELTA,SURVEY,ALL CLASSES,00000000,,UNITED STATES,041,26,MI,CORN,42.5,10,2012-01-01 00:00:00.000,GRAIN,9000,,,COUNTY,YIELD,MICHIGAN,041,UPPER PENINSULA,1993,CROPS,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,00,ANNUAL,
ALL PRODUCTION PRACTICES,00,FIELD CROPS,"MICHIGAN, UPPER PENINSULA, DICKINSON",BU / ACRE,26,NOT SPECIFIED,YEAR,DICKINSON,SURVEY,ALL CLASSES,00000000,,UNITED STATES,043,26,MI,CORN,59.5,10,2012-01-01 00:00:00.000,GRAIN,9000,,,COUNTY,YIELD,MICHIGAN,043,UPPER PENINSULA,1993,CROPS,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,00,ANNUAL,
ALL PRODUCTION PRACTICES,00,FIELD CROPS,"MICHIGAN, UPPER PENINSULA, MACKINAC",BU / ACRE,26,NOT SPECIFIED,YEAR,MACKINAC,SURVEY,ALL CLASSES,00000000,,UNITED STATES,097,26,MI,CORN,50,10,2012-01-01 00:00:00.000,GRAIN,9000,,,COUNTY,YIELD,MICHIGAN,097,UPPER PENINSULA,1993,CROPS,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,00,ANNUAL,
ALL PRODUCTION PRACTICES,00,FIELD CROPS,"MICHIGAN, UPPER PENINSULA, MARQUETTE",BU / ACRE,26,NOT SPECIFIED,YEAR,MARQUETTE,SURVEY,ALL CLASSES,00000000,,UNITED STATES,103,26,MI,CORN,50,10,2012-01-01 00:00:00.000,GRAIN,9000,,,COUNTY,YIELD,MICHIGAN,103,UPPER PENINSULA,1993,CROPS,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,00,ANNUAL,
ALL PRODUCTION PRACTICES,00,FIELD CROPS,"MICHIGAN, UPPER PENINSULA, MENOMINEE",BU / ACRE,26,NOT SPECIFIED,YEAR,MENOMINEE,SURVEY,ALL CLASSES,00000000,,UNITED STATES,109,26,MI,CORN,54.8,10,2012-01-01 00:00:00.000,GRAIN,9000,,,COUNTY,YIELD,MICHIGAN,109,UPPER PENINSULA,1993,CROPS,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,00,ANNUAL,
ALL PRODUCTION PRACTICES,00,FIELD CROPS,"MICHIGAN, NORTHWEST, ANTRIM",BU / ACRE,26,NOT SPECIFIED,YEAR,ANTRIM,SURVEY,ALL CLASSES,00000000,,UNITED STATES,009,26,MI,CORN,75,20,2012-01-01 00:00:00.000,GRAIN,9000,,,COUNTY,YIELD,MICHIGAN,009,NORTHWEST,1993,CROPS,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,00,ANNUAL,
ALL PRODUCTION PRACTICES,00,FIELD CROPS,"MICHIGAN, NORTHWEST, BENZIE",BU / ACRE,26,NOT SPECIFIED,YEAR,BENZIE,SURVEY,ALL CLASSES,00000000,,UNITED STATES,019,26,MI,CORN,75,20,2012-01-01 00:00:00.000,GRAIN,9000,,,COUNTY,YIELD,MICHIGAN,019,NORTHWEST,1993,CROPS,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,00,ANNUAL,
ALL PRODUCTION PRACTICES,00,FIELD CROPS,"MICHIGAN, NORTHWEST, CHARLEVOIX",BU / ACRE,26,NOT SPECIFIED,YEAR,CHARLEVOIX,SURVEY,ALL CLASSES,00000000,,UNITED STATES,029,26,MI,CORN,70.8,20,2012-01-01 00:00:00.000,GRAIN,9000,,,COUNTY,YIELD,MICHIGAN,029,NORTHWEST,1993,CROPS,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,00,ANNUAL,
ALL PRODUCTION PRACTICES,00,FIELD CROPS,"MICHIGAN, NORTHWEST, EMMET",BU / ACRE,26,NOT SPECIFIED,YEAR,EMMET,SURVEY,ALL CLASSES,00000000,,UNITED STATES,047,26,MI,CORN,71.4,20,2012-01-01 00:00:00.000,GRAIN,9000,,,COUNTY,YIELD,MICHIGAN,047,NORTHWEST,1993,CROPS,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,00,ANNUAL,
