county_code,country_code,zip_5,statisticcat_desc,location_desc,county_name,sector_desc,watershed_desc,domaincat_desc,country_name,year,county_ansi,util_practice_desc,week_ending,agg_level_desc,region_desc,congr_district_code,Value,domain_desc,freq_desc,class_desc,group_desc,load_time,state_ansi,end_code,prodn_practice_desc,state_alpha,source_desc,unit_desc,CV (%),begin_code,asd_desc,commodity_desc,short_desc,asd_code,state_name,state_fips_code,reference_period_desc,watershed_code
998,9000,,YIELD,"MICHIGAN, UPPER PENINSULA, OTHER (COMBINED) COUNTIES",OTHER (COMBINED) COUNTIES,CROPS,,NOT SPECIFIED,UNITED STATES,1994,,GRAIN,,COUNTY,,,67,TOTAL,ANNUAL,ALL CLASSES,FIELD CROPS,2012-01-01 00:00:00.000,26,00,ALL PRODUCTION PRACTICES,MI,SURVEY,BU / ACRE,,00,UPPER PENINSULA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",10,MICHIGAN,26,YEAR,00000000
041,9000,,YIELD,"MICHIGAN, UPPER PENINSULA, DELTA",DELTA,CROPS,,NOT SPECIFIED,UNITED STATES,1994,041,GRAIN,,COUNTY,,,81,TOTAL,ANNUAL,ALL CLASSES,FIELD CROPS,2012-01-01 00:00:00.000,26,00,ALL PRODUCTION PRACTICES,MI,SURVEY,BU / ACRE,,00,UPPER PENINSULA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",10,MICHIGAN,26,YEAR,00000000
043,9000,,YIELD,"MICHIGAN, UPPER PENINSULA, DICKINSON",DICKINSON,CROPS,,NOT SPECIFIED,UNITED STATES,1994,043,GRAIN,,COUNTY,,,83,TOTAL,ANNUAL,ALL CLASSES,FIELD CROPS,2012-01-01 00:00:00.000,26,00,ALL PRODUCTION PRACTICES,MI,SURVEY,BU / ACRE,,00,UPPER PENINSULA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",10,MICHIGAN,26,YEAR,00000000
103,9000,,YIELD,"MICHIGAN, UPPER PENINSULA, MARQUETTE",MARQUETTE,CROPS,,NOT SPECIFIED,UNITED STATES,1994,103,GRAIN,,COUNTY,,,50,TOTAL,ANNUAL,ALL CLASSES,FIELD CROPS,2012-01-01 00:00:00.000,26,00,ALL PRODUCTION PRACTICES,MI,SURVEY,BU / ACRE,,00,UPPER PENINSULA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",10,MICHIGAN,26,YEAR,00000000
109,9000,,YIELD,"MICHIGAN, UPPER PENINSULA, MENOMINEE",MENOMINEE,CROPS,,NOT SPECIFIED,UNITED STATES,1994,109,GRAIN,,COUNTY,,,86,TOTAL,ANNUAL,ALL CLASSES,FIELD CROPS,2012-01-01 00:00:00.000,26,00,ALL PRODUCTION PRACTICES,MI,SURVEY,BU / ACRE,,00,UPPER PENINSULA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",10,MICHIGAN,26,YEAR,00000000
009,9000,,YIELD,"MICHIGAN, NORTHWEST, ANTRIM",ANTRIM,CROPS,,NOT SPECIFIED,UNITED STATES,1994,009,GRAIN,,COUNTY,,,102,TOTAL,ANNUAL,ALL CLASSES,FIELD CROPS,2012-01-01 00:00:00.000,26,00,ALL PRODUCTION PRACTICES,MI,SURVEY,BU / ACRE,,00,NORTHWEST,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",20,MICHIGAN,26,YEAR,00000000
019,9000,,YIELD,"MICHIGAN, NORTHWEST, BENZIE",BENZIE,CROPS,,NOT SPECIFIED,UNITED STATES,1994,019,GRAIN,,COUNTY,,,100,TOTAL,ANNUAL,ALL CLASSES,FIELD CROPS,2012-01-01 00:00:00.000,26,00,ALL PRODUCTION PRACTICES,MI,SURVEY,BU / ACRE,,00,NORTHWEST,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",20,MICHIGAN,26,YEAR,00000000
029,9000,,YIELD,"MICHIGAN, NORTHWEST, CHARLEVOIX",CHARLEVOIX,CROPS,,NOT SPECIFIED,UNITED STATES,1994,029,GRAIN,,COUNTY,,,107,TOTAL,ANNUAL,ALL CLASSES,FIELD CROPS,2012-01-01 00:00:00.000,26,00,ALL PRODUCTION PRACTICES,MI,SURVEY,BU / ACRE,,00,NORTHWEST,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",20,MICHIGAN,26,YEAR,00000000
047,9000,,YIELD,"MICHIGAN, NORTHWEST, EMMET",EMMET,CROPS,,NOT SPECIFIED,UNITED STATES,1994,047,GRAIN,,COUNTY,,,105,TOTAL,ANNUAL,ALL CLASSES,FIELD CROPS,2012-01-01 00:00:00.000,26,00,ALL PRODUCTION PRACTICES,MI,SURVEY,BU / ACRE,,00,NORTHWEST,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",20,MICHIGAN,26,YEAR,00000000
055,9000,,YIELD,"MICHIGAN, NORTHWEST, GRAND TRAVERSE",GRAND TRAVERSE,CROPS,,NOT SPECIFIED,UNITED STATES,1994,055,GRAIN,,COUNTY,,,111,TOTAL,ANNUAL,ALL CLASSES,FIELD CROPS,2012-01-01 00:00:00.000,26,00,ALL PRODUCTION PRACTICES,MI,SURVEY,BU / ACRE,,00,NORTHWEST,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",20,MICHIGAN,26,YEAR,00000000
