CV (%),unit_desc,source_desc,state_alpha,state_ansi,prodn_practice_desc,end_code,load_time,state_fips_code,reference_period_desc,watershed_code,state_name,asd_code,short_desc,asd_desc,commodity_desc,begin_code,sector_desc,county_name,location_desc,statisticcat_desc,zip_5,country_code,county_code,group_desc,freq_desc,domain_desc,class_desc,region_desc,Value,congr_district_code,year,util_practice_desc,county_ansi,week_ending,agg_level_desc,country_name,domaincat_desc,watershed_desc
,BU / ACRE,SURVEY,MI,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,26,YEAR,00000000,MICHIGAN,10,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UPPER PENINSULA,CORN,00,CROPS,OTHER (COMBINED) COUNTIES,"MICHIGAN, UPPER PENINSULA, OTHER (COMBINED) COUNTIES",YIELD,,9000,998,FIELD CROPS,ANNUAL,TOTAL,ALL CLASSES,,80,,1995,GRAIN,,,COUNTY,UNITED STATES,NOT SPECIFIED,
,BU / ACRE,SURVEY,MI,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,26,YEAR,00000000,MICHIGAN,10,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UPPER PENINSULA,CORN,00,CROPS,DELTA,"MICHIGAN, UPPER PENINSULA, DELTA",YIELD,,9000,041,FIELD CROPS,ANNUAL,TOTAL,ALL CLASSES,,81,,1995,GRAIN,041,,COUNTY,UNITED STATES,NOT SPECIFIED,
,BU / ACRE,SURVEY,MI,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,26,YEAR,00000000,MICHIGAN,10,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UPPER PENINSULA,CORN,00,CROPS,DICKINSON,"MICHIGAN, UPPER PENINSULA, DICKINSON",YIELD,,9000,043,FIELD CROPS,ANNUAL,TOTAL,ALL CLASSES,,111,,1995,GRAIN,043,,COUNTY,UNITED STATES,NOT SPECIFIED,
,BU / ACRE,SURVEY,MI,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,26,YEAR,00000000,MICHIGAN,10,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UPPER PENINSULA,CORN,00,CROPS,MARQUETTE,"MICHIGAN, UPPER PENINSULA, MARQUETTE",YIELD,,9000,103,FIELD CROPS,ANNUAL,TOTAL,ALL CLASSES,,73,,1995,GRAIN,103,,COUNTY,UNITED STATES,NOT SPECIFIED,
,BU / ACRE,SURVEY,MI,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,26,YEAR,00000000,MICHIGAN,10,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UPPER PENINSULA,CORN,00,CROPS,MENOMINEE,"MICHIGAN, UPPER PENINSULA, MENOMINEE",YIELD,,9000,109,FIELD CROPS,ANNUAL,TOTAL,ALL CLASSES,,95,,1995,GRAIN,109,,COUNTY,UNITED STATES,NOT SPECIFIED,
,BU / ACRE,SURVEY,MI,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,26,YEAR,00000000,MICHIGAN,20,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",NORTHWEST,CORN,00,CROPS,ANTRIM,"MICHIGAN, NORTHWEST, ANTRIM",YIELD,,9000,009,FIELD CROPS,ANNUAL,TOTAL,ALL CLASSES,,116,,1995,GRAIN,009,,COUNTY,UNITED STATES,NOT SPECIFIED,
,BU / ACRE,SURVEY,MI,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,26,YEAR,00000000,MICHIGAN,20,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",NORTHWEST,CORN,00,CROPS,BENZIE,"MICHIGAN, NORTHWEST, BENZIE",YIELD,,9000,019,FIELD CROPS,ANNUAL,TOTAL,ALL CLASSES,,82,,1995,GRAIN,019,,COUNTY,UNITED STATES,NOT SPECIFIED,
,BU / ACRE,SURVEY,MI,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,26,YEAR,00000000,MICHIGAN,20,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",NORTHWEST,CORN,00,CROPS,CHARLEVOIX,"MICHIGAN, NORTHWEST, CHARLEVOIX",YIELD,,9000,029,FIELD CROPS,ANNUAL,TOTAL,ALL CLASSES,,83,,1995,GRAIN,029,,COUNTY,UNITED STATES,NOT SPECIFIED,
,BU / ACRE,SURVEY,MI,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,26,YEAR,00000000,MICHIGAN,20,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",NORTHWEST,CORN,00,CROPS,EMMET,"MICHIGAN, NORTHWEST, EMMET",YIELD,,9000,047,FIELD CROPS,ANNUAL,TOTAL,ALL CLASSES,,105,,1995,GRAIN,047,,COUNTY,UNITED STATES,NOT SPECIFIED,
,BU / ACRE,SURVEY,MI,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,26,YEAR,00000000,MICHIGAN,20,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",NORTHWEST,CORN,00,CROPS,GRAND TRAVERSE,"MICHIGAN, NORTHWEST, GRAND TRAVERSE",YIELD,,9000,055,FIELD CROPS,ANNUAL,TOTAL,ALL CLASSES,,100,,1995,GRAIN,055,,COUNTY,UNITED STATES,NOT SPECIFIED,
