domaincat_desc,unit_desc,state_fips_code,reference_period_desc,county_name,class_desc,source_desc,group_desc,end_code,prodn_practice_desc,location_desc,state_alpha,commodity_desc,state_ansi,watershed_desc,watershed_code,county_code,country_name,CV (%),week_ending,agg_level_desc,country_code,state_name,county_ansi,statisticcat_desc,asd_code,Value,util_practice_desc,load_time,freq_desc,zip_5,begin_code,congr_district_code,asd_desc,year,sector_desc,domain_desc,short_desc,region_desc
NOT SPECIFIED,BU / ACRE,26,YEAR,OTHER (COMBINED) COUNTIES,ALL CLASSES,SURVEY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,"MICHIGAN, UPPER PENINSULA, OTHER (COMBINED) COUNTIES",MI,CORN,26,,00000000,998,UNITED STATES,,,COUNTY,9000,MICHIGAN,,YIELD,10,55,GRAIN,2012-01-01 00:00:00.000,ANNUAL,,00,,UPPER PENINSULA,1996,CROPS,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",
NOT SPECIFIED,BU / ACRE,26,YEAR,DELTA,ALL CLASSES,SURVEY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,"MICHIGAN, UPPER PENINSULA, DELTA",MI,CORN,26,,00000000,041,UNITED STATES,,,COUNTY,9000,MICHIGAN,041,YIELD,10,67,GRAIN,2012-01-01 00:00:00.000,ANNUAL,,00,,UPPER PENINSULA,1996,CROPS,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",
NOT SPECIFIED,BU / ACRE,26,YEAR,DICKINSON,ALL CLASSES,SURVEY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,"MICHIGAN, UPPER PENINSULA, DICKINSON",MI,CORN,26,,00000000,043,UNITED STATES,,,COUNTY,9000,MICHIGAN,043,YIELD,10,88,GRAIN,2012-01-01 00:00:00.000,ANNUAL,,00,,UPPER PENINSULA,1996,CROPS,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",
NOT SPECIFIED,BU / ACRE,26,YEAR,MENOMINEE,ALL CLASSES,SURVEY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,"MICHIGAN, UPPER PENINSULA, MENOMINEE",MI,CORN,26,,00000000,109,UNITED STATES,,,COUNTY,9000,MICHIGAN,109,YIELD,10,75,GRAIN,2012-01-01 00:00:00.000,ANNUAL,,00,,UPPER PENINSULA,1996,CROPS,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",
NOT SPECIFIED,BU / ACRE,26,YEAR,OTHER (COMBINED) COUNTIES,ALL CLASSES,SURVEY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,"MICHIGAN, NORTHWEST, OTHER (COMBINED) COUNTIES",MI,CORN,26,,00000000,998,UNITED STATES,,,COUNTY,9000,MICHIGAN,,YIELD,20,58,GRAIN,2012-01-01 00:00:00.000,ANNUAL,,00,,NORTHWEST,1996,CROPS,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",
NOT SPECIFIED,BU / ACRE,26,YEAR,ANTRIM,ALL CLASSES,SURVEY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,"MICHIGAN, NORTHWEST, ANTRIM",MI,CORN,26,,00000000,009,UNITED STATES,,,COUNTY,9000,MICHIGAN,009,YIELD,20,92,GRAIN,2012-01-01 00:00:00.000,ANNUAL,,00,,NORTHWEST,1996,CROPS,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",
NOT SPECIFIED,BU / ACRE,26,YEAR,CHARLEVOIX,ALL CLASSES,SURVEY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,"MICHIGAN, NORTHWEST, CHARLEVOIX",MI,CORN,26,,00000000,029,UNITED STATES,,,COUNTY,9000,MICHIGAN,029,YIELD,20,90,GRAIN,2012-01-01 00:00:00.000,ANNUAL,,00,,NORTHWEST,1996,CROPS,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",
NOT SPECIFIED,BU / ACRE,26,YEAR,EMMET,ALL CLASSES,SURVEY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,"MICHIGAN, NORTHWEST, EMMET",MI,CORN,26,,00000000,047,UNITED STATES,,,COUNTY,9000,MICHIGAN,047,YIELD,20,69,GRAIN,2012-01-01 00:00:00.000,ANNUAL,,00,,NORTHWEST,1996,CROPS,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",
NOT SPECIFIED,BU / ACRE,26,YEAR,GRAND TRAVERSE,ALL CLASSES,SURVEY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,"MICHIGAN, NORTHWEST, GRAND TRAVERSE",MI,CORN,26,,00000000,055,UNITED STATES,,,COUNTY,9000,MICHIGAN,055,YIELD,20,90,GRAIN,2012-01-01 00:00:00.000,ANNUAL,,00,,NORTHWEST,1996,CROPS,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",
NOT SPECIFIED,BU / ACRE,26,YEAR,LEELANAU,ALL CLASSES,SURVEY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,"MICHIGAN, NORTHWEST, LEELANAU",MI,CORN,26,,00000000,089,UNITED STATES,,,COUNTY,9000,MICHIGAN,089,YIELD,20,69,GRAIN,2012-01-01 00:00:00.000,ANNUAL,,00,,NORTHWEST,1996,CROPS,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",
