region_desc,congr_district_code,county_ansi,source_desc,watershed_desc,week_ending,short_desc,group_desc,state_fips_code,Value,location_desc,unit_desc,state_name,domaincat_desc,load_time,freq_desc,end_code,class_desc,CV (%),commodity_desc,country_code,state_ansi,state_alpha,agg_level_desc,statisticcat_desc,reference_period_desc,country_name,util_practice_desc,begin_code,asd_desc,sector_desc,asd_code,zip_5,watershed_code,year,domain_desc,county_name,county_code,prodn_practice_desc
,,,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,69,"MICHIGAN, UPPER PENINSULA, OTHER (COMBINED) COUNTIES",BU / ACRE,MICHIGAN,NOT SPECIFIED,2012-01-01 00:00:00.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,GRAIN,00,UPPER PENINSULA,CROPS,10,,00000000,1998,TOTAL,OTHER (COMBINED) COUNTIES,998,ALL PRODUCTION PRACTICES
,,041,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,55,"MICHIGAN, UPPER PENINSULA, DELTA",BU / ACRE,MICHIGAN,NOT SPECIFIED,2012-01-01 00:00:00.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,GRAIN,00,UPPER PENINSULA,CROPS,10,,00000000,1998,TOTAL,DELTA,041,ALL PRODUCTION PRACTICES
,,043,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,87,"MICHIGAN, UPPER PENINSULA, DICKINSON",BU / ACRE,MICHIGAN,NOT SPECIFIED,2012-01-01 00:00:00.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,GRAIN,00,UPPER PENINSULA,CROPS,10,,00000000,1998,TOTAL,DICKINSON,043,ALL PRODUCTION PRACTICES
,,109,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,93,"MICHIGAN, UPPER PENINSULA, MENOMINEE",BU / ACRE,MICHIGAN,NOT SPECIFIED,2012-01-01 00:00:00.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,GRAIN,00,UPPER PENINSULA,CROPS,10,,00000000,1998,TOTAL,MENOMINEE,109,ALL PRODUCTION PRACTICES
,,009,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,100,"MICHIGAN, NORTHWEST, ANTRIM",BU / ACRE,MICHIGAN,NOT SPECIFIED,2012-01-01 00:00:00.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,GRAIN,00,NORTHWEST,CROPS,20,,00000000,1998,TOTAL,ANTRIM,009,ALL PRODUCTION PRACTICES
,,019,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,71,"MICHIGAN, NORTHWEST, BENZIE",BU / ACRE,MICHIGAN,NOT SPECIFIED,2012-01-01 00:00:00.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,GRAIN,00,NORTHWEST,CROPS,20,,00000000,1998,TOTAL,BENZIE,019,ALL PRODUCTION PRACTICES
,,029,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,93,"MICHIGAN, NORTHWEST, CHARLEVOIX",BU / ACRE,MICHIGAN,NOT SPECIFIED,2012-01-01 00:00:00.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,GRAIN,00,NORTHWEST,CROPS,20,,00000000,1998,TOTAL,CHARLEVOIX,029,ALL PRODUCTION PRACTICES
,,047,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,89,"MICHIGAN, NORTHWEST, EMMET",BU / ACRE,MICHIGAN,NOT SPECIFIED,2012-01-01 00:00:00.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,GRAIN,00,NORTHWEST,CROPS,20,,00000000,1998,TOTAL,EMMET,047,ALL PRODUCTION PRACTICES
,,055,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,77,"MICHIGAN, NORTHWEST, GRAND TRAVERSE",BU / ACRE,MICHIGAN,NOT SPECIFIED,2012-01-01 00:00:00.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,GRAIN,00,NORTHWEST,CROPS,20,,00000000,1998,TOTAL,GRAND TRAVERSE,055,ALL PRODUCTION PRACTICES
,,079,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,75,"MICHIGAN, NORTHWEST, KALKASKA",BU / ACRE,MICHIGAN,NOT SPECIFIED,2012-01-01 00:00:00.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,GRAIN,00,NORTHWEST,CROPS,20,,00000000,1998,TOTAL,KALKASKA,079,ALL PRODUCTION PRACTICES
