sector_desc,prodn_practice_desc,state_ansi,domain_desc,zip_5,commodity_desc,region_desc,country_name,begin_code,class_desc,location_desc,CV (%),congr_district_code,asd_code,state_alpha,domaincat_desc,source_desc,watershed_desc,county_code,short_desc,country_code,statisticcat_desc,load_time,county_ansi,county_name,state_fips_code,reference_period_desc,end_code,group_desc,unit_desc,util_practice_desc,Value,watershed_code,state_name,freq_desc,year,week_ending,asd_desc,agg_level_desc
CROPS,ALL PRODUCTION PRACTICES,26,TOTAL,,CORN,,UNITED STATES,00,ALL CLASSES,"MICHIGAN, UPPER PENINSULA, OTHER (COMBINED) COUNTIES",,,10,MI,NOT SPECIFIED,SURVEY,,998,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",9000,YIELD,2012-01-01 00:00:00.000,,OTHER (COMBINED) COUNTIES,26,YEAR,00,FIELD CROPS,BU / ACRE,GRAIN,106,00000000,MICHIGAN,ANNUAL,1999,,UPPER PENINSULA,COUNTY
CROPS,ALL PRODUCTION PRACTICES,26,TOTAL,,CORN,,UNITED STATES,00,ALL CLASSES,"MICHIGAN, UPPER PENINSULA, DELTA",,,10,MI,NOT SPECIFIED,SURVEY,,041,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",9000,YIELD,2012-01-01 00:00:00.000,041,DELTA,26,YEAR,00,FIELD CROPS,BU / ACRE,GRAIN,111,00000000,MICHIGAN,ANNUAL,1999,,UPPER PENINSULA,COUNTY
CROPS,ALL PRODUCTION PRACTICES,26,TOTAL,,CORN,,UNITED STATES,00,ALL CLASSES,"MICHIGAN, UPPER PENINSULA, MENOMINEE",,,10,MI,NOT SPECIFIED,SURVEY,,109,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",9000,YIELD,2012-01-01 00:00:00.000,109,MENOMINEE,26,YEAR,00,FIELD CROPS,BU / ACRE,GRAIN,112,00000000,MICHIGAN,ANNUAL,1999,,UPPER PENINSULA,COUNTY
CROPS,ALL PRODUCTION PRACTICES,26,TOTAL,,CORN,,UNITED STATES,00,ALL CLASSES,"MICHIGAN, NORTHWEST, OTHER (COMBINED) COUNTIES",,,20,MI,NOT SPECIFIED,SURVEY,,998,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",9000,YIELD,2012-01-01 00:00:00.000,,OTHER (COMBINED) COUNTIES,26,YEAR,00,FIELD CROPS,BU / ACRE,GRAIN,88,00000000,MICHIGAN,ANNUAL,1999,,NORTHWEST,COUNTY
CROPS,ALL PRODUCTION PRACTICES,26,TOTAL,,CORN,,UNITED STATES,00,ALL CLASSES,"MICHIGAN, NORTHWEST, ANTRIM",,,20,MI,NOT SPECIFIED,SURVEY,,009,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",9000,YIELD,2012-01-01 00:00:00.000,009,ANTRIM,26,YEAR,00,FIELD CROPS,BU / ACRE,GRAIN,123,00000000,MICHIGAN,ANNUAL,1999,,NORTHWEST,COUNTY
CROPS,ALL PRODUCTION PRACTICES,26,TOTAL,,CORN,,UNITED STATES,00,ALL CLASSES,"MICHIGAN, NORTHWEST, CHARLEVOIX",,,20,MI,NOT SPECIFIED,SURVEY,,029,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",9000,YIELD,2012-01-01 00:00:00.000,029,CHARLEVOIX,26,YEAR,00,FIELD CROPS,BU / ACRE,GRAIN,111,00000000,MICHIGAN,ANNUAL,1999,,NORTHWEST,COUNTY
CROPS,ALL PRODUCTION PRACTICES,26,TOTAL,,CORN,,UNITED STATES,00,ALL CLASSES,"MICHIGAN, NORTHWEST, EMMET",,,20,MI,NOT SPECIFIED,SURVEY,,047,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",9000,YIELD,2012-01-01 00:00:00.000,047,EMMET,26,YEAR,00,FIELD CROPS,BU / ACRE,GRAIN,111,00000000,MICHIGAN,ANNUAL,1999,,NORTHWEST,COUNTY
CROPS,ALL PRODUCTION PRACTICES,26,TOTAL,,CORN,,UNITED STATES,00,ALL CLASSES,"MICHIGAN, NORTHWEST, GRAND TRAVERSE",,,20,MI,NOT SPECIFIED,SURVEY,,055,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",9000,YIELD,2012-01-01 00:00:00.000,055,GRAND TRAVERSE,26,YEAR,00,FIELD CROPS,BU / ACRE,GRAIN,120,00000000,MICHIGAN,ANNUAL,1999,,NORTHWEST,COUNTY
CROPS,ALL PRODUCTION PRACTICES,26,TOTAL,,CORN,,UNITED STATES,00,ALL CLASSES,"MICHIGAN, NORTHWEST, KALKASKA",,,20,MI,NOT SPECIFIED,SURVEY,,079,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",9000,YIELD,2012-01-01 00:00:00.000,079,KALKASKA,26,YEAR,00,FIELD CROPS,BU / ACRE,GRAIN,109,00000000,MICHIGAN,ANNUAL,1999,,NORTHWEST,COUNTY
CROPS,ALL PRODUCTION PRACTICES,26,TOTAL,,CORN,,UNITED STATES,00,ALL CLASSES,"MICHIGAN, NORTHWEST, LEELANAU",,,20,MI,NOT SPECIFIED,SURVEY,,089,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",9000,YIELD,2012-01-01 00:00:00.000,089,LEELANAU,26,YEAR,00,FIELD CROPS,BU / ACRE,GRAIN,103,00000000,MICHIGAN,ANNUAL,1999,,NORTHWEST,COUNTY
