source_desc,county_ansi,congr_district_code,region_desc,week_ending,short_desc,watershed_desc,load_time,freq_desc,domaincat_desc,state_name,unit_desc,state_fips_code,group_desc,location_desc,Value,country_code,commodity_desc,CV (%),end_code,class_desc,statisticcat_desc,reference_period_desc,country_name,agg_level_desc,state_alpha,state_ansi,sector_desc,asd_code,asd_desc,util_practice_desc,begin_code,year,watershed_code,domain_desc,zip_5,prodn_practice_desc,county_name,county_code
SURVEY,,,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,2012-01-01 00:00:00.000,ANNUAL,NOT SPECIFIED,MICHIGAN,BU / ACRE,26,FIELD CROPS,"MICHIGAN, UPPER PENINSULA, OTHER (COMBINED) COUNTIES",105,9000,CORN,,00,ALL CLASSES,YIELD,YEAR,UNITED STATES,COUNTY,MI,26,CROPS,10,UPPER PENINSULA,GRAIN,00,2000,00000000,TOTAL,,ALL PRODUCTION PRACTICES,OTHER (COMBINED) COUNTIES,998
SURVEY,,,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,2012-01-01 00:00:00.000,ANNUAL,NOT SPECIFIED,MICHIGAN,BU / ACRE,26,FIELD CROPS,"MICHIGAN, NORTHWEST, OTHER (COMBINED) COUNTIES",88,9000,CORN,,00,ALL CLASSES,YIELD,YEAR,UNITED STATES,COUNTY,MI,26,CROPS,20,NORTHWEST,GRAIN,00,2000,00000000,TOTAL,,ALL PRODUCTION PRACTICES,OTHER (COMBINED) COUNTIES,998
SURVEY,055,,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,2012-01-01 00:00:00.000,ANNUAL,NOT SPECIFIED,MICHIGAN,BU / ACRE,26,FIELD CROPS,"MICHIGAN, NORTHWEST, GRAND TRAVERSE",86,9000,CORN,,00,ALL CLASSES,YIELD,YEAR,UNITED STATES,COUNTY,MI,26,CROPS,20,NORTHWEST,GRAIN,00,2000,00000000,TOTAL,,ALL PRODUCTION PRACTICES,GRAND TRAVERSE,055
SURVEY,101,,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,2012-01-01 00:00:00.000,ANNUAL,NOT SPECIFIED,MICHIGAN,BU / ACRE,26,FIELD CROPS,"MICHIGAN, NORTHWEST, MANISTEE",80,9000,CORN,,00,ALL CLASSES,YIELD,YEAR,UNITED STATES,COUNTY,MI,26,CROPS,20,NORTHWEST,GRAIN,00,2000,00000000,TOTAL,,ALL PRODUCTION PRACTICES,MANISTEE,101
SURVEY,113,,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,2012-01-01 00:00:00.000,ANNUAL,NOT SPECIFIED,MICHIGAN,BU / ACRE,26,FIELD CROPS,"MICHIGAN, NORTHWEST, MISSAUKEE",121,9000,CORN,,00,ALL CLASSES,YIELD,YEAR,UNITED STATES,COUNTY,MI,26,CROPS,20,NORTHWEST,GRAIN,00,2000,00000000,TOTAL,,ALL PRODUCTION PRACTICES,MISSAUKEE,113
SURVEY,,,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,2012-01-01 00:00:00.000,ANNUAL,NOT SPECIFIED,MICHIGAN,BU / ACRE,26,FIELD CROPS,"MICHIGAN, NORTHEAST, OTHER (COMBINED) COUNTIES",105,9000,CORN,,00,ALL CLASSES,YIELD,YEAR,UNITED STATES,COUNTY,MI,26,CROPS,30,NORTHEAST,GRAIN,00,2000,00000000,TOTAL,,ALL PRODUCTION PRACTICES,OTHER (COMBINED) COUNTIES,998
SURVEY,007,,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,2012-01-01 00:00:00.000,ANNUAL,NOT SPECIFIED,MICHIGAN,BU / ACRE,26,FIELD CROPS,"MICHIGAN, NORTHEAST, ALPENA",97,9000,CORN,,00,ALL CLASSES,YIELD,YEAR,UNITED STATES,COUNTY,MI,26,CROPS,30,NORTHEAST,GRAIN,00,2000,00000000,TOTAL,,ALL PRODUCTION PRACTICES,ALPENA,007
SURVEY,119,,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,2012-01-01 00:00:00.000,ANNUAL,NOT SPECIFIED,MICHIGAN,BU / ACRE,26,FIELD CROPS,"MICHIGAN, NORTHEAST, MONTMORENCY",113,9000,CORN,,00,ALL CLASSES,YIELD,YEAR,UNITED STATES,COUNTY,MI,26,CROPS,30,NORTHEAST,GRAIN,00,2000,00000000,TOTAL,,ALL PRODUCTION PRACTICES,MONTMORENCY,119
SURVEY,129,,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,2012-01-01 00:00:00.000,ANNUAL,NOT SPECIFIED,MICHIGAN,BU / ACRE,26,FIELD CROPS,"MICHIGAN, NORTHEAST, OGEMAW",118,9000,CORN,,00,ALL CLASSES,YIELD,YEAR,UNITED STATES,COUNTY,MI,26,CROPS,30,NORTHEAST,GRAIN,00,2000,00000000,TOTAL,,ALL PRODUCTION PRACTICES,OGEMAW,129
SURVEY,,,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,2012-01-01 00:00:00.000,ANNUAL,NOT SPECIFIED,MICHIGAN,BU / ACRE,26,FIELD CROPS,"MICHIGAN, WEST CENTRAL, OTHER (COMBINED) COUNTIES",85,9000,CORN,,00,ALL CLASSES,YIELD,YEAR,UNITED STATES,COUNTY,MI,26,CROPS,40,WEST CENTRAL,GRAIN,00,2000,00000000,TOTAL,,ALL PRODUCTION PRACTICES,OTHER (COMBINED) COUNTIES,998
