unit_desc,asd_code,CV (%),country_name,state_ansi,agg_level_desc,county_ansi,asd_desc,location_desc,freq_desc,year,sector_desc,Value,region_desc,week_ending,domain_desc,statisticcat_desc,load_time,county_name,source_desc,watershed_desc,group_desc,reference_period_desc,domaincat_desc,commodity_desc,begin_code,class_desc,state_name,state_fips_code,country_code,county_code,watershed_code,short_desc,congr_district_code,zip_5,util_practice_desc,prodn_practice_desc,state_alpha,end_code
BU / ACRE,10,,UNITED STATES,26,COUNTY,,UPPER PENINSULA,"MICHIGAN, UPPER PENINSULA, OTHER (COMBINED) COUNTIES",ANNUAL,2001,CROPS,63,,,TOTAL,YIELD,2012-01-01 00:00:00.000,OTHER (COMBINED) COUNTIES,SURVEY,,FIELD CROPS,YEAR,NOT SPECIFIED,CORN,00,ALL CLASSES,MICHIGAN,26,9000,998,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,GRAIN,ALL PRODUCTION PRACTICES,MI,00
BU / ACRE,10,,UNITED STATES,26,COUNTY,041,UPPER PENINSULA,"MICHIGAN, UPPER PENINSULA, DELTA",ANNUAL,2001,CROPS,0,,,TOTAL,YIELD,2012-01-01 00:00:00.000,DELTA,SURVEY,,FIELD CROPS,YEAR,NOT SPECIFIED,CORN,00,ALL CLASSES,MICHIGAN,26,9000,041,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,GRAIN,ALL PRODUCTION PRACTICES,MI,00
BU / ACRE,10,,UNITED STATES,26,COUNTY,109,UPPER PENINSULA,"MICHIGAN, UPPER PENINSULA, MENOMINEE",ANNUAL,2001,CROPS,79,,,TOTAL,YIELD,2012-01-01 00:00:00.000,MENOMINEE,SURVEY,,FIELD CROPS,YEAR,NOT SPECIFIED,CORN,00,ALL CLASSES,MICHIGAN,26,9000,109,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,GRAIN,ALL PRODUCTION PRACTICES,MI,00
BU / ACRE,20,,UNITED STATES,26,COUNTY,,NORTHWEST,"MICHIGAN, NORTHWEST, OTHER (COMBINED) COUNTIES",ANNUAL,2001,CROPS,45,,,TOTAL,YIELD,2012-01-01 00:00:00.000,OTHER (COMBINED) COUNTIES,SURVEY,,FIELD CROPS,YEAR,NOT SPECIFIED,CORN,00,ALL CLASSES,MICHIGAN,26,9000,998,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,GRAIN,ALL PRODUCTION PRACTICES,MI,00
BU / ACRE,20,,UNITED STATES,26,COUNTY,009,NORTHWEST,"MICHIGAN, NORTHWEST, ANTRIM",ANNUAL,2001,CROPS,90,,,TOTAL,YIELD,2012-01-01 00:00:00.000,ANTRIM,SURVEY,,FIELD CROPS,YEAR,NOT SPECIFIED,CORN,00,ALL CLASSES,MICHIGAN,26,9000,009,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,GRAIN,ALL PRODUCTION PRACTICES,MI,00
BU / ACRE,20,,UNITED STATES,26,COUNTY,047,NORTHWEST,"MICHIGAN, NORTHWEST, EMMET",ANNUAL,2001,CROPS,84,,,TOTAL,YIELD,2012-01-01 00:00:00.000,EMMET,SURVEY,,FIELD CROPS,YEAR,NOT SPECIFIED,CORN,00,ALL CLASSES,MICHIGAN,26,9000,047,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,GRAIN,ALL PRODUCTION PRACTICES,MI,00
BU / ACRE,20,,UNITED STATES,26,COUNTY,055,NORTHWEST,"MICHIGAN, NORTHWEST, GRAND TRAVERSE",ANNUAL,2001,CROPS,46,,,TOTAL,YIELD,2012-01-01 00:00:00.000,GRAND TRAVERSE,SURVEY,,FIELD CROPS,YEAR,NOT SPECIFIED,CORN,00,ALL CLASSES,MICHIGAN,26,9000,055,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,GRAIN,ALL PRODUCTION PRACTICES,MI,00
BU / ACRE,20,,UNITED STATES,26,COUNTY,089,NORTHWEST,"MICHIGAN, NORTHWEST, LEELANAU",ANNUAL,2001,CROPS,36,,,TOTAL,YIELD,2012-01-01 00:00:00.000,LEELANAU,SURVEY,,FIELD CROPS,YEAR,NOT SPECIFIED,CORN,00,ALL CLASSES,MICHIGAN,26,9000,089,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,GRAIN,ALL PRODUCTION PRACTICES,MI,00
BU / ACRE,20,,UNITED STATES,26,COUNTY,113,NORTHWEST,"MICHIGAN, NORTHWEST, MISSAUKEE",ANNUAL,2001,CROPS,91,,,TOTAL,YIELD,2012-01-01 00:00:00.000,MISSAUKEE,SURVEY,,FIELD CROPS,YEAR,NOT SPECIFIED,CORN,00,ALL CLASSES,MICHIGAN,26,9000,113,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,GRAIN,ALL PRODUCTION PRACTICES,MI,00
BU / ACRE,20,,UNITED STATES,26,COUNTY,165,NORTHWEST,"MICHIGAN, NORTHWEST, WEXFORD",ANNUAL,2001,CROPS,86,,,TOTAL,YIELD,2012-01-01 00:00:00.000,WEXFORD,SURVEY,,FIELD CROPS,YEAR,NOT SPECIFIED,CORN,00,ALL CLASSES,MICHIGAN,26,9000,165,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,GRAIN,ALL PRODUCTION PRACTICES,MI,00
BU / ACRE,30,,UNITED STATES,26,COUNTY,,NORTHEAST,"MICHIGAN, NORTHEAST, OTHER (COMBINED) COUNTIES",ANNUAL,2001,CROPS,64,,,TOTAL,YIELD,2012-01-01 00:00:00.000,OTHER (COMBINED) COUNTIES,SURVEY,,FIELD CROPS,YEAR,NOT SPECIFIED,CORN,00,ALL CLASSES,MICHIGAN,26,9000,998,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,GRAIN,ALL PRODUCTION PRACTICES,MI,00
BU / ACRE,30,,UNITED STATES,26,COUNTY,007,NORTHEAST,"MICHIGAN, NORTHEAST, ALPENA",ANNUAL,2001,CROPS,48,,,TOTAL,YIELD,2012-01-01 00:00:00.000,ALPENA,SURVEY,,FIELD CROPS,YEAR,NOT SPECIFIED,CORN,00,ALL CLASSES,MICHIGAN,26,9000,007,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,GRAIN,ALL PRODUCTION PRACTICES,MI,00
BU / ACRE,30,,UNITED STATES,26,COUNTY,069,NORTHEAST,"MICHIGAN, NORTHEAST, IOSCO",ANNUAL,2001,CROPS,81,,,TOTAL,YIELD,2012-01-01 00:00:00.000,IOSCO,SURVEY,,FIELD CROPS,YEAR,NOT SPECIFIED,CORN,00,ALL CLASSES,MICHIGAN,26,9000,069,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,GRAIN,ALL PRODUCTION PRACTICES,MI,00
BU / ACRE,30,,UNITED STATES,26,COUNTY,119,NORTHEAST,"MICHIGAN, NORTHEAST, MONTMORENCY",ANNUAL,2001,CROPS,59,,,TOTAL,YIELD,2012-01-01 00:00:00.000,MONTMORENCY,SURVEY,,FIELD CROPS,YEAR,NOT SPECIFIED,CORN,00,ALL CLASSES,MICHIGAN,26,9000,119,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,GRAIN,ALL PRODUCTION PRACTICES,MI,00
