agg_level_desc,county_ansi,asd_desc,location_desc,freq_desc,unit_desc,asd_code,CV (%),country_name,state_ansi,week_ending,statisticcat_desc,domain_desc,load_time,county_name,source_desc,watershed_desc,year,sector_desc,Value,region_desc,commodity_desc,group_desc,reference_period_desc,domaincat_desc,short_desc,zip_5,congr_district_code,prodn_practice_desc,util_practice_desc,state_alpha,end_code,class_desc,begin_code,state_name,state_fips_code,county_code,country_code,watershed_code
COUNTY,,UPPER PENINSULA,"MICHIGAN, UPPER PENINSULA, OTHER (COMBINED) COUNTIES",ANNUAL,BU / ACRE,10,,UNITED STATES,26,,YIELD,TOTAL,2012-01-01 00:00:00.000,OTHER (COMBINED) COUNTIES,SURVEY,,2002,CROPS,112,,CORN,FIELD CROPS,YEAR,NOT SPECIFIED,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,ALL PRODUCTION PRACTICES,GRAIN,MI,00,ALL CLASSES,00,MICHIGAN,26,998,9000,00000000
COUNTY,041,UPPER PENINSULA,"MICHIGAN, UPPER PENINSULA, DELTA",ANNUAL,BU / ACRE,10,,UNITED STATES,26,,YIELD,TOTAL,2012-01-01 00:00:00.000,DELTA,SURVEY,,2002,CROPS,100,,CORN,FIELD CROPS,YEAR,NOT SPECIFIED,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,ALL PRODUCTION PRACTICES,GRAIN,MI,00,ALL CLASSES,00,MICHIGAN,26,041,9000,00000000
COUNTY,043,UPPER PENINSULA,"MICHIGAN, UPPER PENINSULA, DICKINSON",ANNUAL,BU / ACRE,10,,UNITED STATES,26,,YIELD,TOTAL,2012-01-01 00:00:00.000,DICKINSON,SURVEY,,2002,CROPS,0,,CORN,FIELD CROPS,YEAR,NOT SPECIFIED,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,ALL PRODUCTION PRACTICES,GRAIN,MI,00,ALL CLASSES,00,MICHIGAN,26,043,9000,00000000
COUNTY,103,UPPER PENINSULA,"MICHIGAN, UPPER PENINSULA, MARQUETTE",ANNUAL,BU / ACRE,10,,UNITED STATES,26,,YIELD,TOTAL,2012-01-01 00:00:00.000,MARQUETTE,SURVEY,,2002,CROPS,0,,CORN,FIELD CROPS,YEAR,NOT SPECIFIED,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,ALL PRODUCTION PRACTICES,GRAIN,MI,00,ALL CLASSES,00,MICHIGAN,26,103,9000,00000000
COUNTY,109,UPPER PENINSULA,"MICHIGAN, UPPER PENINSULA, MENOMINEE",ANNUAL,BU / ACRE,10,,UNITED STATES,26,,YIELD,TOTAL,2012-01-01 00:00:00.000,MENOMINEE,SURVEY,,2002,CROPS,113,,CORN,FIELD CROPS,YEAR,NOT SPECIFIED,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,ALL PRODUCTION PRACTICES,GRAIN,MI,00,ALL CLASSES,00,MICHIGAN,26,109,9000,00000000
COUNTY,009,NORTHWEST,"MICHIGAN, NORTHWEST, ANTRIM",ANNUAL,BU / ACRE,20,,UNITED STATES,26,,YIELD,TOTAL,2012-01-01 00:00:00.000,ANTRIM,SURVEY,,2002,CROPS,115,,CORN,FIELD CROPS,YEAR,NOT SPECIFIED,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,ALL PRODUCTION PRACTICES,GRAIN,MI,00,ALL CLASSES,00,MICHIGAN,26,009,9000,00000000
COUNTY,019,NORTHWEST,"MICHIGAN, NORTHWEST, BENZIE",ANNUAL,BU / ACRE,20,,UNITED STATES,26,,YIELD,TOTAL,2012-01-01 00:00:00.000,BENZIE,SURVEY,,2002,CROPS,88,,CORN,FIELD CROPS,YEAR,NOT SPECIFIED,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,ALL PRODUCTION PRACTICES,GRAIN,MI,00,ALL CLASSES,00,MICHIGAN,26,019,9000,00000000
COUNTY,029,NORTHWEST,"MICHIGAN, NORTHWEST, CHARLEVOIX",ANNUAL,BU / ACRE,20,,UNITED STATES,26,,YIELD,TOTAL,2012-01-01 00:00:00.000,CHARLEVOIX,SURVEY,,2002,CROPS,106,,CORN,FIELD CROPS,YEAR,NOT SPECIFIED,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,ALL PRODUCTION PRACTICES,GRAIN,MI,00,ALL CLASSES,00,MICHIGAN,26,029,9000,00000000
COUNTY,047,NORTHWEST,"MICHIGAN, NORTHWEST, EMMET",ANNUAL,BU / ACRE,20,,UNITED STATES,26,,YIELD,TOTAL,2012-01-01 00:00:00.000,EMMET,SURVEY,,2002,CROPS,100,,CORN,FIELD CROPS,YEAR,NOT SPECIFIED,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,ALL PRODUCTION PRACTICES,GRAIN,MI,00,ALL CLASSES,00,MICHIGAN,26,047,9000,00000000
COUNTY,055,NORTHWEST,"MICHIGAN, NORTHWEST, GRAND TRAVERSE",ANNUAL,BU / ACRE,20,,UNITED STATES,26,,YIELD,TOTAL,2012-01-01 00:00:00.000,GRAND TRAVERSE,SURVEY,,2002,CROPS,98,,CORN,FIELD CROPS,YEAR,NOT SPECIFIED,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,ALL PRODUCTION PRACTICES,GRAIN,MI,00,ALL CLASSES,00,MICHIGAN,26,055,9000,00000000
