sector_desc,asd_code,asd_desc,begin_code,util_practice_desc,statisticcat_desc,reference_period_desc,country_name,agg_level_desc,state_alpha,state_ansi,prodn_practice_desc,county_name,county_code,year,watershed_code,domain_desc,zip_5,week_ending,short_desc,watershed_desc,source_desc,county_ansi,congr_district_code,region_desc,country_code,CV (%),commodity_desc,end_code,class_desc,load_time,freq_desc,domaincat_desc,state_name,unit_desc,state_fips_code,group_desc,Value,location_desc
CROPS,10,UPPER PENINSULA,00,GRAIN,YIELD,YEAR,UNITED STATES,COUNTY,MI,26,ALL PRODUCTION PRACTICES,OTHER (COMBINED) COUNTIES,998,2003,00000000,TOTAL,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,,,,9000,,CORN,00,ALL CLASSES,2012-01-01 00:00:00.000,ANNUAL,NOT SPECIFIED,MICHIGAN,BU / ACRE,26,FIELD CROPS,67,"MICHIGAN, UPPER PENINSULA, OTHER (COMBINED) COUNTIES"
CROPS,10,UPPER PENINSULA,00,GRAIN,YIELD,YEAR,UNITED STATES,COUNTY,MI,26,ALL PRODUCTION PRACTICES,DELTA,041,2003,00000000,TOTAL,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,041,,,9000,,CORN,00,ALL CLASSES,2012-01-01 00:00:00.000,ANNUAL,NOT SPECIFIED,MICHIGAN,BU / ACRE,26,FIELD CROPS,61,"MICHIGAN, UPPER PENINSULA, DELTA"
CROPS,10,UPPER PENINSULA,00,GRAIN,YIELD,YEAR,UNITED STATES,COUNTY,MI,26,ALL PRODUCTION PRACTICES,DICKINSON,043,2003,00000000,TOTAL,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,043,,,9000,,CORN,00,ALL CLASSES,2012-01-01 00:00:00.000,ANNUAL,NOT SPECIFIED,MICHIGAN,BU / ACRE,26,FIELD CROPS,0,"MICHIGAN, UPPER PENINSULA, DICKINSON"
CROPS,10,UPPER PENINSULA,00,GRAIN,YIELD,YEAR,UNITED STATES,COUNTY,MI,26,ALL PRODUCTION PRACTICES,MENOMINEE,109,2003,00000000,TOTAL,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,109,,,9000,,CORN,00,ALL CLASSES,2012-01-01 00:00:00.000,ANNUAL,NOT SPECIFIED,MICHIGAN,BU / ACRE,26,FIELD CROPS,79,"MICHIGAN, UPPER PENINSULA, MENOMINEE"
CROPS,20,NORTHWEST,00,GRAIN,YIELD,YEAR,UNITED STATES,COUNTY,MI,26,ALL PRODUCTION PRACTICES,OTHER (COMBINED) COUNTIES,998,2003,00000000,TOTAL,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,,,,9000,,CORN,00,ALL CLASSES,2012-01-01 00:00:00.000,ANNUAL,NOT SPECIFIED,MICHIGAN,BU / ACRE,26,FIELD CROPS,86,"MICHIGAN, NORTHWEST, OTHER (COMBINED) COUNTIES"
CROPS,20,NORTHWEST,00,GRAIN,YIELD,YEAR,UNITED STATES,COUNTY,MI,26,ALL PRODUCTION PRACTICES,ANTRIM,009,2003,00000000,TOTAL,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,009,,,9000,,CORN,00,ALL CLASSES,2012-01-01 00:00:00.000,ANNUAL,NOT SPECIFIED,MICHIGAN,BU / ACRE,26,FIELD CROPS,103,"MICHIGAN, NORTHWEST, ANTRIM"
CROPS,20,NORTHWEST,00,GRAIN,YIELD,YEAR,UNITED STATES,COUNTY,MI,26,ALL PRODUCTION PRACTICES,BENZIE,019,2003,00000000,TOTAL,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,019,,,9000,,CORN,00,ALL CLASSES,2012-01-01 00:00:00.000,ANNUAL,NOT SPECIFIED,MICHIGAN,BU / ACRE,26,FIELD CROPS,106,"MICHIGAN, NORTHWEST, BENZIE"
CROPS,20,NORTHWEST,00,GRAIN,YIELD,YEAR,UNITED STATES,COUNTY,MI,26,ALL PRODUCTION PRACTICES,CHARLEVOIX,029,2003,00000000,TOTAL,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,029,,,9000,,CORN,00,ALL CLASSES,2012-01-01 00:00:00.000,ANNUAL,NOT SPECIFIED,MICHIGAN,BU / ACRE,26,FIELD CROPS,108,"MICHIGAN, NORTHWEST, CHARLEVOIX"
CROPS,20,NORTHWEST,00,GRAIN,YIELD,YEAR,UNITED STATES,COUNTY,MI,26,ALL PRODUCTION PRACTICES,EMMET,047,2003,00000000,TOTAL,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,047,,,9000,,CORN,00,ALL CLASSES,2012-01-01 00:00:00.000,ANNUAL,NOT SPECIFIED,MICHIGAN,BU / ACRE,26,FIELD CROPS,95,"MICHIGAN, NORTHWEST, EMMET"
CROPS,20,NORTHWEST,00,GRAIN,YIELD,YEAR,UNITED STATES,COUNTY,MI,26,ALL PRODUCTION PRACTICES,GRAND TRAVERSE,055,2003,00000000,TOTAL,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,055,,,9000,,CORN,00,ALL CLASSES,2012-01-01 00:00:00.000,ANNUAL,NOT SPECIFIED,MICHIGAN,BU / ACRE,26,FIELD CROPS,109,"MICHIGAN, NORTHWEST, GRAND TRAVERSE"
CROPS,20,NORTHWEST,00,GRAIN,YIELD,YEAR,UNITED STATES,COUNTY,MI,26,ALL PRODUCTION PRACTICES,LEELANAU,089,2003,00000000,TOTAL,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,089,,,9000,,CORN,00,ALL CLASSES,2012-01-01 00:00:00.000,ANNUAL,NOT SPECIFIED,MICHIGAN,BU / ACRE,26,FIELD CROPS,93,"MICHIGAN, NORTHWEST, LEELANAU"
