end_code,reference_period_desc,county_name,state_fips_code,county_ansi,load_time,agg_level_desc,week_ending,asd_desc,watershed_code,year,freq_desc,state_name,group_desc,util_practice_desc,unit_desc,Value,begin_code,region_desc,country_name,commodity_desc,domain_desc,zip_5,prodn_practice_desc,state_ansi,sector_desc,country_code,statisticcat_desc,short_desc,source_desc,county_code,watershed_desc,state_alpha,domaincat_desc,congr_district_code,CV (%),asd_code,location_desc,class_desc
00,YEAR,OTHER (COMBINED) COUNTIES,26,,2012-01-01 00:00:00.000,COUNTY,,UPPER PENINSULA,00000000,2004,ANNUAL,MICHIGAN,FIELD CROPS,GRAIN,BU / ACRE,90,00,,UNITED STATES,CORN,TOTAL,,ALL PRODUCTION PRACTICES,26,CROPS,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,998,,MI,NOT SPECIFIED,,,10,"MICHIGAN, UPPER PENINSULA, OTHER (COMBINED) COUNTIES",ALL CLASSES
00,YEAR,DELTA,26,041,2012-01-01 00:00:00.000,COUNTY,,UPPER PENINSULA,00000000,2004,ANNUAL,MICHIGAN,FIELD CROPS,GRAIN,BU / ACRE,59,00,,UNITED STATES,CORN,TOTAL,,ALL PRODUCTION PRACTICES,26,CROPS,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,041,,MI,NOT SPECIFIED,,,10,"MICHIGAN, UPPER PENINSULA, DELTA",ALL CLASSES
00,YEAR,MENOMINEE,26,109,2012-01-01 00:00:00.000,COUNTY,,UPPER PENINSULA,00000000,2004,ANNUAL,MICHIGAN,FIELD CROPS,GRAIN,BU / ACRE,82,00,,UNITED STATES,CORN,TOTAL,,ALL PRODUCTION PRACTICES,26,CROPS,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,109,,MI,NOT SPECIFIED,,,10,"MICHIGAN, UPPER PENINSULA, MENOMINEE",ALL CLASSES
00,YEAR,OTHER (COMBINED) COUNTIES,26,,2012-01-01 00:00:00.000,COUNTY,,NORTHWEST,00000000,2004,ANNUAL,MICHIGAN,FIELD CROPS,GRAIN,BU / ACRE,94,00,,UNITED STATES,CORN,TOTAL,,ALL PRODUCTION PRACTICES,26,CROPS,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,998,,MI,NOT SPECIFIED,,,20,"MICHIGAN, NORTHWEST, OTHER (COMBINED) COUNTIES",ALL CLASSES
00,YEAR,ANTRIM,26,009,2012-01-01 00:00:00.000,COUNTY,,NORTHWEST,00000000,2004,ANNUAL,MICHIGAN,FIELD CROPS,GRAIN,BU / ACRE,119,00,,UNITED STATES,CORN,TOTAL,,ALL PRODUCTION PRACTICES,26,CROPS,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,009,,MI,NOT SPECIFIED,,,20,"MICHIGAN, NORTHWEST, ANTRIM",ALL CLASSES
00,YEAR,BENZIE,26,019,2012-01-01 00:00:00.000,COUNTY,,NORTHWEST,00000000,2004,ANNUAL,MICHIGAN,FIELD CROPS,GRAIN,BU / ACRE,100,00,,UNITED STATES,CORN,TOTAL,,ALL PRODUCTION PRACTICES,26,CROPS,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,019,,MI,NOT SPECIFIED,,,20,"MICHIGAN, NORTHWEST, BENZIE",ALL CLASSES
00,YEAR,CHARLEVOIX,26,029,2012-01-01 00:00:00.000,COUNTY,,NORTHWEST,00000000,2004,ANNUAL,MICHIGAN,FIELD CROPS,GRAIN,BU / ACRE,108,00,,UNITED STATES,CORN,TOTAL,,ALL PRODUCTION PRACTICES,26,CROPS,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,029,,MI,NOT SPECIFIED,,,20,"MICHIGAN, NORTHWEST, CHARLEVOIX",ALL CLASSES
00,YEAR,EMMET,26,047,2012-01-01 00:00:00.000,COUNTY,,NORTHWEST,00000000,2004,ANNUAL,MICHIGAN,FIELD CROPS,GRAIN,BU / ACRE,80,00,,UNITED STATES,CORN,TOTAL,,ALL PRODUCTION PRACTICES,26,CROPS,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,047,,MI,NOT SPECIFIED,,,20,"MICHIGAN, NORTHWEST, EMMET",ALL CLASSES
00,YEAR,GRAND TRAVERSE,26,055,2012-01-01 00:00:00.000,COUNTY,,NORTHWEST,00000000,2004,ANNUAL,MICHIGAN,FIELD CROPS,GRAIN,BU / ACRE,81,00,,UNITED STATES,CORN,TOTAL,,ALL PRODUCTION PRACTICES,26,CROPS,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,055,,MI,NOT SPECIFIED,,,20,"MICHIGAN, NORTHWEST, GRAND TRAVERSE",ALL CLASSES
00,YEAR,MANISTEE,26,101,2012-01-01 00:00:00.000,COUNTY,,NORTHWEST,00000000,2004,ANNUAL,MICHIGAN,FIELD CROPS,GRAIN,BU / ACRE,93,00,,UNITED STATES,CORN,TOTAL,,ALL PRODUCTION PRACTICES,26,CROPS,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,101,,MI,NOT SPECIFIED,,,20,"MICHIGAN, NORTHWEST, MANISTEE",ALL CLASSES
00,YEAR,MISSAUKEE,26,113,2012-01-01 00:00:00.000,COUNTY,,NORTHWEST,00000000,2004,ANNUAL,MICHIGAN,FIELD CROPS,GRAIN,BU / ACRE,97,00,,UNITED STATES,CORN,TOTAL,,ALL PRODUCTION PRACTICES,26,CROPS,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,113,,MI,NOT SPECIFIED,,,20,"MICHIGAN, NORTHWEST, MISSAUKEE",ALL CLASSES
00,YEAR,WEXFORD,26,165,2012-01-01 00:00:00.000,COUNTY,,NORTHWEST,00000000,2004,ANNUAL,MICHIGAN,FIELD CROPS,GRAIN,BU / ACRE,99,00,,UNITED STATES,CORN,TOTAL,,ALL PRODUCTION PRACTICES,26,CROPS,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,165,,MI,NOT SPECIFIED,,,20,"MICHIGAN, NORTHWEST, WEXFORD",ALL CLASSES
00,YEAR,OTHER (COMBINED) COUNTIES,26,,2012-01-01 00:00:00.000,COUNTY,,NORTHEAST,00000000,2004,ANNUAL,MICHIGAN,FIELD CROPS,GRAIN,BU / ACRE,77,00,,UNITED STATES,CORN,TOTAL,,ALL PRODUCTION PRACTICES,26,CROPS,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,998,,MI,NOT SPECIFIED,,,30,"MICHIGAN, NORTHEAST, OTHER (COMBINED) COUNTIES",ALL CLASSES
00,YEAR,ALPENA,26,007,2012-01-01 00:00:00.000,COUNTY,,NORTHEAST,00000000,2004,ANNUAL,MICHIGAN,FIELD CROPS,GRAIN,BU / ACRE,92,00,,UNITED STATES,CORN,TOTAL,,ALL PRODUCTION PRACTICES,26,CROPS,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,007,,MI,NOT SPECIFIED,,,30,"MICHIGAN, NORTHEAST, ALPENA",ALL CLASSES
00,YEAR,IOSCO,26,069,2012-01-01 00:00:00.000,COUNTY,,NORTHEAST,00000000,2004,ANNUAL,MICHIGAN,FIELD CROPS,GRAIN,BU / ACRE,92,00,,UNITED STATES,CORN,TOTAL,,ALL PRODUCTION PRACTICES,26,CROPS,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,069,,MI,NOT SPECIFIED,,,30,"MICHIGAN, NORTHEAST, IOSCO",ALL CLASSES
00,YEAR,MONTMORENCY,26,119,2012-01-01 00:00:00.000,COUNTY,,NORTHEAST,00000000,2004,ANNUAL,MICHIGAN,FIELD CROPS,GRAIN,BU / ACRE,100,00,,UNITED STATES,CORN,TOTAL,,ALL PRODUCTION PRACTICES,26,CROPS,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,119,,MI,NOT SPECIFIED,,,30,"MICHIGAN, NORTHEAST, MONTMORENCY",ALL CLASSES
00,YEAR,OGEMAW,26,129,2012-01-01 00:00:00.000,COUNTY,,NORTHEAST,00000000,2004,ANNUAL,MICHIGAN,FIELD CROPS,GRAIN,BU / ACRE,80,00,,UNITED STATES,CORN,TOTAL,,ALL PRODUCTION PRACTICES,26,CROPS,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,129,,MI,NOT SPECIFIED,,,30,"MICHIGAN, NORTHEAST, OGEMAW",ALL CLASSES
00,YEAR,OTSEGO,26,137,2012-01-01 00:00:00.000,COUNTY,,NORTHEAST,00000000,2004,ANNUAL,MICHIGAN,FIELD CROPS,GRAIN,BU / ACRE,92,00,,UNITED STATES,CORN,TOTAL,,ALL PRODUCTION PRACTICES,26,CROPS,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,137,,MI,NOT SPECIFIED,,,30,"MICHIGAN, NORTHEAST, OTSEGO",ALL CLASSES
00,YEAR,PRESQUE ISLE,26,141,2012-01-01 00:00:00.000,COUNTY,,NORTHEAST,00000000,2004,ANNUAL,MICHIGAN,FIELD CROPS,GRAIN,BU / ACRE,92,00,,UNITED STATES,CORN,TOTAL,,ALL PRODUCTION PRACTICES,26,CROPS,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,141,,MI,NOT SPECIFIED,,,30,"MICHIGAN, NORTHEAST, PRESQUE ISLE",ALL CLASSES
