CV (%),country_name,state_ansi,asd_code,unit_desc,freq_desc,agg_level_desc,county_ansi,asd_desc,location_desc,region_desc,year,sector_desc,Value,source_desc,county_name,watershed_desc,week_ending,statisticcat_desc,domain_desc,load_time,domaincat_desc,group_desc,reference_period_desc,commodity_desc,watershed_code,class_desc,begin_code,state_fips_code,state_name,country_code,county_code,state_alpha,util_practice_desc,prodn_practice_desc,end_code,short_desc,zip_5,congr_district_code
,UNITED STATES,26,10,BU / ACRE,ANNUAL,COUNTY,,UPPER PENINSULA,"MICHIGAN, UPPER PENINSULA, OTHER (COMBINED) COUNTIES",,2005,CROPS,94,SURVEY,OTHER (COMBINED) COUNTIES,,,YIELD,TOTAL,2012-01-01 00:00:00.000,NOT SPECIFIED,FIELD CROPS,YEAR,CORN,00000000,ALL CLASSES,00,26,MICHIGAN,9000,998,MI,GRAIN,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,
,UNITED STATES,26,10,BU / ACRE,ANNUAL,COUNTY,041,UPPER PENINSULA,"MICHIGAN, UPPER PENINSULA, DELTA",,2005,CROPS,92,SURVEY,DELTA,,,YIELD,TOTAL,2012-01-01 00:00:00.000,NOT SPECIFIED,FIELD CROPS,YEAR,CORN,00000000,ALL CLASSES,00,26,MICHIGAN,9000,041,MI,GRAIN,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,
,UNITED STATES,26,10,BU / ACRE,ANNUAL,COUNTY,109,UPPER PENINSULA,"MICHIGAN, UPPER PENINSULA, MENOMINEE",,2005,CROPS,122,SURVEY,MENOMINEE,,,YIELD,TOTAL,2012-01-01 00:00:00.000,NOT SPECIFIED,FIELD CROPS,YEAR,CORN,00000000,ALL CLASSES,00,26,MICHIGAN,9000,109,MI,GRAIN,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,
,UNITED STATES,26,20,BU / ACRE,ANNUAL,COUNTY,,NORTHWEST,"MICHIGAN, NORTHWEST, OTHER (COMBINED) COUNTIES",,2005,CROPS,111,SURVEY,OTHER (COMBINED) COUNTIES,,,YIELD,TOTAL,2012-01-01 00:00:00.000,NOT SPECIFIED,FIELD CROPS,YEAR,CORN,00000000,ALL CLASSES,00,26,MICHIGAN,9000,998,MI,GRAIN,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,
,UNITED STATES,26,20,BU / ACRE,ANNUAL,COUNTY,009,NORTHWEST,"MICHIGAN, NORTHWEST, ANTRIM",,2005,CROPS,111,SURVEY,ANTRIM,,,YIELD,TOTAL,2012-01-01 00:00:00.000,NOT SPECIFIED,FIELD CROPS,YEAR,CORN,00000000,ALL CLASSES,00,26,MICHIGAN,9000,009,MI,GRAIN,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,
,UNITED STATES,26,20,BU / ACRE,ANNUAL,COUNTY,019,NORTHWEST,"MICHIGAN, NORTHWEST, BENZIE",,2005,CROPS,104,SURVEY,BENZIE,,,YIELD,TOTAL,2012-01-01 00:00:00.000,NOT SPECIFIED,FIELD CROPS,YEAR,CORN,00000000,ALL CLASSES,00,26,MICHIGAN,9000,019,MI,GRAIN,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,
,UNITED STATES,26,20,BU / ACRE,ANNUAL,COUNTY,029,NORTHWEST,"MICHIGAN, NORTHWEST, CHARLEVOIX",,2005,CROPS,92,SURVEY,CHARLEVOIX,,,YIELD,TOTAL,2012-01-01 00:00:00.000,NOT SPECIFIED,FIELD CROPS,YEAR,CORN,00000000,ALL CLASSES,00,26,MICHIGAN,9000,029,MI,GRAIN,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,
,UNITED STATES,26,20,BU / ACRE,ANNUAL,COUNTY,047,NORTHWEST,"MICHIGAN, NORTHWEST, EMMET",,2005,CROPS,95,SURVEY,EMMET,,,YIELD,TOTAL,2012-01-01 00:00:00.000,NOT SPECIFIED,FIELD CROPS,YEAR,CORN,00000000,ALL CLASSES,00,26,MICHIGAN,9000,047,MI,GRAIN,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,
,UNITED STATES,26,20,BU / ACRE,ANNUAL,COUNTY,055,NORTHWEST,"MICHIGAN, NORTHWEST, GRAND TRAVERSE",,2005,CROPS,100,SURVEY,GRAND TRAVERSE,,,YIELD,TOTAL,2012-01-01 00:00:00.000,NOT SPECIFIED,FIELD CROPS,YEAR,CORN,00000000,ALL CLASSES,00,26,MICHIGAN,9000,055,MI,GRAIN,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,
,UNITED STATES,26,20,BU / ACRE,ANNUAL,COUNTY,089,NORTHWEST,"MICHIGAN, NORTHWEST, LEELANAU",,2005,CROPS,82,SURVEY,LEELANAU,,,YIELD,TOTAL,2012-01-01 00:00:00.000,NOT SPECIFIED,FIELD CROPS,YEAR,CORN,00000000,ALL CLASSES,00,26,MICHIGAN,9000,089,MI,GRAIN,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,
