county_name,state_fips_code,county_ansi,load_time,end_code,reference_period_desc,watershed_code,state_name,freq_desc,year,util_practice_desc,unit_desc,Value,group_desc,agg_level_desc,asd_desc,week_ending,state_ansi,prodn_practice_desc,sector_desc,begin_code,region_desc,country_name,domain_desc,commodity_desc,zip_5,domaincat_desc,state_alpha,CV (%),congr_district_code,asd_code,location_desc,class_desc,country_code,statisticcat_desc,short_desc,source_desc,watershed_desc,county_code
OTHER (COMBINED) COUNTIES,26,,2012-01-01 00:00:00.000,00,YEAR,00000000,MICHIGAN,ANNUAL,2006,GRAIN,BU / ACRE,117,FIELD CROPS,COUNTY,UPPER PENINSULA,,26,ALL PRODUCTION PRACTICES,CROPS,00,,UNITED STATES,TOTAL,CORN,,NOT SPECIFIED,MI,,,10,"MICHIGAN, UPPER PENINSULA, OTHER (COMBINED) COUNTIES",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,,998
DELTA,26,041,2012-01-01 00:00:00.000,00,YEAR,00000000,MICHIGAN,ANNUAL,2006,GRAIN,BU / ACRE,129,FIELD CROPS,COUNTY,UPPER PENINSULA,,26,ALL PRODUCTION PRACTICES,CROPS,00,,UNITED STATES,TOTAL,CORN,,NOT SPECIFIED,MI,,,10,"MICHIGAN, UPPER PENINSULA, DELTA",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,,041
MENOMINEE,26,109,2012-01-01 00:00:00.000,00,YEAR,00000000,MICHIGAN,ANNUAL,2006,GRAIN,BU / ACRE,138,FIELD CROPS,COUNTY,UPPER PENINSULA,,26,ALL PRODUCTION PRACTICES,CROPS,00,,UNITED STATES,TOTAL,CORN,,NOT SPECIFIED,MI,,,10,"MICHIGAN, UPPER PENINSULA, MENOMINEE",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,,109
OTHER (COMBINED) COUNTIES,26,,2012-01-01 00:00:00.000,00,YEAR,00000000,MICHIGAN,ANNUAL,2006,GRAIN,BU / ACRE,83,FIELD CROPS,COUNTY,NORTHWEST,,26,ALL PRODUCTION PRACTICES,CROPS,00,,UNITED STATES,TOTAL,CORN,,NOT SPECIFIED,MI,,,20,"MICHIGAN, NORTHWEST, OTHER (COMBINED) COUNTIES",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,,998
ANTRIM,26,009,2012-01-01 00:00:00.000,00,YEAR,00000000,MICHIGAN,ANNUAL,2006,GRAIN,BU / ACRE,108,FIELD CROPS,COUNTY,NORTHWEST,,26,ALL PRODUCTION PRACTICES,CROPS,00,,UNITED STATES,TOTAL,CORN,,NOT SPECIFIED,MI,,,20,"MICHIGAN, NORTHWEST, ANTRIM",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,,009
BENZIE,26,019,2012-01-01 00:00:00.000,00,YEAR,00000000,MICHIGAN,ANNUAL,2006,GRAIN,BU / ACRE,108,FIELD CROPS,COUNTY,NORTHWEST,,26,ALL PRODUCTION PRACTICES,CROPS,00,,UNITED STATES,TOTAL,CORN,,NOT SPECIFIED,MI,,,20,"MICHIGAN, NORTHWEST, BENZIE",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,,019
CHARLEVOIX,26,029,2012-01-01 00:00:00.000,00,YEAR,00000000,MICHIGAN,ANNUAL,2006,GRAIN,BU / ACRE,110,FIELD CROPS,COUNTY,NORTHWEST,,26,ALL PRODUCTION PRACTICES,CROPS,00,,UNITED STATES,TOTAL,CORN,,NOT SPECIFIED,MI,,,20,"MICHIGAN, NORTHWEST, CHARLEVOIX",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,,029
EMMET,26,047,2012-01-01 00:00:00.000,00,YEAR,00000000,MICHIGAN,ANNUAL,2006,GRAIN,BU / ACRE,111,FIELD CROPS,COUNTY,NORTHWEST,,26,ALL PRODUCTION PRACTICES,CROPS,00,,UNITED STATES,TOTAL,CORN,,NOT SPECIFIED,MI,,,20,"MICHIGAN, NORTHWEST, EMMET",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,,047
GRAND TRAVERSE,26,055,2012-01-01 00:00:00.000,00,YEAR,00000000,MICHIGAN,ANNUAL,2006,GRAIN,BU / ACRE,98,FIELD CROPS,COUNTY,NORTHWEST,,26,ALL PRODUCTION PRACTICES,CROPS,00,,UNITED STATES,TOTAL,CORN,,NOT SPECIFIED,MI,,,20,"MICHIGAN, NORTHWEST, GRAND TRAVERSE",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,,055
MANISTEE,26,101,2012-01-01 00:00:00.000,00,YEAR,00000000,MICHIGAN,ANNUAL,2006,GRAIN,BU / ACRE,100,FIELD CROPS,COUNTY,NORTHWEST,,26,ALL PRODUCTION PRACTICES,CROPS,00,,UNITED STATES,TOTAL,CORN,,NOT SPECIFIED,MI,,,20,"MICHIGAN, NORTHWEST, MANISTEE",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,,101
