country_code,CV (%),commodity_desc,class_desc,end_code,freq_desc,load_time,domaincat_desc,state_name,unit_desc,Value,location_desc,state_fips_code,group_desc,short_desc,week_ending,watershed_desc,county_ansi,source_desc,congr_district_code,region_desc,prodn_practice_desc,county_code,county_name,domain_desc,year,watershed_code,zip_5,asd_code,sector_desc,asd_desc,begin_code,util_practice_desc,country_name,reference_period_desc,statisticcat_desc,agg_level_desc,state_alpha,state_ansi
9000,,CORN,ALL CLASSES,00,ANNUAL,2012-01-01 00:00:00.000,NOT SPECIFIED,MICHIGAN,BU / ACRE,70,"MICHIGAN, UPPER PENINSULA, OTHER (COMBINED) COUNTIES",26,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,,SURVEY,,,ALL PRODUCTION PRACTICES,998,OTHER (COMBINED) COUNTIES,TOTAL,2007,00000000,,10,CROPS,UPPER PENINSULA,00,GRAIN,UNITED STATES,YEAR,YIELD,COUNTY,MI,26
9000,,CORN,ALL CLASSES,00,ANNUAL,2012-01-01 00:00:00.000,NOT SPECIFIED,MICHIGAN,BU / ACRE,89,"MICHIGAN, UPPER PENINSULA, DELTA",26,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,041,SURVEY,,,ALL PRODUCTION PRACTICES,041,DELTA,TOTAL,2007,00000000,,10,CROPS,UPPER PENINSULA,00,GRAIN,UNITED STATES,YEAR,YIELD,COUNTY,MI,26
9000,,CORN,ALL CLASSES,00,ANNUAL,2012-01-01 00:00:00.000,NOT SPECIFIED,MICHIGAN,BU / ACRE,0,"MICHIGAN, UPPER PENINSULA, MARQUETTE",26,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,103,SURVEY,,,ALL PRODUCTION PRACTICES,103,MARQUETTE,TOTAL,2007,00000000,,10,CROPS,UPPER PENINSULA,00,GRAIN,UNITED STATES,YEAR,YIELD,COUNTY,MI,26
9000,,CORN,ALL CLASSES,00,ANNUAL,2012-01-01 00:00:00.000,NOT SPECIFIED,MICHIGAN,BU / ACRE,77,"MICHIGAN, UPPER PENINSULA, MENOMINEE",26,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,109,SURVEY,,,ALL PRODUCTION PRACTICES,109,MENOMINEE,TOTAL,2007,00000000,,10,CROPS,UPPER PENINSULA,00,GRAIN,UNITED STATES,YEAR,YIELD,COUNTY,MI,26
9000,,CORN,ALL CLASSES,00,ANNUAL,2012-01-01 00:00:00.000,NOT SPECIFIED,MICHIGAN,BU / ACRE,39,"MICHIGAN, NORTHWEST, OTHER (COMBINED) COUNTIES",26,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,,SURVEY,,,ALL PRODUCTION PRACTICES,998,OTHER (COMBINED) COUNTIES,TOTAL,2007,00000000,,20,CROPS,NORTHWEST,00,GRAIN,UNITED STATES,YEAR,YIELD,COUNTY,MI,26
9000,,CORN,ALL CLASSES,00,ANNUAL,2012-01-01 00:00:00.000,NOT SPECIFIED,MICHIGAN,BU / ACRE,65,"MICHIGAN, NORTHWEST, ANTRIM",26,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,009,SURVEY,,,ALL PRODUCTION PRACTICES,009,ANTRIM,TOTAL,2007,00000000,,20,CROPS,NORTHWEST,00,GRAIN,UNITED STATES,YEAR,YIELD,COUNTY,MI,26
9000,,CORN,ALL CLASSES,00,ANNUAL,2012-01-01 00:00:00.000,NOT SPECIFIED,MICHIGAN,BU / ACRE,45,"MICHIGAN, NORTHWEST, BENZIE",26,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,019,SURVEY,,,ALL PRODUCTION PRACTICES,019,BENZIE,TOTAL,2007,00000000,,20,CROPS,NORTHWEST,00,GRAIN,UNITED STATES,YEAR,YIELD,COUNTY,MI,26
9000,,CORN,ALL CLASSES,00,ANNUAL,2012-01-01 00:00:00.000,NOT SPECIFIED,MICHIGAN,BU / ACRE,81,"MICHIGAN, NORTHWEST, CHARLEVOIX",26,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,029,SURVEY,,,ALL PRODUCTION PRACTICES,029,CHARLEVOIX,TOTAL,2007,00000000,,20,CROPS,NORTHWEST,00,GRAIN,UNITED STATES,YEAR,YIELD,COUNTY,MI,26
9000,,CORN,ALL CLASSES,00,ANNUAL,2012-01-01 00:00:00.000,NOT SPECIFIED,MICHIGAN,BU / ACRE,75,"MICHIGAN, NORTHWEST, EMMET",26,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,047,SURVEY,,,ALL PRODUCTION PRACTICES,047,EMMET,TOTAL,2007,00000000,,20,CROPS,NORTHWEST,00,GRAIN,UNITED STATES,YEAR,YIELD,COUNTY,MI,26
9000,,CORN,ALL CLASSES,00,ANNUAL,2012-01-01 00:00:00.000,NOT SPECIFIED,MICHIGAN,BU / ACRE,44,"MICHIGAN, NORTHWEST, GRAND TRAVERSE",26,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,055,SURVEY,,,ALL PRODUCTION PRACTICES,055,GRAND TRAVERSE,TOTAL,2007,00000000,,20,CROPS,NORTHWEST,00,GRAIN,UNITED STATES,YEAR,YIELD,COUNTY,MI,26
9000,,CORN,ALL CLASSES,00,ANNUAL,2012-01-01 00:00:00.000,NOT SPECIFIED,MICHIGAN,BU / ACRE,56,"MICHIGAN, NORTHWEST, LEELANAU",26,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,089,SURVEY,,,ALL PRODUCTION PRACTICES,089,LEELANAU,TOTAL,2007,00000000,,20,CROPS,NORTHWEST,00,GRAIN,UNITED STATES,YEAR,YIELD,COUNTY,MI,26
9000,,CORN,ALL CLASSES,00,ANNUAL,2012-01-01 00:00:00.000,NOT SPECIFIED,MICHIGAN,BU / ACRE,64,"MICHIGAN, NORTHWEST, MANISTEE",26,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,101,SURVEY,,,ALL PRODUCTION PRACTICES,101,MANISTEE,TOTAL,2007,00000000,,20,CROPS,NORTHWEST,00,GRAIN,UNITED STATES,YEAR,YIELD,COUNTY,MI,26
9000,,CORN,ALL CLASSES,00,ANNUAL,2012-01-01 00:00:00.000,NOT SPECIFIED,MICHIGAN,BU / ACRE,94,"MICHIGAN, NORTHWEST, MISSAUKEE",26,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,113,SURVEY,,,ALL PRODUCTION PRACTICES,113,MISSAUKEE,TOTAL,2007,00000000,,20,CROPS,NORTHWEST,00,GRAIN,UNITED STATES,YEAR,YIELD,COUNTY,MI,26
9000,,CORN,ALL CLASSES,00,ANNUAL,2012-01-01 00:00:00.000,NOT SPECIFIED,MICHIGAN,BU / ACRE,76,"MICHIGAN, NORTHEAST, OTHER (COMBINED) COUNTIES",26,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,,SURVEY,,,ALL PRODUCTION PRACTICES,998,OTHER (COMBINED) COUNTIES,TOTAL,2007,00000000,,30,CROPS,NORTHEAST,00,GRAIN,UNITED STATES,YEAR,YIELD,COUNTY,MI,26
