region_desc,congr_district_code,county_ansi,source_desc,watershed_desc,week_ending,short_desc,group_desc,state_fips_code,location_desc,Value,state_name,unit_desc,domaincat_desc,load_time,freq_desc,end_code,class_desc,CV (%),commodity_desc,country_code,state_ansi,state_alpha,agg_level_desc,reference_period_desc,statisticcat_desc,country_name,util_practice_desc,begin_code,asd_desc,sector_desc,asd_code,zip_5,year,watershed_code,domain_desc,county_name,county_code,prodn_practice_desc
,,,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,"MICHIGAN, UPPER PENINSULA, OTHER (COMBINED) COUNTIES",58,MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YEAR,YIELD,UNITED STATES,GRAIN,00,UPPER PENINSULA,CROPS,10,,2008,00000000,TOTAL,OTHER (COMBINED) COUNTIES,998,ALL PRODUCTION PRACTICES
,,041,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,"MICHIGAN, UPPER PENINSULA, DELTA",64,MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YEAR,YIELD,UNITED STATES,GRAIN,00,UPPER PENINSULA,CROPS,10,,2008,00000000,TOTAL,DELTA,041,ALL PRODUCTION PRACTICES
,,109,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,"MICHIGAN, UPPER PENINSULA, MENOMINEE",76,MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YEAR,YIELD,UNITED STATES,GRAIN,00,UPPER PENINSULA,CROPS,10,,2008,00000000,TOTAL,MENOMINEE,109,ALL PRODUCTION PRACTICES
,,,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,"MICHIGAN, NORTHWEST, OTHER (COMBINED) COUNTIES",75,MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YEAR,YIELD,UNITED STATES,GRAIN,00,NORTHWEST,CROPS,20,,2008,00000000,TOTAL,OTHER (COMBINED) COUNTIES,998,ALL PRODUCTION PRACTICES
,,009,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,"MICHIGAN, NORTHWEST, ANTRIM",81,MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YEAR,YIELD,UNITED STATES,GRAIN,00,NORTHWEST,CROPS,20,,2008,00000000,TOTAL,ANTRIM,009,ALL PRODUCTION PRACTICES
,,019,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,"MICHIGAN, NORTHWEST, BENZIE",79,MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YEAR,YIELD,UNITED STATES,GRAIN,00,NORTHWEST,CROPS,20,,2008,00000000,TOTAL,BENZIE,019,ALL PRODUCTION PRACTICES
,,029,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,"MICHIGAN, NORTHWEST, CHARLEVOIX",79,MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YEAR,YIELD,UNITED STATES,GRAIN,00,NORTHWEST,CROPS,20,,2008,00000000,TOTAL,CHARLEVOIX,029,ALL PRODUCTION PRACTICES
,,047,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,"MICHIGAN, NORTHWEST, EMMET",89,MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YEAR,YIELD,UNITED STATES,GRAIN,00,NORTHWEST,CROPS,20,,2008,00000000,TOTAL,EMMET,047,ALL PRODUCTION PRACTICES
,,055,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,"MICHIGAN, NORTHWEST, GRAND TRAVERSE",77,MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YEAR,YIELD,UNITED STATES,GRAIN,00,NORTHWEST,CROPS,20,,2008,00000000,TOTAL,GRAND TRAVERSE,055,ALL PRODUCTION PRACTICES
,,089,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,"MICHIGAN, NORTHWEST, LEELANAU",84,MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YEAR,YIELD,UNITED STATES,GRAIN,00,NORTHWEST,CROPS,20,,2008,00000000,TOTAL,LEELANAU,089,ALL PRODUCTION PRACTICES
