begin_code,util_practice_desc,asd_desc,sector_desc,asd_code,state_ansi,state_alpha,agg_level_desc,statisticcat_desc,reference_period_desc,country_name,county_name,county_code,prodn_practice_desc,zip_5,year,watershed_code,domain_desc,watershed_desc,week_ending,short_desc,region_desc,congr_district_code,source_desc,county_ansi,end_code,class_desc,CV (%),commodity_desc,country_code,state_fips_code,group_desc,Value,location_desc,state_name,unit_desc,domaincat_desc,load_time,freq_desc
00,GRAIN,UPPER PENINSULA,CROPS,10,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,OTHER (COMBINED) COUNTIES,998,ALL PRODUCTION PRACTICES,,2009,00000000,TOTAL,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,SURVEY,,00,ALL CLASSES,,CORN,9000,26,FIELD CROPS,71,"MICHIGAN, UPPER PENINSULA, OTHER (COMBINED) COUNTIES",MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL
00,GRAIN,UPPER PENINSULA,CROPS,10,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,DELTA,041,ALL PRODUCTION PRACTICES,,2009,00000000,TOTAL,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,SURVEY,041,00,ALL CLASSES,,CORN,9000,26,FIELD CROPS,84,"MICHIGAN, UPPER PENINSULA, DELTA",MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL
00,GRAIN,UPPER PENINSULA,CROPS,10,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,MENOMINEE,109,ALL PRODUCTION PRACTICES,,2009,00000000,TOTAL,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,SURVEY,109,00,ALL CLASSES,,CORN,9000,26,FIELD CROPS,68,"MICHIGAN, UPPER PENINSULA, MENOMINEE",MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL
00,GRAIN,NORTHWEST,CROPS,20,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,OTHER (COMBINED) COUNTIES,998,ALL PRODUCTION PRACTICES,,2009,00000000,TOTAL,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,SURVEY,,00,ALL CLASSES,,CORN,9000,26,FIELD CROPS,124,"MICHIGAN, NORTHWEST, OTHER (COMBINED) COUNTIES",MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL
00,GRAIN,NORTHWEST,CROPS,20,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,ANTRIM,009,ALL PRODUCTION PRACTICES,,2009,00000000,TOTAL,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,SURVEY,009,00,ALL CLASSES,,CORN,9000,26,FIELD CROPS,119,"MICHIGAN, NORTHWEST, ANTRIM",MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL
00,GRAIN,NORTHWEST,CROPS,20,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,CHARLEVOIX,029,ALL PRODUCTION PRACTICES,,2009,00000000,TOTAL,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,SURVEY,029,00,ALL CLASSES,,CORN,9000,26,FIELD CROPS,131,"MICHIGAN, NORTHWEST, CHARLEVOIX",MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL
00,GRAIN,NORTHWEST,CROPS,20,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,EMMET,047,ALL PRODUCTION PRACTICES,,2009,00000000,TOTAL,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,SURVEY,047,00,ALL CLASSES,,CORN,9000,26,FIELD CROPS,84,"MICHIGAN, NORTHWEST, EMMET",MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL
00,GRAIN,NORTHWEST,CROPS,20,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,GRAND TRAVERSE,055,ALL PRODUCTION PRACTICES,,2009,00000000,TOTAL,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,SURVEY,055,00,ALL CLASSES,,CORN,9000,26,FIELD CROPS,100,"MICHIGAN, NORTHWEST, GRAND TRAVERSE",MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL
00,GRAIN,NORTHWEST,CROPS,20,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,LEELANAU,089,ALL PRODUCTION PRACTICES,,2009,00000000,TOTAL,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,SURVEY,089,00,ALL CLASSES,,CORN,9000,26,FIELD CROPS,94,"MICHIGAN, NORTHWEST, LEELANAU",MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL
00,GRAIN,NORTHWEST,CROPS,20,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,MANISTEE,101,ALL PRODUCTION PRACTICES,,2009,00000000,TOTAL,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,SURVEY,101,00,ALL CLASSES,,CORN,9000,26,FIELD CROPS,117,"MICHIGAN, NORTHWEST, MANISTEE",MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL
00,GRAIN,NORTHWEST,CROPS,20,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,MISSAUKEE,113,ALL PRODUCTION PRACTICES,,2009,00000000,TOTAL,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,SURVEY,113,00,ALL CLASSES,,CORN,9000,26,FIELD CROPS,109,"MICHIGAN, NORTHWEST, MISSAUKEE",MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL
00,GRAIN,NORTHWEST,CROPS,20,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,WEXFORD,165,ALL PRODUCTION PRACTICES,,2009,00000000,TOTAL,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,SURVEY,165,00,ALL CLASSES,,CORN,9000,26,FIELD CROPS,101,"MICHIGAN, NORTHWEST, WEXFORD",MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL
00,GRAIN,NORTHEAST,CROPS,30,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,OTHER (COMBINED) COUNTIES,998,ALL PRODUCTION PRACTICES,,2009,00000000,TOTAL,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,SURVEY,,00,ALL CLASSES,,CORN,9000,26,FIELD CROPS,108,"MICHIGAN, NORTHEAST, OTHER (COMBINED) COUNTIES",MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL
00,GRAIN,NORTHEAST,CROPS,30,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,ALCONA,001,ALL PRODUCTION PRACTICES,,2009,00000000,TOTAL,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,SURVEY,001,00,ALL CLASSES,,CORN,9000,26,FIELD CROPS,95,"MICHIGAN, NORTHEAST, ALCONA",MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL
00,GRAIN,NORTHEAST,CROPS,30,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,ALPENA,007,ALL PRODUCTION PRACTICES,,2009,00000000,TOTAL,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,SURVEY,007,00,ALL CLASSES,,CORN,9000,26,FIELD CROPS,107,"MICHIGAN, NORTHEAST, ALPENA",MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL
00,GRAIN,NORTHEAST,CROPS,30,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,IOSCO,069,ALL PRODUCTION PRACTICES,,2009,00000000,TOTAL,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,SURVEY,069,00,ALL CLASSES,,CORN,9000,26,FIELD CROPS,133,"MICHIGAN, NORTHEAST, IOSCO",MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL
00,GRAIN,NORTHEAST,CROPS,30,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,MONTMORENCY,119,ALL PRODUCTION PRACTICES,,2009,00000000,TOTAL,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,SURVEY,119,00,ALL CLASSES,,CORN,9000,26,FIELD CROPS,117,"MICHIGAN, NORTHEAST, MONTMORENCY",MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL
00,GRAIN,NORTHEAST,CROPS,30,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,OGEMAW,129,ALL PRODUCTION PRACTICES,,2009,00000000,TOTAL,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,SURVEY,129,00,ALL CLASSES,,CORN,9000,26,FIELD CROPS,123,"MICHIGAN, NORTHEAST, OGEMAW",MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL
00,GRAIN,NORTHEAST,CROPS,30,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,OTSEGO,137,ALL PRODUCTION PRACTICES,,2009,00000000,TOTAL,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,SURVEY,137,00,ALL CLASSES,,CORN,9000,26,FIELD CROPS,114,"MICHIGAN, NORTHEAST, OTSEGO",MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL
00,GRAIN,NORTHEAST,CROPS,30,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,PRESQUE ISLE,141,ALL PRODUCTION PRACTICES,,2009,00000000,TOTAL,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,SURVEY,141,00,ALL CLASSES,,CORN,9000,26,FIELD CROPS,107,"MICHIGAN, NORTHEAST, PRESQUE ISLE",MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL
00,GRAIN,WEST CENTRAL,CROPS,40,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,LAKE,085,ALL PRODUCTION PRACTICES,,2009,00000000,TOTAL,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,SURVEY,085,00,ALL CLASSES,,CORN,9000,26,FIELD CROPS,119,"MICHIGAN, WEST CENTRAL, LAKE",MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL
00,GRAIN,WEST CENTRAL,CROPS,40,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,MASON,105,ALL PRODUCTION PRACTICES,,2009,00000000,TOTAL,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,SURVEY,105,00,ALL CLASSES,,CORN,9000,26,FIELD CROPS,116,"MICHIGAN, WEST CENTRAL, MASON",MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL
00,GRAIN,WEST CENTRAL,CROPS,40,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,MUSKEGON,121,ALL PRODUCTION PRACTICES,,2009,00000000,TOTAL,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,SURVEY,121,00,ALL CLASSES,,CORN,9000,26,FIELD CROPS,136,"MICHIGAN, WEST CENTRAL, MUSKEGON",MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL
00,GRAIN,WEST CENTRAL,CROPS,40,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,NEWAYGO,123,ALL PRODUCTION PRACTICES,,2009,00000000,TOTAL,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,SURVEY,123,00,ALL CLASSES,,CORN,9000,26,FIELD CROPS,127,"MICHIGAN, WEST CENTRAL, NEWAYGO",MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL
00,GRAIN,WEST CENTRAL,CROPS,40,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,OCEANA,127,ALL PRODUCTION PRACTICES,,2009,00000000,TOTAL,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,SURVEY,127,00,ALL CLASSES,,CORN,9000,26,FIELD CROPS,113,"MICHIGAN, WEST CENTRAL, OCEANA",MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL
