prodn_practice_desc,state_ansi,sector_desc,begin_code,country_name,region_desc,zip_5,commodity_desc,domain_desc,state_alpha,domaincat_desc,asd_code,CV (%),congr_district_code,location_desc,class_desc,country_code,statisticcat_desc,short_desc,watershed_desc,source_desc,county_code,state_fips_code,county_name,county_ansi,load_time,end_code,reference_period_desc,year,state_name,freq_desc,watershed_code,Value,util_practice_desc,unit_desc,group_desc,agg_level_desc,asd_desc,week_ending
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,10,,,"MICHIGAN, UPPER PENINSULA, OTHER (COMBINED) COUNTIES",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,998,26,OTHER (COMBINED) COUNTIES,,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,80,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,UPPER PENINSULA,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,10,,,"MICHIGAN, UPPER PENINSULA, DELTA",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,041,26,DELTA,041,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,76.3,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,UPPER PENINSULA,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,10,,,"MICHIGAN, UPPER PENINSULA, DICKINSON",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,043,26,DICKINSON,043,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,80,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,UPPER PENINSULA,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,10,,,"MICHIGAN, UPPER PENINSULA, MENOMINEE",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,109,26,MENOMINEE,109,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,66.3,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,UPPER PENINSULA,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,20,,,"MICHIGAN, NORTHWEST, OTHER (COMBINED) COUNTIES",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,998,26,OTHER (COMBINED) COUNTIES,,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,95.4,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,NORTHWEST,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,20,,,"MICHIGAN, NORTHWEST, ANTRIM",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,009,26,ANTRIM,009,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,114.7,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,NORTHWEST,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,20,,,"MICHIGAN, NORTHWEST, BENZIE",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,019,26,BENZIE,019,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,76.7,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,NORTHWEST,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,20,,,"MICHIGAN, NORTHWEST, CHARLEVOIX",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,029,26,CHARLEVOIX,029,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,105.8,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,NORTHWEST,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,20,,,"MICHIGAN, NORTHWEST, GRAND TRAVERSE",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,055,26,GRAND TRAVERSE,055,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,102.2,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,NORTHWEST,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,20,,,"MICHIGAN, NORTHWEST, KALKASKA",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,079,26,KALKASKA,079,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,80,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,NORTHWEST,
