watershed_desc,watershed_code,year,short_desc,freq_desc,load_time,begin_code,country_code,state_alpha,class_desc,country_name,commodity_desc,Value,week_ending,prodn_practice_desc,county_ansi,end_code,asd_code,statisticcat_desc,CV (%),sector_desc,agg_level_desc,county_name,group_desc,region_desc,congr_district_code,asd_desc,unit_desc,reference_period_desc,domaincat_desc,location_desc,county_code,domain_desc,state_name,state_fips_code,source_desc,state_ansi,zip_5,util_practice_desc
,00000000,2013,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,2015-02-19 15:38:52.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN,127.9,,ALL PRODUCTION PRACTICES,,00,20,YIELD,,CROPS,COUNTY,OTHER (COMBINED) COUNTIES,FIELD CROPS,,,NORTHWEST,BU / ACRE,YEAR,NOT SPECIFIED,"MICHIGAN, NORTHWEST, OTHER (COMBINED) COUNTIES",998,TOTAL,MICHIGAN,26,SURVEY,26,,GRAIN
,00000000,2013,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,2015-02-19 15:38:52.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN,100,,ALL PRODUCTION PRACTICES,009,00,20,YIELD,,CROPS,COUNTY,ANTRIM,FIELD CROPS,,,NORTHWEST,BU / ACRE,YEAR,NOT SPECIFIED,"MICHIGAN, NORTHWEST, ANTRIM",009,TOTAL,MICHIGAN,26,SURVEY,26,,GRAIN
,00000000,2013,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,2015-02-19 15:38:52.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN,105,,ALL PRODUCTION PRACTICES,019,00,20,YIELD,,CROPS,COUNTY,BENZIE,FIELD CROPS,,,NORTHWEST,BU / ACRE,YEAR,NOT SPECIFIED,"MICHIGAN, NORTHWEST, BENZIE",019,TOTAL,MICHIGAN,26,SURVEY,26,,GRAIN
,00000000,2013,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,2015-02-19 15:38:52.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN,132.7,,ALL PRODUCTION PRACTICES,029,00,20,YIELD,,CROPS,COUNTY,CHARLEVOIX,FIELD CROPS,,,NORTHWEST,BU / ACRE,YEAR,NOT SPECIFIED,"MICHIGAN, NORTHWEST, CHARLEVOIX",029,TOTAL,MICHIGAN,26,SURVEY,26,,GRAIN
,00000000,2013,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,2015-02-19 15:38:52.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN,89.9,,ALL PRODUCTION PRACTICES,055,00,20,YIELD,,CROPS,COUNTY,GRAND TRAVERSE,FIELD CROPS,,,NORTHWEST,BU / ACRE,YEAR,NOT SPECIFIED,"MICHIGAN, NORTHWEST, GRAND TRAVERSE",055,TOTAL,MICHIGAN,26,SURVEY,26,,GRAIN
,00000000,2013,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,2015-02-19 15:38:52.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN,104,,ALL PRODUCTION PRACTICES,079,00,20,YIELD,,CROPS,COUNTY,KALKASKA,FIELD CROPS,,,NORTHWEST,BU / ACRE,YEAR,NOT SPECIFIED,"MICHIGAN, NORTHWEST, KALKASKA",079,TOTAL,MICHIGAN,26,SURVEY,26,,GRAIN
,00000000,2013,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,2015-02-19 15:38:52.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN,97.7,,ALL PRODUCTION PRACTICES,089,00,20,YIELD,,CROPS,COUNTY,LEELANAU,FIELD CROPS,,,NORTHWEST,BU / ACRE,YEAR,NOT SPECIFIED,"MICHIGAN, NORTHWEST, LEELANAU",089,TOTAL,MICHIGAN,26,SURVEY,26,,GRAIN
,00000000,2013,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,2015-02-19 15:38:52.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN,54.5,,ALL PRODUCTION PRACTICES,165,00,20,YIELD,,CROPS,COUNTY,WEXFORD,FIELD CROPS,,,NORTHWEST,BU / ACRE,YEAR,NOT SPECIFIED,"MICHIGAN, NORTHWEST, WEXFORD",165,TOTAL,MICHIGAN,26,SURVEY,26,,GRAIN
,00000000,2013,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,2015-02-19 15:38:52.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN,100,,ALL PRODUCTION PRACTICES,085,00,40,YIELD,,CROPS,COUNTY,LAKE,FIELD CROPS,,,WEST CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED,"MICHIGAN, WEST CENTRAL, LAKE",085,TOTAL,MICHIGAN,26,SURVEY,26,,GRAIN
,00000000,2013,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,2015-02-19 15:38:52.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN,126.2,,ALL PRODUCTION PRACTICES,105,00,40,YIELD,,CROPS,COUNTY,MASON,FIELD CROPS,,,WEST CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED,"MICHIGAN, WEST CENTRAL, MASON",105,TOTAL,MICHIGAN,26,SURVEY,26,,GRAIN
