country_name,watershed_desc,load_time,class_desc,end_code,domain_desc,year,country_code,CV (%),state_fips_code,statisticcat_desc,county_name,state_alpha,county_code,asd_desc,state_name,county_ansi,source_desc,zip_5,short_desc,begin_code,prodn_practice_desc,group_desc,Value,state_ansi,util_practice_desc,sector_desc,watershed_code,asd_code,week_ending,agg_level_desc,unit_desc,reference_period_desc,region_desc,location_desc,commodity_desc,domaincat_desc,freq_desc,congr_district_code
UNITED STATES,,2015-02-19 15:38:52.000,ALL CLASSES,00,TOTAL,2014,9000,,26,YIELD,OTHER (COMBINED) COUNTIES,MI,998,UPPER PENINSULA,MICHIGAN,,SURVEY,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,ALL PRODUCTION PRACTICES,FIELD CROPS,88.2,26,GRAIN,CROPS,00000000,10,,COUNTY,BU / ACRE,YEAR,,"MICHIGAN, UPPER PENINSULA, OTHER (COMBINED) COUNTIES",CORN,NOT SPECIFIED,ANNUAL,
UNITED STATES,,2015-02-19 15:38:52.000,ALL CLASSES,00,TOTAL,2014,9000,,26,YIELD,OTHER (COMBINED) COUNTIES,MI,998,NORTHWEST,MICHIGAN,,SURVEY,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,ALL PRODUCTION PRACTICES,FIELD CROPS,76,26,GRAIN,CROPS,00000000,20,,COUNTY,BU / ACRE,YEAR,,"MICHIGAN, NORTHWEST, OTHER (COMBINED) COUNTIES",CORN,NOT SPECIFIED,ANNUAL,
UNITED STATES,,2015-02-19 15:38:52.000,ALL CLASSES,00,TOTAL,2014,9000,,26,YIELD,ANTRIM,MI,009,NORTHWEST,MICHIGAN,009,SURVEY,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,ALL PRODUCTION PRACTICES,FIELD CROPS,135.4,26,GRAIN,CROPS,00000000,20,,COUNTY,BU / ACRE,YEAR,,"MICHIGAN, NORTHWEST, ANTRIM",CORN,NOT SPECIFIED,ANNUAL,
UNITED STATES,,2015-02-19 15:38:52.000,ALL CLASSES,00,TOTAL,2014,9000,,26,YIELD,BENZIE,MI,019,NORTHWEST,MICHIGAN,019,SURVEY,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,ALL PRODUCTION PRACTICES,FIELD CROPS,118.3,26,GRAIN,CROPS,00000000,20,,COUNTY,BU / ACRE,YEAR,,"MICHIGAN, NORTHWEST, BENZIE",CORN,NOT SPECIFIED,ANNUAL,
UNITED STATES,,2015-02-19 15:38:52.000,ALL CLASSES,00,TOTAL,2014,9000,,26,YIELD,CHARLEVOIX,MI,029,NORTHWEST,MICHIGAN,029,SURVEY,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,ALL PRODUCTION PRACTICES,FIELD CROPS,115.2,26,GRAIN,CROPS,00000000,20,,COUNTY,BU / ACRE,YEAR,,"MICHIGAN, NORTHWEST, CHARLEVOIX",CORN,NOT SPECIFIED,ANNUAL,
UNITED STATES,,2015-02-19 15:38:52.000,ALL CLASSES,00,TOTAL,2014,9000,,26,YIELD,EMMET,MI,047,NORTHWEST,MICHIGAN,047,SURVEY,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,ALL PRODUCTION PRACTICES,FIELD CROPS,132.9,26,GRAIN,CROPS,00000000,20,,COUNTY,BU / ACRE,YEAR,,"MICHIGAN, NORTHWEST, EMMET",CORN,NOT SPECIFIED,ANNUAL,
UNITED STATES,,2015-02-19 15:38:52.000,ALL CLASSES,00,TOTAL,2014,9000,,26,YIELD,GRAND TRAVERSE,MI,055,NORTHWEST,MICHIGAN,055,SURVEY,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,ALL PRODUCTION PRACTICES,FIELD CROPS,86.7,26,GRAIN,CROPS,00000000,20,,COUNTY,BU / ACRE,YEAR,,"MICHIGAN, NORTHWEST, GRAND TRAVERSE",CORN,NOT SPECIFIED,ANNUAL,
UNITED STATES,,2015-02-19 15:38:52.000,ALL CLASSES,00,TOTAL,2014,9000,,26,YIELD,MANISTEE,MI,101,NORTHWEST,MICHIGAN,101,SURVEY,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,ALL PRODUCTION PRACTICES,FIELD CROPS,129.3,26,GRAIN,CROPS,00000000,20,,COUNTY,BU / ACRE,YEAR,,"MICHIGAN, NORTHWEST, MANISTEE",CORN,NOT SPECIFIED,ANNUAL,
UNITED STATES,,2015-02-19 15:38:52.000,ALL CLASSES,00,TOTAL,2014,9000,,26,YIELD,MISSAUKEE,MI,113,NORTHWEST,MICHIGAN,113,SURVEY,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,ALL PRODUCTION PRACTICES,FIELD CROPS,139.8,26,GRAIN,CROPS,00000000,20,,COUNTY,BU / ACRE,YEAR,,"MICHIGAN, NORTHWEST, MISSAUKEE",CORN,NOT SPECIFIED,ANNUAL,
UNITED STATES,,2015-02-19 15:38:52.000,ALL CLASSES,00,TOTAL,2014,9000,,26,YIELD,WEXFORD,MI,165,NORTHWEST,MICHIGAN,165,SURVEY,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,ALL PRODUCTION PRACTICES,FIELD CROPS,105.7,26,GRAIN,CROPS,00000000,20,,COUNTY,BU / ACRE,YEAR,,"MICHIGAN, NORTHWEST, WEXFORD",CORN,NOT SPECIFIED,ANNUAL,
