state_name,asd_desc,county_ansi,source_desc,state_alpha,county_code,state_fips_code,county_name,statisticcat_desc,CV (%),year,country_code,load_time,end_code,class_desc,domain_desc,watershed_desc,country_name,commodity_desc,domaincat_desc,freq_desc,congr_district_code,region_desc,location_desc,reference_period_desc,week_ending,agg_level_desc,unit_desc,sector_desc,watershed_code,asd_code,group_desc,Value,state_ansi,util_practice_desc,prodn_practice_desc,short_desc,zip_5,begin_code
MICHIGAN,UPPER PENINSULA,,SURVEY,MI,998,26,OTHER (COMBINED) COUNTIES,YIELD,,2015,9000,2016-02-18 15:04:50.000,00,ALL CLASSES,TOTAL,,UNITED STATES,CORN,NOT SPECIFIED,ANNUAL,,,"MICHIGAN, UPPER PENINSULA, OTHER (COMBINED) COUNTIES",YEAR,,COUNTY,BU / ACRE,CROPS,00000000,10,FIELD CROPS,140,26,GRAIN,ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00
MICHIGAN,UPPER PENINSULA,041,SURVEY,MI,041,26,DELTA,YIELD,,2015,9000,2016-02-18 15:04:50.000,00,ALL CLASSES,TOTAL,,UNITED STATES,CORN,NOT SPECIFIED,ANNUAL,,,"MICHIGAN, UPPER PENINSULA, DELTA",YEAR,,COUNTY,BU / ACRE,CROPS,00000000,10,FIELD CROPS,130,26,GRAIN,ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00
MICHIGAN,UPPER PENINSULA,109,SURVEY,MI,109,26,MENOMINEE,YIELD,,2015,9000,2016-02-18 15:04:50.000,00,ALL CLASSES,TOTAL,,UNITED STATES,CORN,NOT SPECIFIED,ANNUAL,,,"MICHIGAN, UPPER PENINSULA, MENOMINEE",YEAR,,COUNTY,BU / ACRE,CROPS,00000000,10,FIELD CROPS,140,26,GRAIN,ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00
MICHIGAN,NORTHWEST,,SURVEY,MI,998,26,OTHER (COMBINED) COUNTIES,YIELD,,2015,9000,2016-02-18 15:04:50.000,00,ALL CLASSES,TOTAL,,UNITED STATES,CORN,NOT SPECIFIED,ANNUAL,,,"MICHIGAN, NORTHWEST, OTHER (COMBINED) COUNTIES",YEAR,,COUNTY,BU / ACRE,CROPS,00000000,20,FIELD CROPS,101,26,GRAIN,ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00
MICHIGAN,NORTHWEST,009,SURVEY,MI,009,26,ANTRIM,YIELD,,2015,9000,2016-02-18 15:04:50.000,00,ALL CLASSES,TOTAL,,UNITED STATES,CORN,NOT SPECIFIED,ANNUAL,,,"MICHIGAN, NORTHWEST, ANTRIM",YEAR,,COUNTY,BU / ACRE,CROPS,00000000,20,FIELD CROPS,110.8,26,GRAIN,ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00
MICHIGAN,NORTHWEST,019,SURVEY,MI,019,26,BENZIE,YIELD,,2015,9000,2016-02-18 15:04:50.000,00,ALL CLASSES,TOTAL,,UNITED STATES,CORN,NOT SPECIFIED,ANNUAL,,,"MICHIGAN, NORTHWEST, BENZIE",YEAR,,COUNTY,BU / ACRE,CROPS,00000000,20,FIELD CROPS,113.6,26,GRAIN,ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00
MICHIGAN,NORTHWEST,029,SURVEY,MI,029,26,CHARLEVOIX,YIELD,,2015,9000,2016-02-18 15:04:50.000,00,ALL CLASSES,TOTAL,,UNITED STATES,CORN,NOT SPECIFIED,ANNUAL,,,"MICHIGAN, NORTHWEST, CHARLEVOIX",YEAR,,COUNTY,BU / ACRE,CROPS,00000000,20,FIELD CROPS,97.6,26,GRAIN,ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00
MICHIGAN,NORTHWEST,055,SURVEY,MI,055,26,GRAND TRAVERSE,YIELD,,2015,9000,2016-02-18 15:04:50.000,00,ALL CLASSES,TOTAL,,UNITED STATES,CORN,NOT SPECIFIED,ANNUAL,,,"MICHIGAN, NORTHWEST, GRAND TRAVERSE",YEAR,,COUNTY,BU / ACRE,CROPS,00000000,20,FIELD CROPS,123.7,26,GRAIN,ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00
MICHIGAN,NORTHWEST,089,SURVEY,MI,089,26,LEELANAU,YIELD,,2015,9000,2016-02-18 15:04:50.000,00,ALL CLASSES,TOTAL,,UNITED STATES,CORN,NOT SPECIFIED,ANNUAL,,,"MICHIGAN, NORTHWEST, LEELANAU",YEAR,,COUNTY,BU / ACRE,CROPS,00000000,20,FIELD CROPS,82,26,GRAIN,ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00
MICHIGAN,NORTHWEST,101,SURVEY,MI,101,26,MANISTEE,YIELD,,2015,9000,2016-02-18 15:04:50.000,00,ALL CLASSES,TOTAL,,UNITED STATES,CORN,NOT SPECIFIED,ANNUAL,,,"MICHIGAN, NORTHWEST, MANISTEE",YEAR,,COUNTY,BU / ACRE,CROPS,00000000,20,FIELD CROPS,91.3,26,GRAIN,ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00
