commodity_desc,country_name,country_code,class_desc,state_alpha,begin_code,load_time,freq_desc,short_desc,watershed_code,year,watershed_desc,county_name,agg_level_desc,group_desc,end_code,prodn_practice_desc,county_ansi,sector_desc,statisticcat_desc,CV (%),asd_code,Value,week_ending,reference_period_desc,domaincat_desc,unit_desc,asd_desc,congr_district_code,region_desc,state_ansi,util_practice_desc,zip_5,source_desc,state_name,state_fips_code,location_desc,domain_desc,county_code
CORN,UNITED STATES,9000,ALL CLASSES,MI,00,2017-02-23 15:00:08.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,2016,,OTHER (COMBINED) COUNTIES,COUNTY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,,CROPS,YIELD,,10,124,,YEAR,NOT SPECIFIED,BU / ACRE,UPPER PENINSULA,,,26,GRAIN,,SURVEY,MICHIGAN,26,"MICHIGAN, UPPER PENINSULA, OTHER (COMBINED) COUNTIES",TOTAL,998
CORN,UNITED STATES,9000,ALL CLASSES,MI,00,2017-02-23 15:00:08.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,2016,,DELTA,COUNTY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,041,CROPS,YIELD,,10,128.6,,YEAR,NOT SPECIFIED,BU / ACRE,UPPER PENINSULA,,,26,GRAIN,,SURVEY,MICHIGAN,26,"MICHIGAN, UPPER PENINSULA, DELTA",TOTAL,041
CORN,UNITED STATES,9000,ALL CLASSES,MI,00,2017-02-23 15:00:08.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,2016,,DICKINSON,COUNTY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,043,CROPS,YIELD,,10,113.3,,YEAR,NOT SPECIFIED,BU / ACRE,UPPER PENINSULA,,,26,GRAIN,,SURVEY,MICHIGAN,26,"MICHIGAN, UPPER PENINSULA, DICKINSON",TOTAL,043
CORN,UNITED STATES,9000,ALL CLASSES,MI,00,2017-02-23 15:00:08.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,2016,,MENOMINEE,COUNTY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,109,CROPS,YIELD,,10,132.8,,YEAR,NOT SPECIFIED,BU / ACRE,UPPER PENINSULA,,,26,GRAIN,,SURVEY,MICHIGAN,26,"MICHIGAN, UPPER PENINSULA, MENOMINEE",TOTAL,109
CORN,UNITED STATES,9000,ALL CLASSES,MI,00,2017-02-23 15:00:08.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,2016,,OTHER (COMBINED) COUNTIES,COUNTY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,,CROPS,YIELD,,20,133.3,,YEAR,NOT SPECIFIED,BU / ACRE,NORTHWEST,,,26,GRAIN,,SURVEY,MICHIGAN,26,"MICHIGAN, NORTHWEST, OTHER (COMBINED) COUNTIES",TOTAL,998
CORN,UNITED STATES,9000,ALL CLASSES,MI,00,2017-02-23 15:00:08.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,2016,,ANTRIM,COUNTY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,009,CROPS,YIELD,,20,122.7,,YEAR,NOT SPECIFIED,BU / ACRE,NORTHWEST,,,26,GRAIN,,SURVEY,MICHIGAN,26,"MICHIGAN, NORTHWEST, ANTRIM",TOTAL,009
CORN,UNITED STATES,9000,ALL CLASSES,MI,00,2017-02-23 15:00:08.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,2016,,BENZIE,COUNTY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,019,CROPS,YIELD,,20,116.7,,YEAR,NOT SPECIFIED,BU / ACRE,NORTHWEST,,,26,GRAIN,,SURVEY,MICHIGAN,26,"MICHIGAN, NORTHWEST, BENZIE",TOTAL,019
CORN,UNITED STATES,9000,ALL CLASSES,MI,00,2017-02-23 15:00:08.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,2016,,CHARLEVOIX,COUNTY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,029,CROPS,YIELD,,20,96.8,,YEAR,NOT SPECIFIED,BU / ACRE,NORTHWEST,,,26,GRAIN,,SURVEY,MICHIGAN,26,"MICHIGAN, NORTHWEST, CHARLEVOIX",TOTAL,029
CORN,UNITED STATES,9000,ALL CLASSES,MI,00,2017-02-23 15:00:08.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,2016,,GRAND TRAVERSE,COUNTY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,055,CROPS,YIELD,,20,83,,YEAR,NOT SPECIFIED,BU / ACRE,NORTHWEST,,,26,GRAIN,,SURVEY,MICHIGAN,26,"MICHIGAN, NORTHWEST, GRAND TRAVERSE",TOTAL,055
CORN,UNITED STATES,9000,ALL CLASSES,MI,00,2017-02-23 15:00:08.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,2016,,LEELANAU,COUNTY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,089,CROPS,YIELD,,20,56,,YEAR,NOT SPECIFIED,BU / ACRE,NORTHWEST,,,26,GRAIN,,SURVEY,MICHIGAN,26,"MICHIGAN, NORTHWEST, LEELANAU",TOTAL,089
