state_fips_code,county_name,statisticcat_desc,CV (%),source_desc,county_ansi,state_name,asd_desc,state_alpha,county_code,watershed_desc,country_name,year,country_code,load_time,domain_desc,end_code,class_desc,reference_period_desc,week_ending,unit_desc,agg_level_desc,domaincat_desc,freq_desc,commodity_desc,congr_district_code,region_desc,location_desc,prodn_practice_desc,short_desc,zip_5,begin_code,watershed_code,sector_desc,asd_code,Value,group_desc,util_practice_desc,state_ansi
26,OTHER (COMBINED) COUNTIES,YIELD,,SURVEY,,MICHIGAN,UPPER PENINSULA,MI,998,,UNITED STATES,2017,9000,2018-02-22 15:08:35.000,TOTAL,00,ALL CLASSES,YEAR,,BU / ACRE,COUNTY,NOT SPECIFIED,ANNUAL,CORN,,,"MICHIGAN, UPPER PENINSULA, OTHER (COMBINED) COUNTIES",ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00,00000000,CROPS,10,88.6,FIELD CROPS,GRAIN,26
26,OTHER (COMBINED) COUNTIES,YIELD,,SURVEY,,MICHIGAN,NORTHWEST,MI,998,,UNITED STATES,2017,9000,2018-02-22 15:08:35.000,TOTAL,00,ALL CLASSES,YEAR,,BU / ACRE,COUNTY,NOT SPECIFIED,ANNUAL,CORN,,,"MICHIGAN, NORTHWEST, OTHER (COMBINED) COUNTIES",ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00,00000000,CROPS,20,124.5,FIELD CROPS,GRAIN,26
26,ANTRIM,YIELD,,SURVEY,009,MICHIGAN,NORTHWEST,MI,009,,UNITED STATES,2017,9000,2018-02-22 15:08:35.000,TOTAL,00,ALL CLASSES,YEAR,,BU / ACRE,COUNTY,NOT SPECIFIED,ANNUAL,CORN,,,"MICHIGAN, NORTHWEST, ANTRIM",ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00,00000000,CROPS,20,106.3,FIELD CROPS,GRAIN,26
26,BENZIE,YIELD,,SURVEY,019,MICHIGAN,NORTHWEST,MI,019,,UNITED STATES,2017,9000,2018-02-22 15:08:35.000,TOTAL,00,ALL CLASSES,YEAR,,BU / ACRE,COUNTY,NOT SPECIFIED,ANNUAL,CORN,,,"MICHIGAN, NORTHWEST, BENZIE",ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00,00000000,CROPS,20,126.9,FIELD CROPS,GRAIN,26
26,CHARLEVOIX,YIELD,,SURVEY,029,MICHIGAN,NORTHWEST,MI,029,,UNITED STATES,2017,9000,2018-02-22 15:08:35.000,TOTAL,00,ALL CLASSES,YEAR,,BU / ACRE,COUNTY,NOT SPECIFIED,ANNUAL,CORN,,,"MICHIGAN, NORTHWEST, CHARLEVOIX",ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00,00000000,CROPS,20,114,FIELD CROPS,GRAIN,26
26,GRAND TRAVERSE,YIELD,,SURVEY,055,MICHIGAN,NORTHWEST,MI,055,,UNITED STATES,2017,9000,2018-02-22 15:08:35.000,TOTAL,00,ALL CLASSES,YEAR,,BU / ACRE,COUNTY,NOT SPECIFIED,ANNUAL,CORN,,,"MICHIGAN, NORTHWEST, GRAND TRAVERSE",ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00,00000000,CROPS,20,125.5,FIELD CROPS,GRAIN,26
26,LEELANAU,YIELD,,SURVEY,089,MICHIGAN,NORTHWEST,MI,089,,UNITED STATES,2017,9000,2018-02-22 15:08:35.000,TOTAL,00,ALL CLASSES,YEAR,,BU / ACRE,COUNTY,NOT SPECIFIED,ANNUAL,CORN,,,"MICHIGAN, NORTHWEST, LEELANAU",ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00,00000000,CROPS,20,119.6,FIELD CROPS,GRAIN,26
26,MANISTEE,YIELD,,SURVEY,101,MICHIGAN,NORTHWEST,MI,101,,UNITED STATES,2017,9000,2018-02-22 15:08:35.000,TOTAL,00,ALL CLASSES,YEAR,,BU / ACRE,COUNTY,NOT SPECIFIED,ANNUAL,CORN,,,"MICHIGAN, NORTHWEST, MANISTEE",ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00,00000000,CROPS,20,118.4,FIELD CROPS,GRAIN,26
26,MISSAUKEE,YIELD,,SURVEY,113,MICHIGAN,NORTHWEST,MI,113,,UNITED STATES,2017,9000,2018-02-22 15:08:35.000,TOTAL,00,ALL CLASSES,YEAR,,BU / ACRE,COUNTY,NOT SPECIFIED,ANNUAL,CORN,,,"MICHIGAN, NORTHWEST, MISSAUKEE",ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00,00000000,CROPS,20,151.6,FIELD CROPS,GRAIN,26
26,OTHER (COMBINED) COUNTIES,YIELD,,SURVEY,,MICHIGAN,NORTHEAST,MI,998,,UNITED STATES,2017,9000,2018-02-22 15:08:35.000,TOTAL,00,ALL CLASSES,YEAR,,BU / ACRE,COUNTY,NOT SPECIFIED,ANNUAL,CORN,,,"MICHIGAN, NORTHEAST, OTHER (COMBINED) COUNTIES",ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00,00000000,CROPS,30,134.4,FIELD CROPS,GRAIN,26
