asd_code,country_code,asd_desc,year,state_fips_code,sector_desc,county_code,agg_level_desc,week_ending,region_desc,zip_5,group_desc,state_ansi,util_practice_desc,location_desc,unit_desc,congr_district_code,freq_desc,Value,source_desc,statisticcat_desc,domaincat_desc,end_code,CV (%),begin_code,county_name,prodn_practice_desc,country_name,watershed_desc,county_ansi,short_desc,state_name,reference_period_desc,class_desc,load_time,commodity_desc,domain_desc,state_alpha,watershed_code
30,9000,NORTHEAST,2018,26,CROPS,998,COUNTY,,,,FIELD CROPS,26,GRAIN,"MICHIGAN, NORTHEAST, OTHER (COMBINED) COUNTIES",BU / ACRE,,ANNUAL,114.8,SURVEY,YIELD,NOT SPECIFIED,00,,00,OTHER (COMBINED) COUNTIES,ALL PRODUCTION PRACTICES,UNITED STATES,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2024-02-23 15:00:00.000,CORN,TOTAL,MI,00000000
30,9000,NORTHEAST,2018,26,CROPS,007,COUNTY,,,,FIELD CROPS,26,GRAIN,"MICHIGAN, NORTHEAST, ALPENA",BU / ACRE,,ANNUAL,107.1,SURVEY,YIELD,NOT SPECIFIED,00,,00,ALPENA,ALL PRODUCTION PRACTICES,UNITED STATES,,007,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2024-02-23 15:00:00.000,CORN,TOTAL,MI,00000000
30,9000,NORTHEAST,2018,26,CROPS,119,COUNTY,,,,FIELD CROPS,26,GRAIN,"MICHIGAN, NORTHEAST, MONTMORENCY",BU / ACRE,,ANNUAL,82.5,SURVEY,YIELD,NOT SPECIFIED,00,,00,MONTMORENCY,ALL PRODUCTION PRACTICES,UNITED STATES,,119,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2024-02-23 15:00:00.000,CORN,TOTAL,MI,00000000
30,9000,NORTHEAST,2018,26,CROPS,129,COUNTY,,,,FIELD CROPS,26,GRAIN,"MICHIGAN, NORTHEAST, OGEMAW",BU / ACRE,,ANNUAL,158.4,SURVEY,YIELD,NOT SPECIFIED,00,,00,OGEMAW,ALL PRODUCTION PRACTICES,UNITED STATES,,129,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2024-02-23 15:00:00.000,CORN,TOTAL,MI,00000000
30,9000,NORTHEAST,2018,26,CROPS,137,COUNTY,,,,FIELD CROPS,26,GRAIN,"MICHIGAN, NORTHEAST, OTSEGO",BU / ACRE,,ANNUAL,91.7,SURVEY,YIELD,NOT SPECIFIED,00,,00,OTSEGO,ALL PRODUCTION PRACTICES,UNITED STATES,,137,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2024-02-23 15:00:00.000,CORN,TOTAL,MI,00000000
30,9000,NORTHEAST,2018,26,CROPS,141,COUNTY,,,,FIELD CROPS,26,GRAIN,"MICHIGAN, NORTHEAST, PRESQUE ISLE",BU / ACRE,,ANNUAL,117,SURVEY,YIELD,NOT SPECIFIED,00,,00,PRESQUE ISLE,ALL PRODUCTION PRACTICES,UNITED STATES,,141,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2024-02-23 15:00:00.000,CORN,TOTAL,MI,00000000
40,9000,WEST CENTRAL,2018,26,CROPS,085,COUNTY,,,,FIELD CROPS,26,GRAIN,"MICHIGAN, WEST CENTRAL, LAKE",BU / ACRE,,ANNUAL,106.4,SURVEY,YIELD,NOT SPECIFIED,00,,00,LAKE,ALL PRODUCTION PRACTICES,UNITED STATES,,085,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2024-02-23 15:00:00.000,CORN,TOTAL,MI,00000000
40,9000,WEST CENTRAL,2018,26,CROPS,105,COUNTY,,,,FIELD CROPS,26,GRAIN,"MICHIGAN, WEST CENTRAL, MASON",BU / ACRE,,ANNUAL,132.9,SURVEY,YIELD,NOT SPECIFIED,00,,00,MASON,ALL PRODUCTION PRACTICES,UNITED STATES,,105,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2024-02-23 15:00:00.000,CORN,TOTAL,MI,00000000
40,9000,WEST CENTRAL,2018,26,CROPS,121,COUNTY,,,,FIELD CROPS,26,GRAIN,"MICHIGAN, WEST CENTRAL, MUSKEGON",BU / ACRE,,ANNUAL,133.9,SURVEY,YIELD,NOT SPECIFIED,00,,00,MUSKEGON,ALL PRODUCTION PRACTICES,UNITED STATES,,121,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2024-02-23 15:00:00.000,CORN,TOTAL,MI,00000000
40,9000,WEST CENTRAL,2018,26,CROPS,123,COUNTY,,,,FIELD CROPS,26,GRAIN,"MICHIGAN, WEST CENTRAL, NEWAYGO",BU / ACRE,,ANNUAL,113.8,SURVEY,YIELD,NOT SPECIFIED,00,,00,NEWAYGO,ALL PRODUCTION PRACTICES,UNITED STATES,,123,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2024-02-23 15:00:00.000,CORN,TOTAL,MI,00000000
