week_ending,Value,end_code,prodn_practice_desc,county_ansi,sector_desc,statisticcat_desc,asd_code,CV (%),agg_level_desc,county_name,group_desc,freq_desc,short_desc,year,watershed_code,watershed_desc,begin_code,load_time,country_code,class_desc,state_alpha,commodity_desc,country_name,location_desc,domain_desc,county_code,state_name,state_fips_code,source_desc,state_ansi,util_practice_desc,zip_5,region_desc,congr_district_code,asd_desc,unit_desc,reference_period_desc,domaincat_desc
,117.9,00,ALL PRODUCTION PRACTICES,,CROPS,YIELD,10,,COUNTY,OTHER (COMBINED) COUNTIES,FIELD CROPS,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2019,00000000,,00,2024-02-23 15:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES,"MICHIGAN, UPPER PENINSULA, OTHER (COMBINED) COUNTIES",TOTAL,998,MICHIGAN,26,SURVEY,26,GRAIN,,,,UPPER PENINSULA,BU / ACRE,YEAR,NOT SPECIFIED
,116.7,00,ALL PRODUCTION PRACTICES,041,CROPS,YIELD,10,,COUNTY,DELTA,FIELD CROPS,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2019,00000000,,00,2024-02-23 15:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES,"MICHIGAN, UPPER PENINSULA, DELTA",TOTAL,041,MICHIGAN,26,SURVEY,26,GRAIN,,,,UPPER PENINSULA,BU / ACRE,YEAR,NOT SPECIFIED
,73.2,00,ALL PRODUCTION PRACTICES,109,CROPS,YIELD,10,,COUNTY,MENOMINEE,FIELD CROPS,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2019,00000000,,00,2024-02-23 15:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES,"MICHIGAN, UPPER PENINSULA, MENOMINEE",TOTAL,109,MICHIGAN,26,SURVEY,26,GRAIN,,,,UPPER PENINSULA,BU / ACRE,YEAR,NOT SPECIFIED
,116.1,00,ALL PRODUCTION PRACTICES,,CROPS,YIELD,20,,COUNTY,OTHER (COMBINED) COUNTIES,FIELD CROPS,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2019,00000000,,00,2024-02-23 15:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES,"MICHIGAN, NORTHWEST, OTHER (COMBINED) COUNTIES",TOTAL,998,MICHIGAN,26,SURVEY,26,GRAIN,,,,NORTHWEST,BU / ACRE,YEAR,NOT SPECIFIED
,91.7,00,ALL PRODUCTION PRACTICES,019,CROPS,YIELD,20,,COUNTY,BENZIE,FIELD CROPS,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2019,00000000,,00,2024-02-23 15:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES,"MICHIGAN, NORTHWEST, BENZIE",TOTAL,019,MICHIGAN,26,SURVEY,26,GRAIN,,,,NORTHWEST,BU / ACRE,YEAR,NOT SPECIFIED
,100,00,ALL PRODUCTION PRACTICES,047,CROPS,YIELD,20,,COUNTY,EMMET,FIELD CROPS,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2019,00000000,,00,2024-02-23 15:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES,"MICHIGAN, NORTHWEST, EMMET",TOTAL,047,MICHIGAN,26,SURVEY,26,GRAIN,,,,NORTHWEST,BU / ACRE,YEAR,NOT SPECIFIED
,145,00,ALL PRODUCTION PRACTICES,055,CROPS,YIELD,20,,COUNTY,GRAND TRAVERSE,FIELD CROPS,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2019,00000000,,00,2024-02-23 15:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES,"MICHIGAN, NORTHWEST, GRAND TRAVERSE",TOTAL,055,MICHIGAN,26,SURVEY,26,GRAIN,,,,NORTHWEST,BU / ACRE,YEAR,NOT SPECIFIED
,121.1,00,ALL PRODUCTION PRACTICES,089,CROPS,YIELD,20,,COUNTY,LEELANAU,FIELD CROPS,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2019,00000000,,00,2024-02-23 15:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES,"MICHIGAN, NORTHWEST, LEELANAU",TOTAL,089,MICHIGAN,26,SURVEY,26,GRAIN,,,,NORTHWEST,BU / ACRE,YEAR,NOT SPECIFIED
,119,00,ALL PRODUCTION PRACTICES,101,CROPS,YIELD,20,,COUNTY,MANISTEE,FIELD CROPS,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2019,00000000,,00,2024-02-23 15:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES,"MICHIGAN, NORTHWEST, MANISTEE",TOTAL,101,MICHIGAN,26,SURVEY,26,GRAIN,,,,NORTHWEST,BU / ACRE,YEAR,NOT SPECIFIED
,152.2,00,ALL PRODUCTION PRACTICES,113,CROPS,YIELD,20,,COUNTY,MISSAUKEE,FIELD CROPS,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2019,00000000,,00,2024-02-23 15:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES,"MICHIGAN, NORTHWEST, MISSAUKEE",TOTAL,113,MICHIGAN,26,SURVEY,26,GRAIN,,,,NORTHWEST,BU / ACRE,YEAR,NOT SPECIFIED
