commodity_desc,country_name,country_code,class_desc,state_alpha,begin_code,load_time,short_desc,freq_desc,watershed_code,year,watershed_desc,county_name,agg_level_desc,group_desc,end_code,prodn_practice_desc,county_ansi,sector_desc,asd_code,statisticcat_desc,CV (%),Value,week_ending,reference_period_desc,domaincat_desc,unit_desc,asd_desc,region_desc,congr_district_code,state_ansi,zip_5,util_practice_desc,source_desc,state_name,state_fips_code,location_desc,domain_desc,county_code
CORN,UNITED STATES,9000,ALL CLASSES,MI,00,2024-02-23 15:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,2020,,DELTA,COUNTY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,041,CROPS,10,YIELD,9.5,147.9,,YEAR,NOT SPECIFIED,BU / ACRE,UPPER PENINSULA,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, UPPER PENINSULA, DELTA",TOTAL,041
CORN,UNITED STATES,9000,ALL CLASSES,MI,00,2024-02-23 15:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,2020,,DICKINSON,COUNTY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,043,CROPS,10,YIELD,2.1,151.3,,YEAR,NOT SPECIFIED,BU / ACRE,UPPER PENINSULA,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, UPPER PENINSULA, DICKINSON",TOTAL,043
CORN,UNITED STATES,9000,ALL CLASSES,MI,00,2024-02-23 15:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,2020,,MENOMINEE,COUNTY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,109,CROPS,10,YIELD,3.6,134.5,,YEAR,NOT SPECIFIED,BU / ACRE,UPPER PENINSULA,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, UPPER PENINSULA, MENOMINEE",TOTAL,109
CORN,UNITED STATES,9000,ALL CLASSES,MI,00,2024-02-23 15:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,2020,,ANTRIM,COUNTY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,009,CROPS,20,YIELD,8.2,115.4,,YEAR,NOT SPECIFIED,BU / ACRE,NORTHWEST,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, NORTHWEST, ANTRIM",TOTAL,009
CORN,UNITED STATES,9000,ALL CLASSES,MI,00,2024-02-23 15:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,2020,,BENZIE,COUNTY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,019,CROPS,20,YIELD,6.1,139.8,,YEAR,NOT SPECIFIED,BU / ACRE,NORTHWEST,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, NORTHWEST, BENZIE",TOTAL,019
CORN,UNITED STATES,9000,ALL CLASSES,MI,00,2024-02-23 15:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,2020,,CHARLEVOIX,COUNTY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,029,CROPS,20,YIELD,6.0,122.6,,YEAR,NOT SPECIFIED,BU / ACRE,NORTHWEST,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, NORTHWEST, CHARLEVOIX",TOTAL,029
CORN,UNITED STATES,9000,ALL CLASSES,MI,00,2024-02-23 15:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,2020,,EMMET,COUNTY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,047,CROPS,20,YIELD,7.0,120.6,,YEAR,NOT SPECIFIED,BU / ACRE,NORTHWEST,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, NORTHWEST, EMMET",TOTAL,047
CORN,UNITED STATES,9000,ALL CLASSES,MI,00,2024-02-23 15:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,2020,,GRAND TRAVERSE,COUNTY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,055,CROPS,20,YIELD,7.8,113.2,,YEAR,NOT SPECIFIED,BU / ACRE,NORTHWEST,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, NORTHWEST, GRAND TRAVERSE",TOTAL,055
CORN,UNITED STATES,9000,ALL CLASSES,MI,00,2024-02-23 15:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,2020,,LEELANAU,COUNTY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,089,CROPS,20,YIELD,9.3,113,,YEAR,NOT SPECIFIED,BU / ACRE,NORTHWEST,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, NORTHWEST, LEELANAU",TOTAL,089
CORN,UNITED STATES,9000,ALL CLASSES,MI,00,2024-02-23 15:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,2020,,MANISTEE,COUNTY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,101,CROPS,20,YIELD,7.8,120.4,,YEAR,NOT SPECIFIED,BU / ACRE,NORTHWEST,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, NORTHWEST, MANISTEE",TOTAL,101
